#gene	phylostratum	rank	taxonomic_representativeness
SPU_005572.1.p1	cellular organisms	1	91
SPU_006683.1.p1	cellular organisms	1	91
SPU_006683.1.p2	cellular organisms	1	91
SPU_008752.1.p1	Metazoa	4	88
SPU_012384.1.p1	cellular organisms	1	100
SPU_014721.1.p1	Metazoa	4	100
SPU_014722.1.p1	cellular organisms	1	83
SPU_015829.1.p1	Eumetazoa	5	100
SPU_019002.1.p1	cellular organisms	1	100
WHL22.100252.0.p1	cellular organisms	1	66
WHL22.100256.0.p1	cellular organisms	1	91
WHL22.10029.0.p1	Bilateria	6	71
WHL22.100340.0.p1	cellular organisms	1	75
WHL22.100348.0.p1	Eukaryota	2	81
WHL22.100348.0.p6	Strongylocentrotus purpuratus	13	100
WHL22.100348.1.p1	Eukaryota	2	81
WHL22.100348.1.p7	Strongylocentrotus purpuratus	13	100
WHL22.100432.0.p1	cellular organisms	1	83
WHL22.100480.0.p1	cellular organisms	1	91
WHL22.100480.0.p9	Strongylocentrotus purpuratus	13	100
WHL22.100480.1.p1	cellular organisms	1	91
WHL22.100480.1.p11	Strongylocentrotus purpuratus	13	100
WHL22.100496.1.p1	cellular organisms	1	91
WHL22.100574.0.p1	cellular organisms	1	91
WHL22.100613.0.p2	Eumetazoa	5	87
WHL22.100613.1.p2	Strongylocentrotus purpuratus	13	100
WHL22.100652.0.p1	cellular organisms	1	91
WHL22.100672.0.p1	cellular organisms	1	91
WHL22.100681.0.p1	cellular organisms	1	91
WHL22.100708.0.p1	Eukaryota	2	72
WHL22.100738.1.p1	Strongylocentrotus purpuratus	13	100
WHL22.100773.0.p1	cellular organisms	1	100
WHL22.100781.0.p1	cellular organisms	1	91
WHL22.100794.0.p1	cellular organisms	1	91
WHL22.100800.0.p1	cellular organisms	1	100
WHL22.100809.0.p1	Strongylocentrotus purpuratus	13	100
WHL22.100864.0.p1	Eukaryota	2	81
WHL22.100869.0.p1	cellular organisms	1	91
WHL22.100869.0.p2	Strongylocentrotus purpuratus	13	100
WHL22.100872.0.p1	Strongylocentrotus purpuratus	13	100
WHL22.100881.0.p1	Bilateria	6	42
WHL22.100881.0.p2	Eumetazoa	5	62
WHL22.100881.0.p3	Strongylocentrotus purpuratus	13	100
WHL22.100887.0.p1	cellular organisms	1	91
WHL22.100887.2.p1	cellular organisms	1	91
WHL22.100920.3.p1	Eukaryota	2	90
WHL22.100920.4.p1	Eukaryota	2	90
WHL22.100932.0.p1	Metazoa	4	88
