#gene	phylostratum	rank	taxonomic_representativeness
BnaA01g00010D	Eukaryota	2	100
BnaA01g00020D	Magnoliopsida	10	100
BnaA01g00030D	Eukaryota	2	100
BnaA01g00040D	cellular organisms	1	88
BnaA01g00050D	cellular organisms	1	94
BnaA01g00060D	Viridiplantae	3	100
BnaA01g00070D	Brassicaceae	16	100
BnaA01g00080D	Spermatophyta	9	100
BnaA01g00090D	cellular organisms	1	100
BnaA01g00100D	cellular organisms	1	100
BnaA01g00110D	cellular organisms	1	94
BnaA01g00120D	cellular organisms	1	100
BnaA01g00130D	cellular organisms	1	94
BnaA01g00140D	cellular organisms	1	100
BnaA01g00150D	cellular organisms	1	94
BnaA01g00160D	cellular organisms	1	100
BnaA01g00170D	cellular organisms	1	100
BnaA01g00180D	cellular organisms	1	94
BnaA01g00190D	cellular organisms	1	100
BnaA01g00200D	cellular organisms	1	100
BnaA01g00210D	cellular organisms	1	100
BnaA01g00220D	Embryophyta	6	92
BnaA01g00230D	cellular organisms	1	77
BnaA01g00240D	cellular organisms	1	100
BnaA01g00250D	cellular organisms	1	77
BnaA01g00260D	Streptophytina	5	100
BnaA01g00270D	cellular organisms	1	100
BnaA01g00280D	cellular organisms	1	100
BnaA01g00290D	cellular organisms	1	100
BnaA01g00300D	Streptophyta	4	100
BnaA01g00310D	Magnoliopsida	10	100
BnaA01g00320D	cellular organisms	1	100
BnaA01g00330D	Mesangiospermae	11	100
BnaA01g00340D	cellular organisms	1	100
BnaA01g00350D	Mesangiospermae	11	100
BnaA01g00360D	Eukaryota	2	100
BnaA01g00370D	Embryophyta	6	100
BnaA01g00380D	cellular organisms	1	94
BnaA01g00390D	cellular organisms	1	94
BnaA01g00400D	cellular organisms	1	83
BnaA01g00410D	cellular organisms	1	100
BnaA01g00420D	cellular organisms	1	77
BnaA01g00430D	cellular organisms	1	100
BnaA01g00440D	Eukaryota	2	94
BnaA01g00450D	Pentapetalae	12	71
BnaA01g00460D	cellular organisms	1	66
BnaA01g00470D	Magnoliopsida	10	100
BnaA01g00480D	cellular organisms	1	61
BnaA01g00490D	Magnoliopsida	10	100
BnaA01g00500D	Euphyllophyta	8	90
BnaA01g00510D	cellular organisms	1	100
BnaA01g00520D	cellular organisms	1	100
BnaA01g00530D	cellular organisms	1	83
BnaA01g00540D	Spermatophyta	9	100
BnaA01g00550D	Brassicaceae	16	66
BnaA01g00560D	Embryophyta	6	92
BnaA01g00570D	cellular organisms	1	100
BnaA01g00580D	cellular organisms	1	94
BnaA01g00590D	cellular organisms	1	100
BnaA01g00600D	cellular organisms	1	100
BnaA01g00610D	cellular organisms	1	77
BnaA01g00620D	cellular organisms	1	100
BnaA01g00630D	Brassicales	15	100
BnaA01g00640D	rosids	13	83
BnaA01g00650D	cellular organisms	1	100
BnaA01g00660D	cellular organisms	1	100
BnaA01g00670D	cellular organisms	1	100
BnaA01g00680D	cellular organisms	1	100
BnaA01g00690D	cellular organisms	1	100
BnaA01g00700D	Eukaryota	2	94
BnaA01g00710D	cellular organisms	1	94
BnaA01g00720D	Eukaryota	2	94
BnaA01g00730D	cellular organisms	1	94
BnaA01g00740D	cellular organisms	1	100
BnaA01g00750D	Streptophytina	5	100
BnaA01g00760D	Euphyllophyta	8	90
BnaA01g00770D	Eukaryota	2	100
BnaA01g00780D	Streptophyta	4	100
BnaA01g00790D	cellular organisms	1	100
BnaA01g00800D	cellular organisms	1	100
BnaA01g00810D	cellular organisms	1	94
BnaA01g00820D	cellular organisms	1	94
BnaA01g00830D	cellular organisms	1	94
BnaA01g00840D	Brassiceae	17	100
BnaA01g00850D	cellular organisms	1	100
BnaA01g00860D	Magnoliopsida	10	100
BnaA01g00870D	cellular organisms	1	77
BnaA01g00880D	Eukaryota	2	100
BnaA01g00890D	Viridiplantae	3	100
BnaA01g00900D	cellular organisms	1	88
BnaA01g00910D	cellular organisms	1	94
BnaA01g00920D	Eukaryota	2	100
BnaA01g00930D	cellular organisms	1	100
BnaA01g00940D	Eukaryota	2	100
BnaA01g00950D	Embryophyta	6	100
BnaA01g00960D	cellular organisms	1	66
BnaA01g00970D	cellular organisms	1	100
BnaA01g00980D	cellular organisms	1	94
BnaA01g00990D	cellular organisms	1	100
BnaA01g01000D	cellular organisms	1	94
BnaA01g01010D	cellular organisms	1	100
BnaA01g01020D	cellular organisms	1	100
BnaA01g01030D	cellular organisms	1	100
BnaA01g01040D	cellular organisms	1	83
BnaA01g01050D	cellular organisms	1	94
BnaA01g01060D	Brassicaceae	16	100
BnaA01g01070D	cellular organisms	1	100
BnaA01g01080D	cellular organisms	1	100
BnaA01g01090D	cellular organisms	1	94
BnaA01g01100D	Viridiplantae	3	93
BnaA01g01110D	cellular organisms	1	100
BnaA01g01120D	cellular organisms	1	77
BnaA01g01130D	cellular organisms	1	100
BnaA01g01140D	cellular organisms	1	100
BnaA01g01150D	Tracheophyta	7	91
BnaA01g01160D	cellular organisms	1	88
BnaA01g01170D	cellular organisms	1	94
BnaA01g01180D	Brassicaceae	16	66
BnaA01g01190D	cellular organisms	1	100
BnaA01g01200D	Viridiplantae	3	100
BnaA01g01210D	cellular organisms	1	100
BnaA01g01220D	Magnoliopsida	10	100
BnaA01g01230D	Magnoliopsida	10	100
BnaA01g01240D	cellular organisms	1	100
BnaA01g01250D	cellular organisms	1	100
BnaA01g01260D	cellular organisms	1	100
BnaA01g01270D	Embryophyta	6	100
