#gene	phylostratum	rank	taxonomic_representativeness
Bol000094	Possible contamination or HGT	NA	5
Bol000095	Possible contamination or HGT	NA	11
Bol000096	cellular organisms	1	100
Bol000097	cellular organisms	1	94
Bol000098	cellular organisms	1	72
Bol000099	Spermatophyta	9	100
Bol000100	cellular organisms	1	88
Bol000101	Eukaryota	2	82
Bol000102	Brassicaceae	16	66
Bol000103	Brassicaceae	16	66
Bol000104	cellular organisms	1	94
Bol000105	cellular organisms	1	94
Bol000106	Embryophyta	6	92
Bol000107	Spermatophyta	9	100
Bol000108	cellular organisms	1	100
Bol000109	cellular organisms	1	100
Bol000110	cellular organisms	1	100
Bol000111	cellular organisms	1	100
Bol000112	Embryophyta	6	84
Bol000113	Possible contamination or HGT	NA	27
Bol000114	Brassica oleracea	19	100
Bol000115	Spermatophyta	9	100
Bol000116	Brassicaceae	16	100
Bol000117	cellular organisms	1	100
Bol000118	Embryophyta	6	100
Bol000119	Possible contamination or HGT	NA	5
Bol000120	Eukaryota	2	82
Bol000121	Embryophyta	6	76
Bol000122	Mesangiospermae	11	100
Bol000123	Brassica	18	100
Bol000124	Mesangiospermae	11	100
Bol000125	Eukaryota	2	94
Bol000126	cellular organisms	1	100
Bol000127	Brassica	18	100
Bol000128	cellular organisms	1	100
Bol000129	Possible contamination or HGT	NA	11
Bol000130	Spermatophyta	9	100
Bol000131	Streptophyta	4	93
Bol000132	cellular organisms	1	100
Bol000133	Mesangiospermae	11	87
Bol000134	cellular organisms	1	77
Bol000135	cellular organisms	1	100
Bol000136	cellular organisms	1	100
Bol000137	cellular organisms	1	100
Bol000138	cellular organisms	1	100
Bol000139	cellular organisms	1	100
Bol000140	cellular organisms	1	100
Bol000141	Possible contamination or HGT	NA	5
Bol000142	cellular organisms	1	94
Bol000143	Spermatophyta	9	100
Bol000144	Possible contamination or HGT	NA	11
Bol000145	cellular organisms	1	38
Bol000146	cellular organisms	1	100
Bol000147	Possible contamination or HGT	NA	16
Bol000148	cellular organisms	1	94
Bol000149	Eukaryota	2	100
Bol000150	Brassiceae	17	100
Bol000151	cellular organisms	1	83
Bol000152	Spermatophyta	9	90
Bol000153	Possible contamination or HGT	NA	11
Bol000154	Possible contamination or HGT	NA	27
Bol000155	Possible contamination or HGT	NA	27
Bol000156	Eukaryota	2	100
Bol000157	cellular organisms	1	88
