#gene	phylostratum	rank	taxonomic_representativeness
Nv.T1.1.1.p1	cellular organisms	1	100
Nv.T1.1.2.p1	cellular organisms	1	100
Nv.T1.1.3.p1	cellular organisms	1	100
Nv.T1.100.1.p1	Actiniaria	9	100
Nv.T1.1000.1.p3	Nematostella vectensis	10	100
Nv.T1.10000.1.p1	cellular organisms	1	100
Nv.T1.10001.1.p1	cellular organisms	1	100
Nv.T1.10003.1.p1	Hexacorallia	8	100
Nv.T1.10003.1.p4	Nematostella vectensis	10	100
Nv.T1.10004.1.p1	Nematostella vectensis	10	100
Nv.T1.10005.4.p1	Eukaryota	2	87
Nv.T1.10006.1.p1	cellular organisms	1	100
Nv.T1.10007.1.p1	Nematostella vectensis	10	100
Nv.T1.10007.2.p1	Eumetazoa	5	80
Nv.T1.10008.1.p1	cellular organisms	1	88
Nv.T1.10008.1.p4	Nematostella vectensis	10	100
Nv.T1.10008.2.p1	cellular organisms	1	88
Nv.T1.10008.3.p2	Nematostella vectensis	10	100
Nv.T1.10008.4.p1	cellular organisms	1	88
Nv.T1.10008.4.p6	Nematostella vectensis	10	100
Nv.T1.10008.5.p1	cellular organisms	1	88
Nv.T1.10008.5.p11	Nematostella vectensis	10	100
Nv.T1.10009.1.p1	cellular organisms	1	100
Nv.T1.10009.2.p1	cellular organisms	1	100
Nv.T1.10009.2.p2	Eumetazoa	5	100
Nv.T1.10009.2.p3	Nematostella vectensis	10	100
Nv.T1.1001.1.p1	Nematostella vectensis	10	100
Nv.T1.10010.1.p1	cellular organisms	1	100
Nv.T1.10010.2.p1	cellular organisms	1	100
Nv.T1.10011.2.p1	cellular organisms	1	100
Nv.T1.10013.1.p1	Opisthokonta	3	100
Nv.T1.10014.1.p1	cellular organisms	1	100
Nv.T1.10014.2.p1	cellular organisms	1	100
Nv.T1.10014.3.p1	cellular organisms	1	100
Nv.T1.10015.2.p1	Anthozoa	7	100
Nv.T1.10016.2.p1	Hexacorallia	8	100
Nv.T1.10017.1.p2	Nematostella vectensis	10	100
Nv.T1.10017.2.p1	cellular organisms	1	88
Nv.T1.10018.1.p1	Eukaryota	2	100
Nv.T1.10019.1.p1	cellular organisms	1	100
Nv.T1.1002.1.p1	Eumetazoa	5	100
Nv.T1.1002.2.p1	Eukaryota	2	100
Nv.T1.10020.1.p1	cellular organisms	1	100
Nv.T1.10021.1.p1	Hexacorallia	8	100
Nv.T1.10021.2.p1	Nematostella vectensis	10	100
Nv.T1.10022.2.p1	Eukaryota	2	87
Nv.T1.10023.1.p1	cellular organisms	1	100
Nv.T1.10024.1.p1	cellular organisms	1	88
Nv.T1.10025.1.p1	cellular organisms	1	100
Nv.T1.10026.1.p1	Eumetazoa	5	80
Nv.T1.10027.2.p1	cellular organisms	1	100
Nv.T1.10028.1.p1	cellular organisms	1	100
Nv.T1.10028.1.p2	cellular organisms	1	100
Nv.T1.1003.1.p1	Nematostella vectensis	10	100
Nv.T1.1003.2.p1	Eumetazoa	5	80
Nv.T1.1003.3.p1	Eumetazoa	5	80
Nv.T1.10030.1.p1	cellular organisms	1	88
Nv.T1.10031.2.p1	Hexacorallia	8	100
Nv.T1.10031.3.p1	Eumetazoa	5	60
Nv.T1.10031.4.p1	cellular organisms	1	55
Nv.T1.10035.1.p1	Nematostella vectensis	10	100
Nv.T1.10036.1.p1	Nematostella vectensis	10	100
Nv.T1.10036.2.p1	Metazoa	4	66
Nv.T1.10037.2.p1	Eukaryota	2	75
Nv.T1.10038.1.p2	Nematostella vectensis	10	100
Nv.T1.10039.1.p1	cellular organisms	1	100
Nv.T1.1004.1.p1	cellular organisms	1	100
Nv.T1.10041.2.p1	Eukaryota	2	87
Nv.T1.10044.1.p1	Opisthokonta	3	100
Nv.T1.10045.1.p1	Eumetazoa	5	60
Nv.T1.10045.2.p1	cellular organisms	1	88
Nv.T1.10046.1.p2	Nematostella vectensis	10	100
Nv.T1.10047.2.p1	Eukaryota	2	100
Nv.T1.10047.3.p1	Eukaryota	2	100
Nv.T1.10047.5.p1	Nematostella vectensis	10	100
Nv.T1.10048.1.p1	Hexacorallia	8	100
Nv.T1.10049.1.p1	cellular organisms	1	100
Nv.T1.10049.2.p1	cellular organisms	1	77
Nv.T1.10049.3.p1	cellular organisms	1	100
Nv.T1.10049.3.p5	Nematostella vectensis	10	100
Nv.T1.1005.1.p1	cellular organisms	1	88
Nv.T1.1005.2.p1	Opisthokonta	3	71
Nv.T1.10050.1.p1	cellular organisms	1	88
Nv.T1.10052.1.p1	Nematostella vectensis	10	100
Nv.T1.10053.1.p1	cellular organisms	1	100
Nv.T1.10054.1.p1	Nematostella vectensis	10	100
Nv.T1.10054.2.p1	Actiniaria	9	100
Nv.T1.10054.3.p2	Actiniaria	9	100
Nv.T1.10056.1.p1	Metazoa	4	100
Nv.T1.10056.3.p3	Absent from the DIAMOND/MMseqs2 results	NA	NA
Nv.T1.10057.1.p1	Nematostella vectensis	10	100
Nv.T1.10058.1.p1	cellular organisms	1	100
Nv.T1.10059.1.p1	cellular organisms	1	100
Nv.T1.1006.1.p1	Nematostella vectensis	10	100
Nv.T1.10060.1.p1	cellular organisms	1	100
Nv.T1.10060.2.p1	Nematostella vectensis	10	100
Nv.T1.10061.1.p1	Opisthokonta	3	100
Nv.T1.10061.1.p2	cellular organisms	1	100
Nv.T1.10062.1.p1	cellular organisms	1	77
Nv.T1.10062.2.p1	cellular organisms	1	88
Nv.T1.10063.3.p1	cellular organisms	1	88
Nv.T1.10063.4.p1	Eukaryota	2	100
Nv.T1.10063.5.p1	Eukaryota	2	87
Nv.T1.10065.1.p1	cellular organisms	1	66
Nv.T1.10066.1.p2	Nematostella vectensis	10	100
Nv.T1.10067.1.p1	Hexacorallia	8	100
Nv.T1.10067.1.p2	Nematostella vectensis	10	100
Nv.T1.10068.4.p1	cellular organisms	1	100
Nv.T1.10068.5.p1	Eukaryota	2	50
Nv.T1.10068.5.p3	Nematostella vectensis	10	100
Nv.T1.10068.6.p1	cellular organisms	1	100
Nv.T1.10068.7.p1	Metazoa	4	100
