#gene	phylostratum	rank	taxonomic_representativeness
ENSMODP00000000001.2	cellular organisms	1	89
ENSMODP00000000002.2	Gnathostomata	10	100
ENSMODP00000000005.3	cellular organisms	1	100
ENSMODP00000000006.2	cellular organisms	1	100
ENSMODP00000000007.2	Bilateria	6	100
ENSMODP00000000008.2	cellular organisms	1	31
ENSMODP00000000009.3	cellular organisms	1	100
ENSMODP00000000010.3	cellular organisms	1	84
ENSMODP00000000011.2	cellular organisms	1	100
ENSMODP00000000012.2	cellular organisms	1	100
ENSMODP00000000015.3	cellular organisms	1	47
ENSMODP00000000016.2	cellular organisms	1	100
ENSMODP00000000017.2	cellular organisms	1	100
ENSMODP00000000018.3	Eukaryota	2	100
ENSMODP00000000019.2	cellular organisms	1	100
ENSMODP00000000024.1	cellular organisms	1	100
ENSMODP00000000026.2	Vertebrata	9	81
ENSMODP00000000027.2	Bilateria	6	57
ENSMODP00000000030.3	cellular organisms	1	100
ENSMODP00000000032.3	cellular organisms	1	100
ENSMODP00000000033.1	cellular organisms	1	73
ENSMODP00000000034.3	cellular organisms	1	89
ENSMODP00000000035.3	Tetrapoda	14	100
ENSMODP00000000036.3	cellular organisms	1	100
ENSMODP00000000037.2	cellular organisms	1	89
ENSMODP00000000038.2	cellular organisms	1	100
ENSMODP00000000039.2	cellular organisms	1	94
ENSMODP00000000041.2	cellular organisms	1	84
ENSMODP00000000042.2	Metazoa	4	81
ENSMODP00000000046.3	cellular organisms	1	100
ENSMODP00000000049.3	Opisthokonta	3	94
ENSMODP00000000050.3	cellular organisms	1	100
ENSMODP00000000051.3	cellular organisms	1	100
ENSMODP00000000052.3	cellular organisms	1	100
ENSMODP00000000053.1	Bilateria	6	71
ENSMODP00000000056.3	cellular organisms	1	100
ENSMODP00000000058.2	Eukaryota	2	77
ENSMODP00000000059.2	cellular organisms	1	89
ENSMODP00000000062.3	cellular organisms	1	100
ENSMODP00000000063.3	Eumetazoa	5	100
ENSMODP00000000069.3	cellular organisms	1	100
ENSMODP00000000070.1	Theria	17	66
ENSMODP00000000071.3	cellular organisms	1	100
ENSMODP00000000079.2	Eukaryota	2	100
ENSMODP00000000081.2	cellular organisms	1	100
ENSMODP00000000087.3	Eukaryota	2	94
ENSMODP00000000088.3	Opisthokonta	3	94
ENSMODP00000000090.2	Metazoa	4	100
ENSMODP00000000091.3	Eukaryota	2	100
ENSMODP00000000092.3	cellular organisms	1	100
ENSMODP00000000094.3	Eukaryota	2	100
ENSMODP00000000098.2	Metazoa	4	100
ENSMODP00000000099.3	cellular organisms	1	100
ENSMODP00000000101.2	Bilateria	6	71
ENSMODP00000000102.2	cellular organisms	1	84
ENSMODP00000000103.3	Eukaryota	2	100
ENSMODP00000000105.4	Opisthokonta	3	76
ENSMODP00000000106.1	cellular organisms	1	100
ENSMODP00000000108.2	cellular organisms	1	94
ENSMODP00000000110.3	Gnathostomata	10	100
ENSMODP00000000113.2	cellular organisms	1	100
ENSMODP00000000114.3	Bilateria	6	100
ENSMODP00000000116.2	cellular organisms	1	89
ENSMODP00000000117.2	Eukaryota	2	100
ENSMODP00000000120.2	Eukaryota	2	100
ENSMODP00000000121.2	Metazoa	4	100
ENSMODP00000000122.3	cellular organisms	1	78
ENSMODP00000000124.2	cellular organisms	1	100
ENSMODP00000000128.2	cellular organisms	1	100
ENSMODP00000000130.2	Metazoa	4	100
ENSMODP00000000132.2	Bilateria	6	100
ENSMODP00000000133.3	cellular organisms	1	100
ENSMODP00000000134.3	cellular organisms	1	100
ENSMODP00000000135.2	cellular organisms	1	100
ENSMODP00000000136.3	Eukaryota	2	100
ENSMODP00000000137.3	cellular organisms	1	94
ENSMODP00000000138.3	Eukaryota	2	100
ENSMODP00000000142.3	cellular organisms	1	100
ENSMODP00000000143.1	Eukaryota	2	94
ENSMODP00000000144.3	cellular organisms	1	84
ENSMODP00000000146.2	Eukaryota	2	100
ENSMODP00000000150.2	cellular organisms	1	57
ENSMODP00000000153.2	cellular organisms	1	100
ENSMODP00000000154.3	Eukaryota	2	100
ENSMODP00000000156.2	Opisthokonta	3	88
ENSMODP00000000160.3	cellular organisms	1	94
ENSMODP00000000163.3	cellular organisms	1	94
ENSMODP00000000167.3	Opisthokonta	3	94
ENSMODP00000000168.2	cellular organisms	1	100
ENSMODP00000000170.3	Tetrapoda	14	100
ENSMODP00000000171.3	cellular organisms	1	100
ENSMODP00000000172.3	cellular organisms	1	100
ENSMODP00000000174.3	Eumetazoa	5	100
ENSMODP00000000175.3	cellular organisms	1	100
ENSMODP00000000178.3	cellular organisms	1	94
ENSMODP00000000179.3	cellular organisms	1	100
ENSMODP00000000180.3	cellular organisms	1	52
ENSMODP00000000182.2	cellular organisms	1	100
ENSMODP00000000185.3	Metazoa	4	100
ENSMODP00000000186.2	cellular organisms	1	100
