#gene	phylostratum	rank	taxonomic_representativeness
BraA01g000010.3C	Embryophyta	6	100
BraA01g000020.3C	cellular organisms	1	100
BraA01g000030.3C	cellular organisms	1	100
BraA01g000040.3C	cellular organisms	1	100
BraA01g000050.3C	cellular organisms	1	100
BraA01g000060.3C	cellular organisms	1	94
BraA01g000070.3C	cellular organisms	1	94
BraA01g000080.3C	cellular organisms	1	100
BraA01g000090.3C	cellular organisms	1	100
BraA01g000100.3C	Eukaryota	2	94
BraA01g000110.3C	cellular organisms	1	77
BraA01g000120.3C	cellular organisms	1	55
BraA01g000130.3C	cellular organisms	1	77
BraA01g000140.3C	Brassiceae	17	100
BraA01g000150.3C	cellular organisms	1	77
BraA01g000160.3C	cellular organisms	1	100
BraA01g000170.3C	cellular organisms	1	100
BraA01g000180.3C	Embryophyta	6	100
BraA01g000190.3C	cellular organisms	1	100
BraA01g000200.3C	cellular organisms	1	100
BraA01g000210.3C	Embryophyta	6	92
BraA01g000220.3C	cellular organisms	1	100
BraA01g000230.3C	cellular organisms	1	100
BraA01g000240.3C	cellular organisms	1	100
BraA01g000250.3C	cellular organisms	1	100
BraA01g000260.3C	cellular organisms	1	100
BraA01g000270.3C	cellular organisms	1	100
BraA01g000280.3C	Spermatophyta	9	90
BraA01g000290.3C	Eukaryota	2	88
BraA01g000300.3C	Brassicaceae	16	100
BraA01g000310.3C	Embryophyta	6	100
BraA01g000320.3C	cellular organisms	1	100
BraA01g000330.3C	cellular organisms	1	100
BraA01g000340.3C	cellular organisms	1	100
BraA01g000350.3C	cellular organisms	1	100
BraA01g000360.3C	Mesangiospermae	11	100
BraA01g000370.3C	Brassicales	15	100
BraA01g000380.3C	Magnoliopsida	10	100
BraA01g000390.3C	cellular organisms	1	100
BraA01g000400.3C	Brassicales	15	100
BraA01g000410.3C	Eukaryota	2	76
BraA01g000420.3C	cellular organisms	1	100
BraA01g000430.3C	cellular organisms	1	100
BraA01g000440.3C	cellular organisms	1	88
BraA01g000450.3C	cellular organisms	1	100
BraA01g000460.3C	cellular organisms	1	100
BraA01g000470.3C	cellular organisms	1	100
