#gene	phylostratum	rank	taxonomic_representativeness
ENSOCUP00000000001.3	cellular organisms	1	95
ENSOCUP00000000002.2	cellular organisms	1	95
ENSOCUP00000000003.4	cellular organisms	1	95
ENSOCUP00000000004.3	cellular organisms	1	100
ENSOCUP00000000005.2	Eukaryota	2	86
ENSOCUP00000000006.3	cellular organisms	1	95
ENSOCUP00000000007.1	cellular organisms	1	95
ENSOCUP00000000008.3	Eukaryota	2	90
ENSOCUP00000000009.3	Opisthokonta	3	95
ENSOCUP00000000010.3	Eumetazoa	5	78
ENSOCUP00000000011.4	cellular organisms	1	86
ENSOCUP00000000012.2	cellular organisms	1	95
ENSOCUP00000000013.4	Eukaryota	2	86
ENSOCUP00000000015.3	cellular organisms	1	95
ENSOCUP00000000016.3	cellular organisms	1	95
ENSOCUP00000000017.3	cellular organisms	1	95
ENSOCUP00000000020.3	cellular organisms	1	95
ENSOCUP00000000022.2	cellular organisms	1	95
ENSOCUP00000000023.3	cellular organisms	1	86
ENSOCUP00000000024.3	Opisthokonta	3	90
ENSOCUP00000000025.2	cellular organisms	1	82
ENSOCUP00000000026.2	Eukaryota	2	95
ENSOCUP00000000028.3	Eumetazoa	5	94
ENSOCUP00000000029.2	cellular organisms	1	95
ENSOCUP00000000030.2	cellular organisms	1	95
ENSOCUP00000000031.4	cellular organisms	1	82
ENSOCUP00000000032.3	cellular organisms	1	95
ENSOCUP00000000034.3	cellular organisms	1	82
ENSOCUP00000000035.3	cellular organisms	1	82
ENSOCUP00000000037.2	Eukaryota	2	95
ENSOCUP00000000038.2	Metazoa	4	95
ENSOCUP00000000041.2	cellular organisms	1	95
ENSOCUP00000000043.2	Bilateria	6	83
ENSOCUP00000000049.3	Eumetazoa	5	89
ENSOCUP00000000052.3	Opisthokonta	3	95
ENSOCUP00000000054.2	Bilateria	6	94
ENSOCUP00000000056.2	cellular organisms	1	95
ENSOCUP00000000057.3	cellular organisms	1	95
ENSOCUP00000000058.3	cellular organisms	1	95
ENSOCUP00000000060.3	cellular organisms	1	95
ENSOCUP00000000061.4	cellular organisms	1	56
ENSOCUP00000000062.3	cellular organisms	1	78
ENSOCUP00000000063.3	cellular organisms	1	95
ENSOCUP00000000064.2	cellular organisms	1	95
ENSOCUP00000000066.4	cellular organisms	1	91
ENSOCUP00000000067.3	Gnathostomata	10	92
ENSOCUP00000000068.3	Gnathostomata	10	92
ENSOCUP00000000069.2	Eukaryota	2	95
ENSOCUP00000000071.3	cellular organisms	1	91
ENSOCUP00000000072.3	cellular organisms	1	95
ENSOCUP00000000073.4	cellular organisms	1	86
ENSOCUP00000000074.2	cellular organisms	1	95
ENSOCUP00000000075.2	cellular organisms	1	86
ENSOCUP00000000077.3	Eukaryota	2	90
ENSOCUP00000000079.2	cellular organisms	1	95
