#gene	phylostratum	rank	taxonomic_representativeness
jgi|Lenti6_1|100022|CE100021_1788	Lentinus tigrinus	11	100
jgi|Lenti6_1|100080|CE100079_29517	Agaricomycetes	8	100
jgi|Lenti6_1|100252|CE100251_24	Lentinus tigrinus	11	100
jgi|Lenti6_1|10028|CE10027_1455	Agaricomycetes	8	100
jgi|Lenti6_1|100327|CE100326_2297	cellular organisms	1	100
jgi|Lenti6_1|100465|CE100464_41	Lentinus tigrinus	11	100
jgi|Lenti6_1|100504|CE100503_3448	Lentinus tigrinus	11	100
jgi|Lenti6_1|100602|CE100601_106	Lentinus tigrinus	11	100
jgi|Lenti6_1|100851|CE100850_99	Polyporaceae	10	100
jgi|Lenti6_1|100916|CE100915_2269	Fungi	4	71
jgi|Lenti6_1|100924|CE100923_181	Agaricomycotina	7	100
jgi|Lenti6_1|100955|CE100954_115	Lentinus tigrinus	11	100
jgi|Lenti6_1|10104|CE10103_378	cellular organisms	1	100
jgi|Lenti6_1|101135|CE101134_43	Lentinus tigrinus	11	100
jgi|Lenti6_1|101152|CE101151_89	Lentinus tigrinus	11	100
jgi|Lenti6_1|101234|CE101233_63	Lentinus tigrinus	11	100
jgi|Lenti6_1|10126|CE10125_11184	cellular organisms	1	100
jgi|Lenti6_1|101338|CE101337_3294	Polyporaceae	10	100
jgi|Lenti6_1|101363|CE101362_18179	Dikarya	5	100
jgi|Lenti6_1|101455|CE101454_255	Lentinus tigrinus	11	100
jgi|Lenti6_1|101521|CE101520_644	Lentinus tigrinus	11	100
jgi|Lenti6_1|101606|CE101605_572	Lentinus tigrinus	11	100
jgi|Lenti6_1|101720|CE101719_758	Eukaryota	2	44
jgi|Lenti6_1|101819|CE101818_742	Lentinus tigrinus	11	100
jgi|Lenti6_1|101985|CE101984_3483	cellular organisms	1	100
jgi|Lenti6_1|102224|CE102223_32898	Agaricomycetes	8	100
jgi|Lenti6_1|102306|CE102305_227	Lentinus tigrinus	11	100
jgi|Lenti6_1|102446|CE102445_45	Lentinus tigrinus	11	100
jgi|Lenti6_1|102503|CE102502_50	Lentinus tigrinus	11	100
jgi|Lenti6_1|102519|CE102518_283	Lentinus tigrinus	11	100
jgi|Lenti6_1|10253|CE10252_1588	Lentinus tigrinus	11	100
jgi|Lenti6_1|102657|CE102656_8250	cellular organisms	1	100
jgi|Lenti6_1|102790|CE102789_559	cellular organisms	1	100
jgi|Lenti6_1|102855|CE102854_523	cellular organisms	1	100
jgi|Lenti6_1|102951|CE102950_4347	Agaricomycetes	8	100
jgi|Lenti6_1|103813|CE103812_923	Eukaryota	2	100
jgi|Lenti6_1|104042|CE104041_385	Basidiomycota	6	80
jgi|Lenti6_1|104123|CE104122_7049	Polyporaceae	10	100
jgi|Lenti6_1|104128|CE104127_40	Polyporaceae	10	100
jgi|Lenti6_1|10414|CE10413_364	Lentinus tigrinus	11	100
