#gene	phylostratum	rank	taxonomic_representativeness
jgi|Schco3|102230|Schco2.Schco1.augustus-scaffold_1.g18	Schizophyllaceae	12	100
jgi|Schco3|102517|Schco2.Schco1.augustus-scaffold_1.g305	Dikarya	5	50
jgi|Schco3|10265|Schco2.Schco1.fgenesh1_kg.C_scaffold_1000625	Schizophyllum commune	13	100
jgi|Schco3|1029157|Schco2.fgenesh1_pg.1_#_732	Schizophyllaceae	12	100
jgi|Schco3|1030056|Schco2.fgenesh1_pg.2_#_147	Eukaryota	2	63
jgi|Schco3|10302|Schco2.Schco1.fgenesh1_kg.C_scaffold_2000003	Schizophyllum commune	13	100
jgi|Schco3|1031311|Schco2.fgenesh1_pg.3_#_366	Agaricomycetes	8	100
jgi|Schco3|1031472|Schco2.fgenesh1_pg.3_#_527	Eukaryota	2	90
jgi|Schco3|1031784|Schco2.fgenesh1_pg.4_#_134	Dikarya	5	50
jgi|Schco3|1031789|Schco2.fgenesh1_pg.4_#_139	Schizophyllaceae	12	100
jgi|Schco3|1031819|Schco2.fgenesh1_pg.4_#_169	Schizophyllum commune	13	100
jgi|Schco3|1032366|Schco2.fgenesh1_pg.5_#_11	Fungi	4	66
jgi|Schco3|1032383|Schco2.fgenesh1_pg.5_#_28	Schizophyllaceae	12	100
jgi|Schco3|1032540|Schco2.fgenesh1_pg.5_#_185	Schizophyllum commune	13	100
jgi|Schco3|1032955|Schco2.fgenesh1_pg.6_#_28	Dikarya	5	100
jgi|Schco3|1033114|Schco2.fgenesh1_pg.6_#_187	Fungi	4	66
jgi|Schco3|1033739|Schco2.fgenesh1_pg.7_#_290	cellular organisms	1	100
jgi|Schco3|1033891|Schco2.fgenesh1_pg.7_#_442	Dikarya	5	75
jgi|Schco3|1034572|Schco2.fgenesh1_pg.9_#_47	Agaricomycetes	8	80
jgi|Schco3|103469|Schco2.Schco1.augustus-scaffold_1.g1257	Schizophyllum commune	13	100
jgi|Schco3|1034973|Schco2.fgenesh1_pg.10_#_42	cellular organisms	1	91
jgi|Schco3|1034997|Schco2.fgenesh1_pg.10_#_66	Agaricomycetes	8	40
jgi|Schco3|1035032|Schco2.fgenesh1_pg.10_#_101	Agaricomycetidae	9	50
jgi|Schco3|1035165|Schco2.fgenesh1_pg.10_#_234	cellular organisms	1	100
jgi|Schco3|1035571|Schco2.fgenesh1_pg.11_#_276	Agaricomycetes	8	100
jgi|Schco3|1035601|Schco2.fgenesh1_pg.12_#_4	Eukaryota	2	90
jgi|Schco3|103600|Schco2.Schco1.augustus-scaffold_1.g1388	Schizophyllum commune	13	100
jgi|Schco3|1036342|Schco2.fgenesh1_pg.17_#_29	Schizophyllum commune	13	100
jgi|Schco3|1036421|Schco2.fgenesh1_pg.18_#_6	cellular organisms	1	100
jgi|Schco3|1036752|Schco2.fgenesh1_kg.1_#_34_#_1036_1_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1036824|Schco2.fgenesh1_kg.1_#_106_#_1001_1_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1036864|Schco2.fgenesh1_kg.1_#_146_#_3850_1_CBXX_CBXY_CBXZ	Eukaryota	2	100
jgi|Schco3|1036880|Schco2.fgenesh1_kg.1_#_162_#_3895_1_CBXX_CBXY_CBXZ	Agaricomycotina	7	83
jgi|Schco3|1037011|Schco2.fgenesh1_kg.1_#_293_#_4176_1_CBXX_CBXY_CBXZ	Basidiomycota	6	100
jgi|Schco3|1037142|Schco2.fgenesh1_kg.1_#_424_#_841_2_CBXX_CBXY_CBXZ	Eukaryota	2	45
jgi|Schco3|1037222|Schco2.fgenesh1_kg.1_#_504_#_1513_1_CBXX_CBXY_CBXZ	cellular organisms	1	100
jgi|Schco3|1037325|Schco2.fgenesh1_kg.1_#_607_#_0_0_CBXY5333.x2_CBXX_CBXY_CBXZ	Agaricomycetes	8	100
jgi|Schco3|1037513|Schco2.fgenesh1_kg.2_#_128_#_2190_1_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1037574|Schco2.fgenesh1_kg.2_#_189_#_3947_1_CBXX_CBXY_CBXZ	cellular organisms	1	100
jgi|Schco3|1037598|Schco2.fgenesh1_kg.2_#_213_#_326_1_CBXX_CBXY_CBXZ	cellular organisms	1	100
jgi|Schco3|1037687|Schco2.fgenesh1_kg.2_#_302_#_0_0_CBXY3090.x2_CBXX_CBXY_CBXZ	Eukaryota	2	100
jgi|Schco3|1037734|Schco2.fgenesh1_kg.2_#_349_#_5019_0_CBXZ6412.g1_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1037802|Schco2.fgenesh1_kg.2_#_417_#_1528_1_CBXX_CBXY_CBXZ	Schizophyllaceae	12	100
jgi|Schco3|1037821|Schco2.fgenesh1_kg.3_#_19_#_4699_0_CBXY2226.y3_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1037834|Schco2.fgenesh1_kg.3_#_32_#_2478_1_CBXX_CBXY_CBXZ	Agaricomycetes	8	80
jgi|Schco3|1038077|Schco2.fgenesh1_kg.3_#_275_#_1_1_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1038080|Schco2.fgenesh1_kg.4_#_3_#_5111_0_CBXZ7280.g1_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1038096|Schco2.fgenesh1_kg.4_#_19_#_4377_0_CBXX3756.y3_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1038117|Schco2.fgenesh1_kg.4_#_40_#_0_0_CBXY6004.x3_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1038257|Schco2.fgenesh1_kg.4_#_180_#_4227_1_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1038287|Schco2.fgenesh1_kg.4_#_210_#_4275_0_CBXX1442.g1_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1038324|Schco2.fgenesh1_kg.5_#_7_#_538_1_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1038487|Schco2.fgenesh1_kg.5_#_170_#_1190_1_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1038493|Schco2.fgenesh1_kg.5_#_176_#_549_1_CBXX_CBXY_CBXZ	Schizophyllaceae	12	100
jgi|Schco3|1038511|Schco2.fgenesh1_kg.5_#_194_#_381_2_CBXX_CBXY_CBXZ	Agaricomycetes	8	100
jgi|Schco3|1038585|Schco2.fgenesh1_kg.6_#_66_#_3300_0_CBXY5129.x2_CBXX_CBXY_CBXZ	Fungi	4	88
jgi|Schco3|1038608|Schco2.fgenesh1_kg.6_#_89_#_1949_1_CBXX_CBXY_CBXZ	cellular organisms	1	100
jgi|Schco3|1038612|Schco2.fgenesh1_kg.6_#_93_#_5159_0_CBXZ7833.b1_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1038618|Schco2.fgenesh1_kg.6_#_99_#_2179_1_CBXX_CBXY_CBXZ	cellular organisms	1	100
jgi|Schco3|1038644|Schco2.fgenesh1_kg.6_#_125_#_1996_2_CBXX_CBXY_CBXZ	cellular organisms	1	50
jgi|Schco3|1038650|Schco2.fgenesh1_kg.6_#_131_#_4973_0_CBXZ5860.g1_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1038712|Schco2.fgenesh1_kg.6_#_193_#_1572_1_CBXX_CBXY_CBXZ	Eukaryota	2	54
jgi|Schco3|1038722|Schco2.fgenesh1_kg.6_#_203_#_3192_1_CBXX_CBXY_CBXZ	Eukaryota	2	63
jgi|Schco3|1038723|Schco2.fgenesh1_kg.6_#_204_#_596_0_CBXY6109.y2_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
jgi|Schco3|1038755|Schco2.fgenesh1_kg.7_#_26_#_3283_2_CBXX_CBXY_CBXZ	Agaricomycetes	8	100
jgi|Schco3|1038840|Schco2.fgenesh1_kg.7_#_111_#_236_1_CBXX_CBXY_CBXZ	Schizophyllum commune	13	100
