#gene	phylostratum	rank	taxonomic_representativeness
NP_001001474.1	cellular organisms	1	91
NP_001001475.1	cellular organisms	1	91
NP_001001476.1	cellular organisms	1	91
NP_001001477.1	Eukaryota	2	90
NP_001001478.1	cellular organisms	1	91
NP_001001768.2	Metazoa	4	100
NP_001001906.1	cellular organisms	1	100
NP_001003798.1	Eukaryota	2	90
NP_001005725.1	cellular organisms	1	100
NP_001008790.1	cellular organisms	1	100
NP_001009577.1	cellular organisms	1	83
NP_001011728.2	cellular organisms	1	41
NP_001012720.1	cellular organisms	1	100
NP_001012721.1	cellular organisms	1	100
NP_001014426.1	cellular organisms	1	100
NP_001015510.1	Metazoa	4	100
NP_001020380.1	cellular organisms	1	91
NP_001020382.1	cellular organisms	1	91
NP_001020384.1	cellular organisms	1	83
NP_001027540.1	Opisthokonta	3	100
NP_001027541.1	Opisthokonta	3	100
NP_001027542.1	Metazoa	4	100
NP_001027543.1	cellular organisms	1	91
NP_001028179.1	Opisthokonta	3	70
NP_001028182.1	cellular organisms	1	91
NP_001028184.1	Bilateria	6	57
NP_001028696.1	cellular organisms	1	100
NP_001028819.1	cellular organisms	1	100
NP_001028820.1	cellular organisms	1	91
NP_001028821.1	cellular organisms	1	91
NP_001028822.1	cellular organisms	1	91
NP_001028823.1	cellular organisms	1	91
NP_001029121.1	cellular organisms	1	91
NP_001029122.1	cellular organisms	1	100
NP_001032234.2	cellular organisms	1	100
NP_001032400.1	Strongylocentrotus purpuratus	13	100
NP_001032719.1	cellular organisms	1	91
NP_001035104.1	Metazoa	4	77
NP_001035495.1	Opisthokonta	3	90
NP_001073008.1	cellular organisms	1	83
NP_001073009.1	cellular organisms	1	91
NP_001073010.1	cellular organisms	1	100
NP_001073011.1	cellular organisms	1	83
NP_001073012.1	cellular organisms	1	83
NP_001073013.1	cellular organisms	1	100
NP_001073014.1	cellular organisms	1	83
NP_001073015.1	cellular organisms	1	100
NP_001073016.1	Echinacea	11	100
NP_001073017.1	cellular organisms	1	100
NP_001073018.1	cellular organisms	1	100
NP_001073019.1	cellular organisms	1	91
NP_001073020.1	Strongylocentrotus purpuratus	13	100
NP_001073021.1	Metazoa	4	100
NP_001073022.2	Echinacea	11	100
NP_001073023.1	Metazoa	4	100
NP_001073024.1	Bilateria	6	85
NP_001073025.1	cellular organisms	1	100
NP_001073026.1	Echinidea	12	100
NP_001074439.1	cellular organisms	1	50
NP_001075433.1	cellular organisms	1	91
NP_001075434.1	cellular organisms	1	100
NP_001075435.1	Metazoa	4	100
NP_001075436.1	cellular organisms	1	91
NP_001075437.1	Eukaryota	2	90
NP_001075438.1	Eukaryota	2	81
NP_001077102.1	cellular organisms	1	91
NP_001077103.1	Eukaryota	2	90
NP_001091915.2	cellular organisms	1	91
NP_001091916.1	cellular organisms	1	100
NP_001091917.1	cellular organisms	1	91
NP_001091918.1	cellular organisms	1	91
NP_001091919.1	Metazoa	4	100
NP_001091920.1	cellular organisms	1	100
NP_001091921.1	cellular organisms	1	91
NP_001091922.1	Opisthokonta	3	100
NP_001091923.1	cellular organisms	1	91
NP_001091924.1	cellular organisms	1	75
NP_001091925.1	cellular organisms	1	100
NP_001091926.1	cellular organisms	1	91
NP_001091927.1	cellular organisms	1	91
NP_001091928.1	cellular organisms	1	91
NP_001091929.1	Eumetazoa	5	75
NP_001091930.1	cellular organisms	1	91
NP_001099179.1	cellular organisms	1	75
NP_001103714.2	Eukaryota	2	90
NP_001103715.1	cellular organisms	1	75
NP_001103716.1	Opisthokonta	3	90
NP_001103717.1	Strongylocentrotus purpuratus	13	100
NP_001103718.1	Eukaryota	2	90
NP_001103719.1	Strongylocentrotus purpuratus	13	100
NP_001106707.1	cellular organisms	1	91
NP_001107666.1	cellular organisms	1	91
NP_001107667.1	cellular organisms	1	100
NP_001107668.1	Strongylocentrotus purpuratus	13	100
NP_001107669.1	cellular organisms	1	100
NP_001116967.1	cellular organisms	1	100
NP_001116968.1	cellular organisms	1	91
NP_001116969.1	cellular organisms	1	100
NP_001116970.1	cellular organisms	1	91
NP_001116971.1	cellular organisms	1	91
NP_001116972.1	cellular organisms	1	83
NP_001116973.1	cellular organisms	1	91
NP_001116974.1	cellular organisms	1	100
NP_001116975.1	cellular organisms	1	100
NP_001116977.1	cellular organisms	1	83
NP_001116978.1	cellular organisms	1	91
NP_001116979.1	cellular organisms	1	100
NP_001116980.1	cellular organisms	1	100
NP_001116981.1	cellular organisms	1	91
NP_001116982.1	cellular organisms	1	91
NP_001116983.1	cellular organisms	1	100
NP_001116984.1	cellular organisms	1	100
NP_001116985.2	Strongylocentrotus purpuratus	13	100
NP_001116986.1	cellular organisms	1	83
NP_001116989.1	cellular organisms	1	91
NP_001116990.1	Metazoa	4	100
NP_001116991.1	Metazoa	4	100
NP_001116992.1	Metazoa	4	100
NP_001116993.1	Echinacea	11	100
NP_001118229.1	cellular organisms	1	91
NP_001118232.1	cellular organisms	1	91
NP_001118233.1	Bilateria	6	100
NP_001118234.1	cellular organisms	1	100
NP_001118235.1	cellular organisms	1	91
NP_001118236.1	cellular organisms	1	75
NP_001118237.1	cellular organisms	1	100
NP_001118238.1	cellular organisms	1	91
NP_001119596.2	Eukaryota	2	90
NP_001119776.2	cellular organisms	1	100
NP_001119777.1	cellular organisms	1	100
NP_001119778.1	Eukaryota	2	81
NP_001119779.1	Eukaryota	2	90
NP_001119780.1	cellular organisms	1	83
NP_001119781.1	Eukaryota	2	90
NP_001119782.1	Eukaryota	2	72
NP_001121538.1	cellular organisms	1	91
NP_001121539.1	cellular organisms	1	91
NP_001121540.1	Metazoa	4	100
NP_001123278.1	Metazoa	4	88
NP_001123279.1	cellular organisms	1	83
NP_001123280.1	Eukaryota	2	100
NP_001123281.1	Eumetazoa	5	100
NP_001123282.1	Metazoa	4	100
NP_001123283.1	Metazoa	4	100
NP_001123284.1	cellular organisms	1	100
NP_001123285.1	Eukaryota	2	100
NP_001123286.1	Metazoa	4	88
NP_001123287.1	cellular organisms	1	91
NP_001123288.3	cellular organisms	1	91
NP_001124190.1	cellular organisms	1	100
NP_001135850.1	cellular organisms	1	100
NP_001135851.1	cellular organisms	1	100
NP_001135852.1	cellular organisms	1	100
NP_001135853.2	cellular organisms	1	100
NP_001138446.2	cellular organisms	1	91
NP_001138447.1	Echinacea	11	50
NP_001138448.1	cellular organisms	1	91
NP_001138449.1	cellular organisms	1	91
NP_001138965.1	Metazoa	4	100
NP_001138966.1	Metazoa	4	100
NP_001139665.1	cellular organisms	1	100
NP_001139666.1	cellular organisms	1	100
NP_001139667.1	cellular organisms	1	100
NP_001154909.1	cellular organisms	1	100
NP_001154910.1	cellular organisms	1	91
NP_001154911.1	cellular organisms	1	100
NP_001157279.1	cellular organisms	1	91
NP_001159462.1	Eukaryota	2	90
NP_001164286.1	Echinacea	11	50
NP_001164287.1	Strongylocentrotus purpuratus	13	100
NP_001164288.1	Echinacea	11	100
NP_001164289.2	Echinidea	12	100
NP_001165522.1	cellular organisms	1	91
NP_001165523.1	cellular organisms	1	83
NP_001171981.1	cellular organisms	1	100
NP_001182223.1	cellular organisms	1	100
NP_001186878.1	Metazoa	4	88
NP_001189420.1	cellular organisms	1	83
NP_001191242.1	Metazoa	4	100
NP_001229579.1	cellular organisms	1	91
NP_001229580.1	cellular organisms	1	91
NP_001229581.1	cellular organisms	1	100
NP_001229582.1	cellular organisms	1	100
NP_001229583.1	cellular organisms	1	91
NP_001229584.1	cellular organisms	1	91
NP_001229589.1	cellular organisms	1	91
NP_001229590.1	cellular organisms	1	91
NP_001229591.1	cellular organisms	1	91
NP_001229593.1	cellular organisms	1	91
NP_001229594.1	cellular organisms	1	91
NP_001229595.1	cellular organisms	1	91
NP_001229596.1	cellular organisms	1	100
NP_001229598.1	cellular organisms	1	91
NP_001229606.1	cellular organisms	1	91
NP_001229607.1	Strongylocentrotus purpuratus	13	100
NP_001229608.1	Strongylocentrotus purpuratus	13	100
NP_001229610.1	Strongylocentrotus purpuratus	13	100
NP_001229612.1	Strongylocentrotus purpuratus	13	100
NP_001229613.1	Strongylocentrotus purpuratus	13	100
NP_001229614.1	Strongylocentrotus purpuratus	13	100
NP_001229615.1	Strongylocentrotus purpuratus	13	100
NP_001229616.1	Strongylocentrotus purpuratus	13	100
NP_001229617.1	Strongylocentrotus purpuratus	13	100
NP_001229618.1	cellular organisms	1	91
NP_001229622.1	Strongylocentrotus purpuratus	13	100
NP_001229623.1	Strongylocentrotus purpuratus	13	100
NP_001229624.1	Strongylocentrotus purpuratus	13	100
NP_001229629.1	Eumetazoa	5	100
NP_001229632.1	cellular organisms	1	91
NP_001232900.1	cellular organisms	1	91
NP_001232902.1	cellular organisms	1	91
NP_001233170.1	Echinacea	11	50
NP_001239013.1	cellular organisms	1	100
NP_001242990.1	cellular organisms	1	75
NP_001243005.1	Opisthokonta	3	90
