#gene	phylostratum	rank	taxonomic_representativeness
ENSP00000000233.5	cellular organisms	1	100
ENSP00000000412.3	Eukaryota	2	100
ENSP00000000442.6	cellular organisms	1	96
ENSP00000001008.4	cellular organisms	1	100
ENSP00000001146.2	cellular organisms	1	100
ENSP00000002125.4	cellular organisms	1	100
ENSP00000002165.5	cellular organisms	1	100
ENSP00000002501.6	Gnathostomata	10	100
ENSP00000002596.5	cellular organisms	1	100
ENSP00000002829.3	Metazoa	4	100
ENSP00000003084.6	cellular organisms	1	100
ENSP00000003100.8	cellular organisms	1	100
ENSP00000003302.4	cellular organisms	1	100
ENSP00000003583.8	Eukaryota	2	88
ENSP00000003912.3	Eukaryota	2	100
ENSP00000004103.3	Amniota	15	100
ENSP00000004531.10	cellular organisms	1	100
ENSP00000004921.3	cellular organisms	1	70
ENSP00000004980.5	cellular organisms	1	100
ENSP00000004982.3	cellular organisms	1	88
ENSP00000005082.9	cellular organisms	1	70
ENSP00000005178.5	cellular organisms	1	96
ENSP00000005180.4	cellular organisms	1	70
ENSP00000005226.7	Eukaryota	2	100
ENSP00000005257.2	cellular organisms	1	100
ENSP00000005259.4	cellular organisms	1	96
ENSP00000005260.8	Eumetazoa	5	100
ENSP00000005279.4	Opisthokonta	3	96
ENSP00000005284.3	cellular organisms	1	85
ENSP00000005286.4	Opisthokonta	3	100
ENSP00000005340.4	Metazoa	4	100
ENSP00000005374.6	cellular organisms	1	88
ENSP00000005386.3	cellular organisms	1	100
ENSP00000005558.4	Eukaryota	2	100
ENSP00000005587.2	cellular organisms	1	92
ENSP00000005756.4	cellular organisms	1	100
ENSP00000005995.3	cellular organisms	1	100
ENSP00000006015.3	cellular organisms	1	92
ENSP00000006053.6	Euteleostomi	11	82
ENSP00000006101.4	cellular organisms	1	100
ENSP00000006251.7	Opisthokonta	3	100
ENSP00000006275.3	cellular organisms	1	100
ENSP00000006526.6	Eukaryota	2	100
ENSP00000006658.6	cellular organisms	1	100
ENSP00000006724.3	cellular organisms	1	81
ENSP00000006750.3	Gnathostomata	10	94
ENSP00000006777.6	Eukaryota	2	80
ENSP00000006967.5	cellular organisms	1	100
ENSP00000007264.2	cellular organisms	1	100
ENSP00000007390.2	cellular organisms	1	100
ENSP00000007414.3	cellular organisms	1	100
ENSP00000007510.4	cellular organisms	1	100
ENSP00000007516.2	cellular organisms	1	100
ENSP00000007660.5	Metazoa	4	100
ENSP00000007699.5	cellular organisms	1	100
ENSP00000007708.3	cellular organisms	1	96
ENSP00000007722.7	cellular organisms	1	100
ENSP00000007735.3	cellular organisms	1	92
ENSP00000007969.8	Eukaryota	2	96
ENSP00000008180.9	Possible contamination or HGT	NA	25
ENSP00000008391.3	Eukaryota	2	96
ENSP00000008440.9	Eukaryota	2	100
ENSP00000008527.5	cellular organisms	1	100
ENSP00000008686.5	cellular organisms	1	100
ENSP00000008876.5	Eumetazoa	5	100
ENSP00000008938.3	cellular organisms	1	88
ENSP00000009041.7	Opisthokonta	3	96
ENSP00000009105.1	cellular organisms	1	100
ENSP00000009180.4	cellular organisms	1	100
ENSP00000009530.7	cellular organisms	1	88
ENSP00000009589.3	cellular organisms	1	96
ENSP00000010132.5	cellular organisms	1	100
ENSP00000010299.6	cellular organisms	1	92
ENSP00000010338.4	Metazoa	4	100
ENSP00000010404.2	cellular organisms	1	92
ENSP00000011292.3	cellular organisms	1	100
ENSP00000011473.2	Metazoa	4	100
ENSP00000011619.3	cellular organisms	1	100
ENSP00000011653.4	Euteleostomi	11	94
ENSP00000011684.7	Eukaryota	2	100
ENSP00000011691.4	Eukaryota	2	96
ENSP00000011700.6	cellular organisms	1	100
ENSP00000011898.5	cellular organisms	1	96
ENSP00000011989.7	cellular organisms	1	96
ENSP00000012049.4	cellular organisms	1	100
ENSP00000012134.2	cellular organisms	1	88
ENSP00000012443.4	cellular organisms	1	100
ENSP00000013034.3	cellular organisms	1	100
ENSP00000013070.6	cellular organisms	1	100
ENSP00000013125.4	cellular organisms	1	100
ENSP00000013222.5	cellular organisms	1	92
ENSP00000013807.4	cellular organisms	1	100
ENSP00000013894.2	Eutheria	18	90
ENSP00000014112.5	cellular organisms	1	100
ENSP00000014914.5	Bilateria	6	90
ENSP00000014930.4	cellular organisms	1	96
ENSP00000014935.3	cellular organisms	1	100
ENSP00000015877.6	cellular organisms	1	100
ENSP00000016171.5	cellular organisms	1	96
ENSP00000016913.4	Gnathostomata	10	100
ENSP00000016946.3	cellular organisms	1	100
ENSP00000017003.2	cellular organisms	1	100
ENSP00000019019.2	cellular organisms	1	100
ENSP00000019103.5	Opisthokonta	3	100
ENSP00000019317.4	cellular organisms	1	100
ENSP00000020673.5	cellular organisms	1	100
ENSP00000020926.3	Metazoa	4	100
ENSP00000020945.1	Eumetazoa	5	86
ENSP00000022615.4	cellular organisms	1	100
ENSP00000023064.3	cellular organisms	1	100
ENSP00000023897.6	cellular organisms	1	96
ENSP00000023939.4	cellular organisms	1	100
ENSP00000024061.3	cellular organisms	1	100
ENSP00000025008.5	Eumetazoa	5	100
ENSP00000025301.2	Vertebrata	9	100
ENSP00000025399.6	cellular organisms	1	100
