#gene	phylostratum	rank	taxonomic_representativeness
BniB000001-PA	cellular organisms	1	100
BniB000002-PA	Eukaryota	2	94
BniB000003-PA	cellular organisms	1	94
BniB000004-PA	cellular organisms	1	100
BniB000005-PA	cellular organisms	1	100
BniB000006-PA	cellular organisms	1	83
BniB000007-PA	Magnoliopsida	10	100
BniB000008-PA	Eukaryota	2	100
BniB000009-PA	cellular organisms	1	100
BniB000010-PA	cellular organisms	1	100
BniB000011-PA	Streptophyta	4	100
BniB000012-PA	Brassicaceae	16	100
BniB000013-PA	cellular organisms	1	100
BniB000014-PA	cellular organisms	1	100
BniB000015-PA	cellular organisms	1	100
BniB000016-PA	cellular organisms	1	94
BniB000017-PA	cellular organisms	1	94
BniB000018-PA	cellular organisms	1	100
BniB000019-PA	cellular organisms	1	100
BniB000020-PA	Embryophyta	6	100
BniB000021-PA	cellular organisms	1	100
BniB000022-PA	cellular organisms	1	100
BniB000023-PA	cellular organisms	1	100
BniB000024-PA	cellular organisms	1	100
BniB000025-PA	Eukaryota	2	94
BniB000026-PA	Magnoliopsida	10	100
BniB000027-PA	cellular organisms	1	100
BniB000028-PA	cellular organisms	1	100
BniB000029-PA	cellular organisms	1	94
BniB000030-PA	cellular organisms	1	88
BniB000031-PA	Eukaryota	2	94
BniB000032-PA	cellular organisms	1	83
BniB000033-PA	cellular organisms	1	88
BniB000034-PA	Mesangiospermae	11	100
BniB000035-PA	cellular organisms	1	100
BniB000036-PA	cellular organisms	1	100
BniB000037-PA	cellular organisms	1	94
BniB000038-PA	cellular organisms	1	94
BniB000039-PA	Magnoliopsida	10	100
BniB000040-PA	Eukaryota	2	100
BniB000041-PA	Brassica nigra	19	100
BniB000042-PA	Embryophyta	6	92
BniB000043-PA	Eukaryota	2	94
BniB000044-PA	cellular organisms	1	100
BniB000045-PA	Pentapetalae	12	100
BniB000046-PA	Brassicaceae	16	100
BniB000047-PA	Brassicales	15	100
BniB000048-PA	cellular organisms	1	72
BniB000049-PA	cellular organisms	1	94
BniB000050-PA	cellular organisms	1	100
BniB000051-PA	cellular organisms	1	94
BniB000052-PA	cellular organisms	1	100
BniB000053-PA	cellular organisms	1	72
BniB000054-PA	cellular organisms	1	100
BniB000055-PA	Pentapetalae	12	57
BniB000056-PA	cellular organisms	1	100
BniB000057-PA	cellular organisms	1	100
BniB000058-PA	cellular organisms	1	100
BniB000059-PA	Brassicales	15	100
BniB000060-PA	cellular organisms	1	83
BniB000061-PA	Spermatophyta	9	100
BniB000062-PA	cellular organisms	1	100
BniB000063-PA	cellular organisms	1	88
BniB000064-PA	cellular organisms	1	100
BniB000065-PA	Brassicaceae	16	100
BniB000066-PA	Eukaryota	2	100
BniB000067-PA	cellular organisms	1	100
BniB000068-PA	cellular organisms	1	100
BniB000069-PA	Eukaryota	2	100
BniB000070-PA	cellular organisms	1	100
BniB000071-PA	cellular organisms	1	83
BniB000072-PA	cellular organisms	1	100
BniB000073-PA	Embryophyta	6	100
BniB000074-PA	Eukaryota	2	100
BniB000075-PA	cellular organisms	1	100
BniB000076-PA	Viridiplantae	3	100
BniB000077-PA	cellular organisms	1	100
BniB000078-PA	cellular organisms	1	100
BniB000079-PA	cellular organisms	1	100
BniB000080-PA	Streptophytina	5	100
BniB000081-PA	cellular organisms	1	100
BniB000082-PA	Embryophyta	6	100
BniB000083-PA	Eukaryota	2	94
BniB000084-PA	cellular organisms	1	88
BniB000085-PA	cellular organisms	1	88
BniB000086-PA	cellular organisms	1	100
BniB000087-PA	cellular organisms	1	100
BniB000088-PA	cellular organisms	1	100
BniB000089-PA	Eukaryota	2	100
BniB000090-PA	cellular organisms	1	100
BniB000091-PA	Mesangiospermae	11	100
BniB000092-PA	cellular organisms	1	83
BniB000093-PA	cellular organisms	1	100
BniB000094-PA	Mesangiospermae	11	100
BniB000095-PA	Magnoliopsida	10	100
BniB000096-PA	Eukaryota	2	100
BniB000097-PA	cellular organisms	1	100
BniB000098-PA	cellular organisms	1	94
BniB000099-PA	Brassicaceae	16	100
BniB000100-PA	cellular organisms	1	77
BniB000101-PA	cellular organisms	1	100
BniB000102-PA	cellular organisms	1	94
BniB000103-PA	cellular organisms	1	77
BniB000104-PA	cellular organisms	1	66
BniB000105-PA	cellular organisms	1	100
BniB000106-PA	Embryophyta	6	100
BniB000107-PA	Magnoliopsida	10	100
BniB000108-PA	cellular organisms	1	72
BniB000109-PA	cellular organisms	1	94
BniB000110-PA	Brassicaceae	16	100
BniB000111-PA	cellular organisms	1	83
BniB000112-PA	cellular organisms	1	83
BniB000113-PA	rosids	13	100
BniB000114-PA	cellular organisms	1	94
BniB000115-PA	cellular organisms	1	83
BniB000116-PA	cellular organisms	1	100
BniB000117-PA	cellular organisms	1	94
BniB000118-PA	cellular organisms	1	100
BniB000119-PA	Streptophyta	4	93
BniB000120-PA	cellular organisms	1	100
BniB000121-PA	cellular organisms	1	100
BniB000122-PA	cellular organisms	1	94
BniB000123-PA	cellular organisms	1	94
BniB000124-PA	cellular organisms	1	100
BniB000125-PA	cellular organisms	1	100
BniB000126-PA	cellular organisms	1	100
BniB000127-PA	cellular organisms	1	100
BniB000128-PA	cellular organisms	1	100
BniB000129-PA	cellular organisms	1	77
BniB000130-PA	cellular organisms	1	83
BniB000131-PA	cellular organisms	1	100
BniB000132-PA	cellular organisms	1	100
BniB000133-PA	cellular organisms	1	100
BniB000134-PA	Magnoliopsida	10	100
BniB000135-PA	Streptophytina	5	100
BniB000136-PA	Eukaryota	2	94
BniB000137-PA	cellular organisms	1	100
BniB000138-PA	Brassicaceae	16	100
BniB000139-PA	cellular organisms	1	94
BniB000140-PA	cellular organisms	1	100
BniB000141-PA	Eukaryota	2	100
BniB000142-PA	cellular organisms	1	94
BniB000143-PA	cellular organisms	1	100
BniB000144-PA	cellular organisms	1	100
BniB000145-PA	Mesangiospermae	11	87
BniB000146-PA	cellular organisms	1	100
BniB000147-PA	cellular organisms	1	100
BniB000148-PA	Eukaryota	2	94
BniB000149-PA	cellular organisms	1	100
BniB000150-PA	cellular organisms	1	100
BniB000151-PA	cellular organisms	1	100
BniB000152-PA	cellular organisms	1	100
BniB000153-PA	Streptophyta	4	100
BniB000154-PA	Viridiplantae	3	100
BniB000155-PA	cellular organisms	1	94
BniB000156-PA	Magnoliopsida	10	100
BniB000157-PA	cellular organisms	1	94
BniB000158-PA	Viridiplantae	3	100
BniB000159-PA	cellular organisms	1	100
BniB000160-PA	cellular organisms	1	100
BniB000161-PA	cellular organisms	1	100
BniB000162-PA	Embryophyta	6	100
BniB000163-PA	cellular organisms	1	77
BniB000164-PA	cellular organisms	1	100
BniB000165-PA	cellular organisms	1	100
BniB000166-PA	cellular organisms	1	100
BniB000167-PA	cellular organisms	1	100
BniB000168-PA	cellular organisms	1	100
BniB000169-PA	cellular organisms	1	100
BniB000170-PA	cellular organisms	1	100
BniB000171-PA	Streptophytina	5	100
BniB000172-PA	Streptophyta	4	100
BniB000173-PA	Eukaryota	2	100
BniB000174-PA	Spermatophyta	9	100
BniB000175-PA	Brassicales	15	100
BniB000176-PA	Eukaryota	2	100
BniB000177-PA	cellular organisms	1	100
BniB000178-PA	cellular organisms	1	100
BniB000179-PA	cellular organisms	1	100
BniB000180-PA	cellular organisms	1	100
BniB000181-PA	Magnoliopsida	10	100
BniB000182-PA	cellular organisms	1	100
BniB000183-PA	cellular organisms	1	88
BniB000184-PA	Brassiceae	17	100
BniB000185-PA	cellular organisms	1	100
BniB000186-PA	cellular organisms	1	94
BniB000187-PA	cellular organisms	1	100
BniB000188-PA	cellular organisms	1	83
BniB000189-PA	cellular organisms	1	100
BniB000190-PA	cellular organisms	1	94
BniB000191-PA	cellular organisms	1	77
BniB000192-PA	Mesangiospermae	11	100
BniB000193-PA	Pentapetalae	12	100
BniB000194-PA	Pentapetalae	12	100
BniB000195-PA	Pentapetalae	12	100
BniB000196-PA	cellular organisms	1	100
BniB000197-PA	cellular organisms	1	100
BniB000198-PA	Brassicaceae	16	100
BniB000199-PA	Euphyllophyta	8	81
BniB000200-PA	cellular organisms	1	88
BniB000201-PA	cellular organisms	1	100
BniB000202-PA	Viridiplantae	3	87
BniB000203-PA	cellular organisms	1	77
BniB000204-PA	cellular organisms	1	100
BniB000205-PA	cellular organisms	1	100
BniB000206-PA	cellular organisms	1	88
BniB000207-PA	cellular organisms	1	100
BniB000208-PA	Embryophyta	6	76
BniB000209-PA	Eukaryota	2	100
BniB000210-PA	Brassica	18	100
BniB000211-PA	cellular organisms	1	94
BniB000212-PA	cellular organisms	1	100
BniB000213-PA	Eukaryota	2	100
BniB000214-PA	cellular organisms	1	100
BniB000215-PA	cellular organisms	1	100
BniB000216-PA	Brassicales	15	100
BniB000217-PA	cellular organisms	1	100
BniB000218-PA	cellular organisms	1	100
BniB000219-PA	cellular organisms	1	94
BniB000220-PA	cellular organisms	1	100
BniB000221-PA	cellular organisms	1	94
BniB000222-PA	cellular organisms	1	100
BniB000223-PA	cellular organisms	1	72
BniB000224-PA	cellular organisms	1	55
BniB000225-PA	cellular organisms	1	66
BniB000226-PA	Brassica	18	100
BniB000227-PA	Mesangiospermae	11	100
BniB000228-PA	cellular organisms	1	94
BniB000229-PA	Eukaryota	2	100
BniB000230-PA	cellular organisms	1	94
BniB000231-PA	cellular organisms	1	94
BniB000232-PA	Brassiceae	17	100
BniB000233-PA	cellular organisms	1	94
BniB000234-PA	cellular organisms	1	83
BniB000235-PA	cellular organisms	1	94
BniB000236-PA	cellular organisms	1	100
BniB000237-PA	cellular organisms	1	88
BniB000238-PA	cellular organisms	1	94
BniB000239-PA	Eukaryota	2	100
BniB000240-PA	cellular organisms	1	100
BniB000241-PA	cellular organisms	1	100
BniB000242-PA	Embryophyta	6	84
BniB000243-PA	cellular organisms	1	94
BniB000244-PA	Brassicaceae	16	100
BniB000245-PA	cellular organisms	1	100
BniB000246-PA	Magnoliopsida	10	100
BniB000247-PA	cellular organisms	1	100
BniB000248-PA	Embryophyta	6	92
BniB000249-PA	Streptophyta	4	100
BniB000250-PA	cellular organisms	1	100
BniB000251-PA	cellular organisms	1	100
BniB000252-PA	cellular organisms	1	100
BniB000253-PA	Eukaryota	2	94
BniB000254-PA	cellular organisms	1	94
BniB000255-PA	rosids	13	66
BniB000256-PA	Brassiceae	17	100
BniB000257-PA	cellular organisms	1	100
BniB000258-PA	rosids	13	83
BniB000259-PA	cellular organisms	1	72
BniB000260-PA	Spermatophyta	9	100
BniB000261-PA	cellular organisms	1	100
BniB000262-PA	cellular organisms	1	100
BniB000263-PA	Mesangiospermae	11	100
BniB000264-PA	Magnoliopsida	10	100
BniB000265-PA	Embryophyta	6	100
BniB000266-PA	cellular organisms	1	100
BniB000267-PA	Magnoliopsida	10	100
BniB000268-PA	cellular organisms	1	100
BniB000269-PA	cellular organisms	1	100
BniB000270-PA	Viridiplantae	3	93
BniB000271-PA	Eukaryota	2	100
BniB000272-PA	cellular organisms	1	100
BniB000273-PA	Spermatophyta	9	100
BniB000274-PA	cellular organisms	1	100
BniB000275-PA	cellular organisms	1	100
BniB000276-PA	Eukaryota	2	94
BniB000277-PA	cellular organisms	1	100
BniB000278-PA	Brassica nigra	19	100
BniB000279-PA	cellular organisms	1	83
BniB000280-PA	Spermatophyta	9	100
BniB000281-PA	Brassica	18	100
BniB000282-PA	cellular organisms	1	83
BniB000283-PA	cellular organisms	1	88
BniB000284-PA	cellular organisms	1	94
BniB000285-PA	cellular organisms	1	88
BniB000286-PA	Brassicales	15	100
BniB000287-PA	cellular organisms	1	100
BniB000288-PA	cellular organisms	1	100
BniB000289-PA	Brassica	18	100
BniB000290-PA	Brassica	18	100
