#gene	phylostratum	rank	taxonomic_representativeness
BjuA000004	Brassicaceae	16	100
BjuA000005	cellular organisms	1	88
BjuA000007	cellular organisms	1	100
BjuA000008	cellular organisms	1	100
BjuA000012	Pentapetalae	12	100
BjuA000013	cellular organisms	1	100
BjuA000014	cellular organisms	1	50
BjuA000016	Brassica juncea	19	100
BjuA000018	cellular organisms	1	94
BjuA000023	Brassiceae	17	100
BjuA000025	Spermatophyta	9	100
BjuA000026	Mesangiospermae	11	100
BjuA000044	Streptophyta	4	100
BjuA000045	Streptophytina	5	100
BjuA000046	cellular organisms	1	94
BjuA000047	Brassica	18	100
BjuA000048	cellular organisms	1	83
BjuA000049	cellular organisms	1	83
BjuA000050	Brassica	18	100
BjuA000051	cellular organisms	1	100
BjuA000052	cellular organisms	1	100
BjuA000053	Brassicaceae	16	100
BjuA000054	cellular organisms	1	100
BjuA000055	Brassica	18	100
BjuA000056	Brassiceae	17	100
BjuA000057	cellular organisms	1	100
BjuA000058	cellular organisms	1	77
BjuA000059	cellular organisms	1	100
BjuA000060	cellular organisms	1	100
BjuA000061	Brassicaceae	16	100
BjuA000062	Brassicaceae	16	100
BjuA000063	cellular organisms	1	94
BjuA000064	cellular organisms	1	94
BjuA000065	cellular organisms	1	100
BjuA000066	cellular organisms	1	100
BjuA000067	cellular organisms	1	77
BjuA000068	Brassiceae	17	100
BjuA000069	cellular organisms	1	100
BjuA000070	Brassicaceae	16	100
BjuA000071	Brassica	18	100
BjuA000072	Brassicaceae	16	100
BjuA000073	cellular organisms	1	77
BjuA000074	Magnoliopsida	10	100
BjuA000075	cellular organisms	1	55
BjuA000076	Brassicales	15	100
BjuA000077	Pentapetalae	12	85
BjuA000078	cellular organisms	1	61
BjuA000079	cellular organisms	1	100
BjuA000080	Eukaryota	2	94
BjuA000081	cellular organisms	1	55
BjuA000082	Brassicaceae	16	66
BjuA000083	Brassicaceae	16	100
BjuA000084	Brassicales	15	100
BjuA000085	cellular organisms	1	83
BjuA000086	cellular organisms	1	100
BjuA000087	Brassica	18	100
BjuA000088	cellular organisms	1	94
BjuA000089	Eukaryota	2	94
BjuA000099	cellular organisms	1	100
BjuA000100	cellular organisms	1	100
BjuA000101	cellular organisms	1	100
BjuA000102	cellular organisms	1	83
BjuA000104	cellular organisms	1	94
BjuA000105	cellular organisms	1	77
BjuA000110	cellular organisms	1	94
BjuA000111	cellular organisms	1	94
BjuA000116	cellular organisms	1	77
BjuA000122	cellular organisms	1	100
BjuA000123	cellular organisms	1	100
BjuA000126	cellular organisms	1	100
BjuA000127	cellular organisms	1	100
BjuA000128	cellular organisms	1	77
BjuA000129	cellular organisms	1	100
BjuA000130	Eukaryota	2	100
BjuA000133	Brassiceae	17	100
BjuA000134	cellular organisms	1	94
BjuA000135	cellular organisms	1	100
BjuA000136	cellular organisms	1	88
BjuA000145	cellular organisms	1	72
BjuA000146	cellular organisms	1	100
BjuA000147	Streptophyta	4	100
BjuA000148	Tracheophyta	7	75
BjuA000149	Eukaryota	2	100
BjuA000150	Spermatophyta	9	100
BjuA000151	cellular organisms	1	61
BjuA000152	Brassiceae	17	100
BjuA000153	Brassiceae	17	100
BjuA000154	cellular organisms	1	100
BjuA000155	cellular organisms	1	100
BjuA000156	Magnoliopsida	10	100
BjuA000157	cellular organisms	1	100
BjuA000158	Tracheophyta	7	100
BjuA000159	Mesangiospermae	11	100
BjuA000161	Magnoliopsida	10	100
BjuA000162	cellular organisms	1	100
BjuA000163	Magnoliopsida	10	100
BjuA000164	Mesangiospermae	11	100
BjuA000165	Mesangiospermae	11	100
BjuA000166	Streptophytina	5	92
BjuA000167	cellular organisms	1	100
BjuA000168	cellular organisms	1	100
BjuA000169	cellular organisms	1	100
BjuA000170	Magnoliopsida	10	100
BjuA000171	Magnoliopsida	10	88
BjuA000172	cellular organisms	1	83
BjuA000173	Brassica	18	100
BjuA000174	cellular organisms	1	100
BjuA000175	cellular organisms	1	100
BjuA000176	Brassicales	15	100
BjuA000185	cellular organisms	1	77
BjuA000186	Embryophyta	6	38
BjuA000187	Brassicales	15	100
BjuA000188	cellular organisms	1	77
BjuA000189	Eukaryota	2	94
BjuA000206	cellular organisms	1	100
BjuA000207	Brassica	18	100
BjuA000208	Streptophyta	4	100
BjuA000209	cellular organisms	1	77
BjuA000212	Eukaryota	2	100
BjuA000214	cellular organisms	1	77
BjuA000215	cellular organisms	1	100
BjuA000216	Brassicaceae	16	100
BjuA000217	cellular organisms	1	77
BjuA000218	cellular organisms	1	100
BjuA000219	Brassicaceae	16	100
BjuA000221	Embryophyta	6	84
BjuA000222	Magnoliopsida	10	100
BjuA000223	Pentapetalae	12	42
BjuA000224	Mesangiospermae	11	100
BjuA000225	cellular organisms	1	100
BjuA000226	cellular organisms	1	88
BjuA000227	Pentapetalae	12	85
BjuA000228	Mesangiospermae	11	100
BjuA000247	cellular organisms	1	100
BjuA000248	cellular organisms	1	100
BjuA000249	Brassicaceae	16	100
BjuA000250	cellular organisms	1	100
BjuA000251	Brassicaceae	16	100
BjuA000252	cellular organisms	1	100
BjuA000253	cellular organisms	1	77
BjuA000254	cellular organisms	1	77
BjuA000255	cellular organisms	1	100
BjuA000256	Brassica	18	100
BjuA000257	Eukaryota	2	94
BjuA000258	cellular organisms	1	94
BjuA000259	cellular organisms	1	88
BjuA000260	Eukaryota	2	82
BjuA000261	cellular organisms	1	61
BjuA000262	cellular organisms	1	94
BjuA000263	Embryophyta	6	92
BjuA000264	cellular organisms	1	100
BjuA000265	Viridiplantae	3	93
BjuA000266	Eukaryota	2	88
BjuA000267	Streptophyta	4	100
BjuA000268	cellular organisms	1	100
BjuA000269	cellular organisms	1	100
BjuA000270	cellular organisms	1	100
BjuA000271	cellular organisms	1	100
BjuA000272	Eukaryota	2	100
BjuA000273	cellular organisms	1	100
BjuA000274	Brassicaceae	16	100
BjuA000275	Magnoliopsida	10	100
BjuA000276	Euphyllophyta	8	90
BjuA000277	cellular organisms	1	100
BjuA000278	cellular organisms	1	100
BjuA000279	cellular organisms	1	94
BjuA000280	Brassicales	15	100
BjuA000281	Euphyllophyta	8	90
BjuA000282	cellular organisms	1	88
BjuA000283	cellular organisms	1	88
BjuA000284	cellular organisms	1	100
BjuA000285	cellular organisms	1	100
BjuA000286	Magnoliopsida	10	100
BjuA000287	cellular organisms	1	94
BjuA000288	Spermatophyta	9	50
BjuA000289	cellular organisms	1	88
BjuA000290	cellular organisms	1	100
BjuA000291	cellular organisms	1	61
BjuA000292	Euphyllophyta	8	100
BjuA000293	cellular organisms	1	100
BjuA000294	cellular organisms	1	100
BjuA000295	cellular organisms	1	100
BjuA000296	cellular organisms	1	100
BjuA000297	Brassicaceae	16	100
BjuA000298	Spermatophyta	9	100
BjuA000299	cellular organisms	1	100
BjuA000300	cellular organisms	1	66
BjuA000301	Embryophyta	6	100
BjuA000302	Brassica	18	100
BjuA000303	cellular organisms	1	100
BjuA000304	Eukaryota	2	88
BjuA000307	cellular organisms	1	55
BjuA000308	cellular organisms	1	88
BjuA000309	cellular organisms	1	83
BjuA000310	cellular organisms	1	77
BjuA000311	Viridiplantae	3	68
BjuA000312	Brassica	18	100
BjuA000313	cellular organisms	1	100
BjuA000314	cellular organisms	1	66
BjuA000315	cellular organisms	1	100
BjuA000316	cellular organisms	1	94
BjuA000327	cellular organisms	1	94
BjuA000328	Brassicaceae	16	100
BjuA000331	cellular organisms	1	100
BjuA000337	cellular organisms	1	100
BjuA000338	cellular organisms	1	44
BjuA000339	cellular organisms	1	94
BjuA000340	Brassica	18	100
BjuA000341	cellular organisms	1	100
BjuA000342	Eukaryota	2	94
BjuA000343	Eukaryota	2	94
BjuA000344	Brassica juncea	19	100
BjuA000345	rosids	13	66
BjuA000346	Mesangiospermae	11	100
BjuA000347	Eukaryota	2	100
BjuA000348	cellular organisms	1	50
BjuA000350	cellular organisms	1	100
BjuA000351	cellular organisms	1	100
BjuA000352	cellular organisms	1	100
BjuA000353	Brassicaceae	16	100
BjuA000354	Spermatophyta	9	100
BjuA000355	cellular organisms	1	88
BjuA000356	cellular organisms	1	83
BjuA000357	Brassica	18	100
BjuA000358	cellular organisms	1	94
BjuA000359	Brassica juncea	19	100
BjuA000360	cellular organisms	1	61
BjuA000361	cellular organisms	1	100
BjuA000406	cellular organisms	1	88
BjuA000407	cellular organisms	1	94
BjuA000412	Brassicaceae	16	100
BjuA000413	Mesangiospermae	11	100
BjuA000414	cellular organisms	1	100
BjuA000415	cellular organisms	1	100
BjuA000416	cellular organisms	1	100
BjuA000417	Embryophyta	6	100
BjuA000418	Magnoliopsida	10	100
BjuA000419	malvids	14	80
BjuA000420	Mesangiospermae	11	100
BjuA000421	cellular organisms	1	50
BjuA000422	cellular organisms	1	83
BjuA000423	cellular organisms	1	55
BjuA000424	cellular organisms	1	61
BjuA000425	cellular organisms	1	72
BjuA000427	cellular organisms	1	94
BjuA000428	cellular organisms	1	100
BjuA000429	cellular organisms	1	100
BjuA000430	Brassicaceae	16	100
BjuA000431	Streptophyta	4	93
BjuA000432	cellular organisms	1	88
BjuA000434	Brassicaceae	16	100
BjuA000435	Embryophyta	6	100
BjuA000436	Magnoliopsida	10	100
BjuA000437	Magnoliopsida	10	100
BjuA000438	cellular organisms	1	72
BjuA000439	Eukaryota	2	100
BjuA000440	Brassica	18	100
BjuA000441	Brassica	18	100
BjuA000442	Brassica	18	100
BjuA000443	Streptophyta	4	100
BjuA000444	Tracheophyta	7	100
BjuA000445	Brassicales	15	100
BjuA000446	Viridiplantae	3	100
BjuA000447	Eukaryota	2	100
BjuA000448	cellular organisms	1	44
BjuA000449	Brassicaceae	16	100
BjuA000450	cellular organisms	1	72
BjuA000453	cellular organisms	1	100
BjuA000454	cellular organisms	1	100
BjuA000455	Eukaryota	2	100
BjuA000457	cellular organisms	1	100
BjuA000458	cellular organisms	1	88
BjuA000459	cellular organisms	1	100
BjuA000460	cellular organisms	1	100
BjuA000461	cellular organisms	1	100
BjuA000462	cellular organisms	1	100
BjuA000463	Streptophyta	4	93
BjuA000464	Brassica	18	100
BjuA000465	Streptophyta	4	86
BjuA000466	Pentapetalae	12	100
BjuA000467	Eukaryota	2	94
BjuA000468	cellular organisms	1	94
BjuA000469	cellular organisms	1	100
BjuA000470	cellular organisms	1	83
BjuA000471	cellular organisms	1	100
BjuA000472	cellular organisms	1	66
BjuA000473	cellular organisms	1	100
BjuA000474	cellular organisms	1	100
BjuA000475	Pentapetalae	12	100
BjuA000476	Brassicales	15	100
BjuA000477	cellular organisms	1	100
BjuA000478	cellular organisms	1	50
BjuA000479	Brassiceae	17	100
BjuA000480	Eukaryota	2	100
BjuA000481	Embryophyta	6	92
BjuA000482	cellular organisms	1	100
BjuA000483	cellular organisms	1	100
BjuA000484	Brassica	18	100
BjuA000485	Eukaryota	2	82
BjuA000486	Brassiceae	17	100
BjuA000487	cellular organisms	1	100
BjuA000488	Eukaryota	2	52
BjuA000489	Magnoliopsida	10	100
BjuA000492	cellular organisms	1	88
BjuA000498	cellular organisms	1	83
BjuA000499	Brassicaceae	16	100
BjuA000500	cellular organisms	1	55
