#gene	phylostratum	rank	taxonomic_representativeness
jgi|Armosto1|249756|mRNA_AROS_00001_AROS_00001	Eukaryota	2	100
jgi|Armosto1|249757|mRNA_AROS_00002_AROS_00002	Armillaria ostoyae	14	100
jgi|Armosto1|249758|mRNA_AROS_00003_AROS_00003	Armillaria ostoyae	14	100
jgi|Armosto1|249759|mRNA_AROS_00004_AROS_00004	Armillaria ostoyae	14	100
jgi|Armosto1|249760|mRNA_AROS_00005_AROS_00005	Armillaria ostoyae	14	100
jgi|Armosto1|249761|mRNA_AROS_00006_AROS_00006	Armillaria ostoyae	14	100
jgi|Armosto1|249762|mRNA_AROS_00007_AROS_00007	Armillaria	13	100
jgi|Armosto1|249763|mRNA_AROS_00008_AROS_00008	Eukaryota	2	58
jgi|Armosto1|249764|mRNA_AROS_00009_AROS_00009	Agaricomycetes	8	83
jgi|Armosto1|249765|mRNA_AROS_00010_AROS_00010	Armillaria ostoyae	14	100
jgi|Armosto1|249766|mRNA_AROS_00011_AROS_00011	Physalacriaceae	12	100
jgi|Armosto1|249767|mRNA_AROS_00012_AROS_00012	Agaricomycetes	8	66
jgi|Armosto1|249768|mRNA_AROS_00013_AROS_00013	Agaricomycetidae	9	80
jgi|Armosto1|249769|mRNA_AROS_00014_AROS_00014	Armillaria ostoyae	14	100
jgi|Armosto1|249770|mRNA_AROS_00015_AROS_00015	Agaricomycotina	7	100
jgi|Armosto1|249771|mRNA_AROS_00016_AROS_00016	cellular organisms	1	100
jgi|Armosto1|249772|mRNA_AROS_00017_AROS_00017	Armillaria ostoyae	14	100
jgi|Armosto1|249773|mRNA_AROS_00018_AROS_00018	Agaricomycetes	8	100
jgi|Armosto1|249774|mRNA_AROS_00019_AROS_00019	Armillaria ostoyae	14	100
jgi|Armosto1|249775|mRNA_AROS_00020_AROS_00020	cellular organisms	1	100
jgi|Armosto1|249776|mRNA_AROS_00021_AROS_00021	cellular organisms	1	100
jgi|Armosto1|249777|mRNA_AROS_00022_AROS_00022	Agaricomycetes	8	83
jgi|Armosto1|249778|mRNA_AROS_00023_AROS_00023	Agaricomycetes	8	83
jgi|Armosto1|249779|mRNA_AROS_00024_AROS_00024	cellular organisms	1	100
jgi|Armosto1|249780|mRNA_AROS_00025_AROS_00025	Eukaryota	2	83
jgi|Armosto1|249781|mRNA_AROS_00026_AROS_00026	Agaricomycetes	8	83
jgi|Armosto1|249782|mRNA_AROS_00027_AROS_00027	Armillaria	13	100
jgi|Armosto1|249783|mRNA_AROS_00028_AROS_00028	Fungi	4	100
jgi|Armosto1|249784|mRNA_AROS_00029_AROS_00029	Armillaria ostoyae	14	100
jgi|Armosto1|249785|mRNA_AROS_00030_AROS_00030	Agaricomycotina	7	100
jgi|Armosto1|249786|mRNA_AROS_00031_AROS_00031	Armillaria ostoyae	14	100
jgi|Armosto1|249787|mRNA_AROS_00032_AROS_00032	Armillaria ostoyae	14	100
jgi|Armosto1|249788|mRNA_AROS_00033_AROS_00033	Armillaria ostoyae	14	100
jgi|Armosto1|249789|mRNA_AROS_00034_AROS_00034	Armillaria ostoyae	14	100
jgi|Armosto1|249790|mRNA_AROS_00035_AROS_00035	Armillaria ostoyae	14	100
jgi|Armosto1|249791|mRNA_AROS_00036_AROS_00036	Armillaria	13	100
jgi|Armosto1|249792|mRNA_AROS_00037_AROS_00037	Eukaryota	2	83
jgi|Armosto1|249793|mRNA_AROS_00038_AROS_00038	Armillaria	13	100
jgi|Armosto1|249794|mRNA_AROS_00039_AROS_00039	cellular organisms	1	100
jgi|Armosto1|249795|mRNA_AROS_00040_AROS_00040	cellular organisms	1	100
jgi|Armosto1|249796|mRNA_AROS_00041_AROS_00041	Agaricomycetes	8	100
jgi|Armosto1|249797|mRNA_AROS_00042_AROS_00042	Armillaria ostoyae	14	100
jgi|Armosto1|249798|mRNA_AROS_00043_AROS_00043	Armillaria ostoyae	14	100
jgi|Armosto1|249799|mRNA_AROS_00044_AROS_00044	Armillaria	13	100
jgi|Armosto1|249800|mRNA_AROS_00045_AROS_00045	Fungi	4	80
jgi|Armosto1|249801|mRNA_AROS_00046_AROS_00046	Agaricomycetes	8	100
jgi|Armosto1|249802|mRNA_AROS_00047_AROS_00047	cellular organisms	1	100
jgi|Armosto1|249803|mRNA_AROS_00048_AROS_00048	Dikarya	5	77
jgi|Armosto1|249804|mRNA_AROS_00049_AROS_00049	Armillaria ostoyae	14	100
jgi|Armosto1|249805|mRNA_AROS_00050_AROS_00050	Dikarya	5	66
jgi|Armosto1|249806|mRNA_AROS_00051_AROS_00051	cellular organisms	1	100
jgi|Armosto1|249807|mRNA_AROS_00052_AROS_00052	Physalacriaceae	12	100
jgi|Armosto1|249808|mRNA_AROS_00053_AROS_00053	cellular organisms	1	84
jgi|Armosto1|249809|mRNA_AROS_00054_AROS_00054	cellular organisms	1	100
jgi|Armosto1|249810|mRNA_AROS_00055_AROS_00055	cellular organisms	1	84
jgi|Armosto1|249811|mRNA_AROS_00056_AROS_00056	cellular organisms	1	61
jgi|Armosto1|249812|mRNA_AROS_00057_AROS_00057	Armillaria ostoyae	14	100
jgi|Armosto1|249813|mRNA_AROS_00058_AROS_00058	Physalacriaceae	12	100
jgi|Armosto1|249814|mRNA_AROS_00059_AROS_00059	Armillaria ostoyae	14	100
jgi|Armosto1|249815|mRNA_AROS_00060_AROS_00060	Armillaria ostoyae	14	100
jgi|Armosto1|249816|mRNA_AROS_00061_AROS_00061	Agaricomycetes	8	100
jgi|Armosto1|249817|mRNA_AROS_00062_AROS_00062	Fungi	4	100
jgi|Armosto1|249818|mRNA_AROS_00063_AROS_00063	Armillaria ostoyae	14	100
jgi|Armosto1|249819|mRNA_AROS_00064_AROS_00064	Dikarya	5	66
jgi|Armosto1|249820|mRNA_AROS_00065_AROS_00065	cellular organisms	1	100
jgi|Armosto1|249821|mRNA_AROS_00066_AROS_00066	Agaricomycetes	8	100
jgi|Armosto1|249822|mRNA_AROS_00067_AROS_00067	cellular organisms	1	100
jgi|Armosto1|249823|mRNA_AROS_00068_AROS_00068	cellular organisms	1	100
jgi|Armosto1|249824|mRNA_AROS_00069_AROS_00069	Armillaria	13	100
jgi|Armosto1|249825|mRNA_AROS_00070_AROS_00070	cellular organisms	1	100
jgi|Armosto1|249826|mRNA_AROS_00071_AROS_00071	Agaricales	10	50
