#gene	phylostratum	rank	taxonomic_representativeness
CC1G_00004T0	Coprinopsis cinerea	14	100
CC1G_00007T0	Basidiomycota	6	100
CC1G_00011T0	cellular organisms	1	100
CC1G_00012T0	Eukaryota	2	91
CC1G_00013T0	Fungi	4	100
CC1G_00014T0	cellular organisms	1	100
CC1G_00015T0	cellular organisms	1	100
CC1G_00016T0	cellular organisms	1	100
CC1G_00017T0	cellular organisms	1	100
CC1G_00018T0	Agaricomycotina	7	100
CC1G_00019T0	cellular organisms	1	100
CC1G_00020T0	cellular organisms	1	100
CC1G_00021T0	cellular organisms	1	100
CC1G_00022T0	cellular organisms	1	100
CC1G_00023T0	Psathyrellaceae	12	100
CC1G_00024T0	cellular organisms	1	100
CC1G_00025T0	Basidiomycota	6	100
CC1G_00028T0	Agaricomycetes	8	83
CC1G_00030T0	Coprinopsis cinerea	14	100
CC1G_00031T0	cellular organisms	1	100
CC1G_00032T0	cellular organisms	1	100
CC1G_00033T0	cellular organisms	1	100
CC1G_00034T0	cellular organisms	1	100
CC1G_00035T0	cellular organisms	1	100
CC1G_00036T0	cellular organisms	1	100
CC1G_00037T0	cellular organisms	1	100
CC1G_00038T0	Opisthokonta	3	90
CC1G_00040T0	Agaricomycetes	8	100
CC1G_00041T0	Agaricales	10	100
CC1G_00042T0	Basidiomycota	6	100
CC1G_00044T0	Coprinopsis cinerea	14	100
CC1G_00045T0	Agaricales	10	50
CC1G_00048T0	Eukaryota	2	91
CC1G_00049T0	cellular organisms	1	100
CC1G_00050T0	cellular organisms	1	100
CC1G_00051T0	cellular organisms	1	100
CC1G_00052T0	Eukaryota	2	100
CC1G_00053T0	cellular organisms	1	100
CC1G_00054T0	cellular organisms	1	100
CC1G_00055T0	cellular organisms	1	100
CC1G_00056T0	Coprinopsis cinerea	14	100
CC1G_00057T0	Eukaryota	2	91
CC1G_00058T0	cellular organisms	1	100
CC1G_00061T0	Agaricomycetes	8	100
CC1G_00062T0	Agaricomycetes	8	83
CC1G_00063T0	cellular organisms	1	100
CC1G_00064T0	Agaricomycetes	8	83
CC1G_00065T0	cellular organisms	1	100
CC1G_00066T0	cellular organisms	1	100
CC1G_00067T0	cellular organisms	1	100
CC1G_00068T0	cellular organisms	1	100
CC1G_00069T0	cellular organisms	1	100
CC1G_00070T0	Agaricales	10	100
CC1G_00071T0	Agaricomycetes	8	100
CC1G_00072T0	Eukaryota	2	100
CC1G_00073T0	cellular organisms	1	100
CC1G_00074T0	Fungi	4	90
CC1G_00075T0	cellular organisms	1	100
CC1G_00076T0	cellular organisms	1	100
CC1G_00077T0	Eukaryota	2	100
CC1G_00078T0	Coprinopsis cinerea	14	100
CC1G_00079T0	cellular organisms	1	100
CC1G_00080T0	cellular organisms	1	100
CC1G_00081T0	cellular organisms	1	100
CC1G_00082T0	cellular organisms	1	100
CC1G_00083T0	cellular organisms	1	100
CC1G_00084T0	Agaricomycetes	8	100
CC1G_00085T0	Coprinopsis cinerea	14	100
CC1G_00086T0	cellular organisms	1	100
CC1G_00087T0	cellular organisms	1	100
CC1G_00089T0	Eukaryota	2	100
CC1G_00090T0	cellular organisms	1	100
CC1G_00091T0	Agaricomycetes	8	100
CC1G_00092T0	cellular organisms	1	100
CC1G_00093T0	cellular organisms	1	100
CC1G_00094T0	Eukaryota	2	91
CC1G_00095T0	cellular organisms	1	100
CC1G_00096T0	cellular organisms	1	100
CC1G_00097T0	Agaricomycotina	7	100
CC1G_00098T0	Basidiomycota	6	87
CC1G_00099T0	cellular organisms	1	100
CC1G_00100T0	cellular organisms	1	100
CC1G_00101T0	Eukaryota	2	66
CC1G_00102T0	Eukaryota	2	100
CC1G_00103T0	cellular organisms	1	100
CC1G_00104T0	Eukaryota	2	100
CC1G_00105T0	Coprinopsis	13	100
CC1G_00106T0	cellular organisms	1	100
CC1G_00107T0	Eukaryota	2	75
CC1G_00108T0	cellular organisms	1	100
CC1G_00109T0	Eukaryota	2	58
CC1G_00110T0	Eukaryota	2	91
CC1G_00111T0	Agaricomycetidae	9	80
CC1G_00112T0	cellular organisms	1	100
CC1G_00113T0	Basidiomycota	6	100
CC1G_00114T0	cellular organisms	1	100
CC1G_00118T0	Eukaryota	2	100
CC1G_00119T0	cellular organisms	1	100
CC1G_00120T0	Eukaryota	2	100
CC1G_00121T0	cellular organisms	1	100
CC1G_00122T0	cellular organisms	1	100
CC1G_00123T0	Eukaryota	2	100
CC1G_00124T0	cellular organisms	1	100
CC1G_00125T0	cellular organisms	1	100
CC1G_00126T0	Basidiomycota	6	100
CC1G_00127T0	Eukaryota	2	91
CC1G_00128T0	cellular organisms	1	100
CC1G_00129T0	cellular organisms	1	100
