#gene	phylostratum	rank	taxonomic_representativeness
jgi|Ricmel1|100020|CE100019_927	Agaricomycetes	8	100
jgi|Ricmel1|100024|CE100023_351	Agaricomycetes	8	100
jgi|Ricmel1|1000|CE999_1919	cellular organisms	1	100
jgi|Ricmel1|100207|CE100206_1620	Agaricomycetes	8	100
jgi|Ricmel1|1003|CE1002_1279	Rickenella mellea	10	100
jgi|Ricmel1|100539|CE100538_2208	Rickenella mellea	10	100
jgi|Ricmel1|100609|CE100608_1185	Rickenella mellea	10	100
jgi|Ricmel1|100888|CE100887_878	Rickenella mellea	10	100
jgi|Ricmel1|100931|CE100930_18940	Rickenella mellea	10	100
jgi|Ricmel1|101045|CE101044_655	Agaricomycetes	8	100
jgi|Ricmel1|101642|CE101641_571	Eukaryota	2	100
jgi|Ricmel1|102131|CE102130_271	Rickenella mellea	10	100
jgi|Ricmel1|102152|CE102151_2903	cellular organisms	1	66
jgi|Ricmel1|102240|CE102239_57	Rickenella mellea	10	100
jgi|Ricmel1|102285|CE102284_1152	Rickenella mellea	10	100
jgi|Ricmel1|102340|CE102339_947	Agaricomycetes	8	50
jgi|Ricmel1|102368|CE102367_1625	cellular organisms	1	66
jgi|Ricmel1|102416|CE102415_415	Rickenella mellea	10	100
jgi|Ricmel1|102498|CE102497_44	Agaricomycetes	8	50
jgi|Ricmel1|102531|CE102530_350	Rickenella mellea	10	100
jgi|Ricmel1|102550|CE102549_521	Rickenella mellea	10	100
jgi|Ricmel1|103283|CE103282_3375	cellular organisms	1	100
jgi|Ricmel1|103290|CE103289_699	Dikarya	5	80
jgi|Ricmel1|103483|CE103482_1370	cellular organisms	1	100
jgi|Ricmel1|103645|CE103644_3390	Rickenella mellea	10	100
jgi|Ricmel1|103900|CE103899_244	Rickenella mellea	10	100
jgi|Ricmel1|103937|CE103936_19	Agaricomycetes	8	50
jgi|Ricmel1|104132|CE104131_108	Rickenella mellea	10	100
jgi|Ricmel1|1042|CE1041_4962	Agaricomycotina	7	100
jgi|Ricmel1|104501|CE104500_91	Rickenella mellea	10	100
jgi|Ricmel1|104514|CE104513_62	Rickenella mellea	10	100
jgi|Ricmel1|104678|CE104677_309	Rickenella mellea	10	100
jgi|Ricmel1|104683|CE104682_397	Agaricomycetes	8	100
jgi|Ricmel1|104755|CE104754_57	Rickenella mellea	10	100
jgi|Ricmel1|104758|CE104757_56	Rickenella mellea	10	100
jgi|Ricmel1|104772|CE104771_20	cellular organisms	1	100
jgi|Ricmel1|104831|CE104830_1036	Agaricomycetes	8	100
jgi|Ricmel1|104836|CE104835_257	Fungi	4	83
jgi|Ricmel1|105317|CE105316_667	Eukaryota	2	50
jgi|Ricmel1|105758|CE105757_500	Rickenella mellea	10	100
jgi|Ricmel1|106342|CE106341_499	Rickenella mellea	10	100
jgi|Ricmel1|106452|CE106451_703	cellular organisms	1	100
jgi|Ricmel1|106618|CE106617_2160	Rickenella mellea	10	100
jgi|Ricmel1|106696|CE106695_1290	Eukaryota	2	87
jgi|Ricmel1|107398|CE107397_9925	Rickenella mellea	10	100
jgi|Ricmel1|107623|CE107622_119	Rickenella mellea	10	100
jgi|Ricmel1|107701|CE107700_51	Dikarya	5	60
jgi|Ricmel1|10790|CE10789_1511	Hymenochaetales	9	100
jgi|Ricmel1|108013|CE108012_3021	Rickenella mellea	10	100
