#gene	phylostratum	rank	taxonomic_representativeness
FW_v1_tr_00001.p1	Eumetazoa	5	88
FW_v1_tr_00002.p1	cellular organisms	1	76
FW_v1_tr_00003.p1	cellular organisms	1	84
FW_v1_tr_00003.p3	cellular organisms	1	84
FW_v1_tr_00004.p1	Possible contamination or HGT	NA	25
FW_v1_tr_00005.p1	cellular organisms	1	92
FW_v1_tr_00006.p1	Schmidtea polychroa	14	100
FW_v1_tr_00007.p1	Schmidtea polychroa	14	100
FW_v1_tr_00008.p1	cellular organisms	1	92
FW_v1_tr_00009.p1	Eumetazoa	5	55
FW_v1_tr_00010.p1	cellular organisms	1	84
FW_v1_tr_00011.p1	Possible contamination or HGT	NA	12
FW_v1_tr_00012.p1	cellular organisms	1	76
FW_v1_tr_00013.p1	Eukaryota	2	83
FW_v1_tr_00014.p1	cellular organisms	1	84
FW_v1_tr_00015.p1	Eumetazoa	5	66
FW_v1_tr_00016.p1	cellular organisms	1	84
FW_v1_tr_00017.p1	cellular organisms	1	92
FW_v1_tr_00018.p1	cellular organisms	1	92
FW_v1_tr_00019.p1	Eukaryota	2	83
FW_v1_tr_00020.p1	Spiralia	8	50
FW_v1_tr_00021.p3	Schmidtea polychroa	14	100
FW_v1_tr_00022.p1	cellular organisms	1	76
FW_v1_tr_00023.p1	cellular organisms	1	84
FW_v1_tr_00024.p1	cellular organisms	1	84
FW_v1_tr_00025.p1	Possible contamination or HGT	NA	14
FW_v1_tr_00025.p11	Schmidtea polychroa	14	100
FW_v1_tr_00025.p16	Schmidtea polychroa	14	100
FW_v1_tr_00025.p18	Schmidtea polychroa	14	100
FW_v1_tr_00025.p3	Possible contamination or HGT	NA	14
FW_v1_tr_00025.p7	Schmidtea polychroa	14	100
FW_v1_tr_00026.p1	cellular organisms	1	84
FW_v1_tr_00027.p1	Possible contamination or HGT	NA	14
FW_v1_tr_00027.p11	Schmidtea polychroa	14	100
FW_v1_tr_00027.p18	Schmidtea polychroa	14	100
FW_v1_tr_00027.p2	Schmidtea polychroa	14	100
FW_v1_tr_00027.p4	Possible contamination or HGT	NA	14
FW_v1_tr_00027.p7	Schmidtea polychroa	14	100
FW_v1_tr_00028.p1	Possible contamination or HGT	NA	25
FW_v1_tr_00029.p1	Eukaryota	2	75
FW_v1_tr_00030.p1	cellular organisms	1	84
FW_v1_tr_00030.p2	Schmidtea polychroa	14	100
FW_v1_tr_00030.p3	cellular organisms	1	69
FW_v1_tr_00031.p1	Eukaryota	2	91
FW_v1_tr_00031.p2	cellular organisms	1	92
FW_v1_tr_00031.p5	Eukaryota	2	75
FW_v1_tr_00032.p1	cellular organisms	1	61
FW_v1_tr_00033.p1	cellular organisms	1	61
FW_v1_tr_00034.p1	Schmidtea polychroa	14	100
FW_v1_tr_00035.p1	cellular organisms	1	84
FW_v1_tr_00036.p1	Eumetazoa	5	66
FW_v1_tr_00037.p1	cellular organisms	1	84
FW_v1_tr_00038.p1	Eukaryota	2	66
FW_v1_tr_00039.p1	cellular organisms	1	84
