#gene	phylostratum	rank	taxonomic_representativeness
B4U62_00005	cellular organisms	1	100
B4U62_00010	cellular organisms	1	100
B4U62_00015	cellular organisms	1	100
B4U62_00020	cellular organisms	1	100
B4U62_00025	Bacteria	2	87
B4U62_00030	cellular organisms	1	100
B4U62_00035	cellular organisms	1	100
B4U62_00065	Bacteria	2	100
B4U62_00070	cellular organisms	1	100
B4U62_00075	cellular organisms	1	100
B4U62_00080	cellular organisms	1	100
B4U62_00085	cellular organisms	1	100
B4U62_00090	cellular organisms	1	100
B4U62_00100	cellular organisms	1	100
B4U62_00105	cellular organisms	1	100
B4U62_00110	cellular organisms	1	100
B4U62_00115	cellular organisms	1	100
B4U62_00120	cellular organisms	1	100
B4U62_00130	cellular organisms	1	100
B4U62_00135	cellular organisms	1	100
B4U62_00140	cellular organisms	1	100
B4U62_00145	Bacteria	2	87
B4U62_00150	Bacteria	2	100
B4U62_00180	Terrabacteria group	3	100
B4U62_00185	Bacteria	2	100
B4U62_00190	cellular organisms	1	100
B4U62_00195	cellular organisms	1	100
B4U62_00200	cellular organisms	1	100
B4U62_00205	cellular organisms	1	100
B4U62_00210	cellular organisms	1	88
B4U62_00215	cellular organisms	1	100
B4U62_00220	cellular organisms	1	100
B4U62_00225	cellular organisms	1	100
B4U62_00230	cellular organisms	1	100
B4U62_00235	cellular organisms	1	100
B4U62_00240	cellular organisms	1	100
B4U62_00245	cellular organisms	1	100
B4U62_00250	cellular organisms	1	100
B4U62_00255	cellular organisms	1	100
B4U62_00260	cellular organisms	1	100
B4U62_00265	cellular organisms	1	100
B4U62_00270	cellular organisms	1	100
B4U62_00275	cellular organisms	1	100
B4U62_00280	cellular organisms	1	100
B4U62_00285	cellular organisms	1	100
B4U62_00290	cellular organisms	1	100
B4U62_00295	cellular organisms	1	100
B4U62_00300	cellular organisms	1	100
B4U62_00305	cellular organisms	1	100
B4U62_00310	cellular organisms	1	100
B4U62_00315	cellular organisms	1	100
B4U62_00320	cellular organisms	1	100
B4U62_00325	cellular organisms	1	100
B4U62_00330	Bacteria	2	87
B4U62_00335	cellular organisms	1	100
B4U62_00340	cellular organisms	1	100
B4U62_00345	cellular organisms	1	100
B4U62_00350	cellular organisms	1	100
B4U62_00355	cellular organisms	1	100
B4U62_00360	Bacteria	2	100
B4U62_00365	Bacteria	2	100
B4U62_00370	Bacteria	2	100
B4U62_00375	cellular organisms	1	100
B4U62_00390	cellular organisms	1	100
B4U62_00395	cellular organisms	1	100
B4U62_00400	cellular organisms	1	100
B4U62_00405	cellular organisms	1	100
B4U62_00410	cellular organisms	1	100
B4U62_00415	cellular organisms	1	100
B4U62_00420	cellular organisms	1	100
B4U62_00425	cellular organisms	1	100
B4U62_00430	cellular organisms	1	100
B4U62_00435	cellular organisms	1	100
B4U62_00440	cellular organisms	1	100
B4U62_00445	cellular organisms	1	100
B4U62_00450	cellular organisms	1	100
B4U62_00455	cellular organisms	1	100
B4U62_00460	cellular organisms	1	100
B4U62_00465	cellular organisms	1	100
B4U62_00470	cellular organisms	1	100
B4U62_00475	cellular organisms	1	100
B4U62_00480	cellular organisms	1	100
B4U62_00560	cellular organisms	1	100
B4U62_00565	cellular organisms	1	100
B4U62_00570	cellular organisms	1	100
B4U62_00575	cellular organisms	1	100
B4U62_00580	cellular organisms	1	100
B4U62_00585	cellular organisms	1	100
B4U62_00590	cellular organisms	1	100
B4U62_00595	cellular organisms	1	100
B4U62_00600	cellular organisms	1	100
B4U62_00605	cellular organisms	1	100
B4U62_00610	Bacillus	8	100
B4U62_00620	cellular organisms	1	100
B4U62_00625	cellular organisms	1	100
B4U62_00630	cellular organisms	1	100
B4U62_00635	cellular organisms	1	100
B4U62_00640	cellular organisms	1	100
B4U62_00645	cellular organisms	1	100
B4U62_00650	cellular organisms	1	100
B4U62_00655	cellular organisms	1	100
B4U62_00660	cellular organisms	1	100
B4U62_00665	cellular organisms	1	100
B4U62_00670	cellular organisms	1	100
B4U62_00675	cellular organisms	1	100
B4U62_00680	cellular organisms	1	100
B4U62_00685	cellular organisms	1	100
B4U62_00690	cellular organisms	1	100
B4U62_00695	cellular organisms	1	100
B4U62_00700	cellular organisms	1	100
B4U62_00705	cellular organisms	1	100
B4U62_00710	cellular organisms	1	100
B4U62_00715	cellular organisms	1	100
B4U62_00720	cellular organisms	1	100
B4U62_00725	cellular organisms	1	100
B4U62_00730	cellular organisms	1	100
B4U62_00735	cellular organisms	1	100
B4U62_00740	cellular organisms	1	100
B4U62_00745	cellular organisms	1	100
B4U62_00750	cellular organisms	1	100
B4U62_00755	cellular organisms	1	100
B4U62_00760	cellular organisms	1	100
B4U62_00765	cellular organisms	1	100
B4U62_00770	cellular organisms	1	100
B4U62_00775	cellular organisms	1	100
B4U62_00780	cellular organisms	1	100
B4U62_00785	cellular organisms	1	100
B4U62_00790	cellular organisms	1	100
B4U62_00795	cellular organisms	1	100
B4U62_00800	cellular organisms	1	100
B4U62_00805	cellular organisms	1	100
B4U62_00810	cellular organisms	1	100
B4U62_00815	cellular organisms	1	100
B4U62_00820	cellular organisms	1	100
B4U62_00825	cellular organisms	1	100
B4U62_00830	cellular organisms	1	100
B4U62_00835	cellular organisms	1	100
B4U62_00840	cellular organisms	1	100
B4U62_00845	cellular organisms	1	66
B4U62_00850	cellular organisms	1	100
B4U62_00855	cellular organisms	1	100
B4U62_00860	cellular organisms	1	100
B4U62_00865	cellular organisms	1	100
B4U62_00870	cellular organisms	1	100
B4U62_00875	cellular organisms	1	100
B4U62_00880	cellular organisms	1	100
B4U62_00885	cellular organisms	1	100
B4U62_00890	cellular organisms	1	100
B4U62_00895	cellular organisms	1	100
B4U62_00900	cellular organisms	1	100
B4U62_00905	cellular organisms	1	100
B4U62_00910	cellular organisms	1	100
B4U62_00915	Bacteria	2	87
B4U62_00920	cellular organisms	1	100
B4U62_00925	cellular organisms	1	100
B4U62_00930	cellular organisms	1	100
B4U62_00935	Bacteria	2	100
B4U62_00940	cellular organisms	1	100
B4U62_01020	Bacillus	8	100
B4U62_01025	cellular organisms	1	100
B4U62_01030	cellular organisms	1	100
B4U62_01035	cellular organisms	1	100
B4U62_01040	cellular organisms	1	100
B4U62_01045	cellular organisms	1	100
B4U62_01050	cellular organisms	1	100
B4U62_01055	cellular organisms	1	100
B4U62_01060	cellular organisms	1	100
B4U62_01065	cellular organisms	1	100
B4U62_01070	cellular organisms	1	100
B4U62_01075	cellular organisms	1	100
B4U62_01080	cellular organisms	1	100
B4U62_01085	cellular organisms	1	100
B4U62_01090	cellular organisms	1	100
B4U62_01095	cellular organisms	1	100
B4U62_01125	cellular organisms	1	100
B4U62_01130	cellular organisms	1	88
B4U62_01135	cellular organisms	1	100
B4U62_01140	cellular organisms	1	100
B4U62_01145	cellular organisms	1	100
B4U62_01150	cellular organisms	1	100
B4U62_01155	cellular organisms	1	100
