#gene	phylostratum	rank	taxonomic_representativeness
ENSGALP00000000002	Chordata	8	100
ENSGALP00000000003	cellular organisms	1	100
ENSGALP00000000011	Eumetazoa	5	100
ENSGALP00000000018	Eukaryota	2	100
ENSGALP00000000019	Gallus gallus	25	100
ENSGALP00000000021	Eukaryota	2	100
ENSGALP00000000022	Phasianidae	23	50
ENSGALP00000000025	cellular organisms	1	100
ENSGALP00000000045	cellular organisms	1	100
ENSGALP00000000050	cellular organisms	1	100
ENSGALP00000000052	cellular organisms	1	83
ENSGALP00000000054	cellular organisms	1	100
ENSGALP00000000056	Bilateria	6	100
ENSGALP00000000058	cellular organisms	1	100
ENSGALP00000000062	cellular organisms	1	100
ENSGALP00000000063	cellular organisms	1	91
ENSGALP00000000069	Eukaryota	2	95
ENSGALP00000000070	Eukaryota	2	100
ENSGALP00000000073	cellular organisms	1	100
ENSGALP00000000076	Eukaryota	2	95
ENSGALP00000000077	Gnathostomata	10	86
ENSGALP00000000080	Gnathostomata	10	100
ENSGALP00000000083	cellular organisms	1	83
ENSGALP00000000088	cellular organisms	1	95
ENSGALP00000000091	cellular organisms	1	100
ENSGALP00000000096	Eumetazoa	5	95
ENSGALP00000000102	cellular organisms	1	100
ENSGALP00000000103	Eukaryota	2	100
ENSGALP00000000107	cellular organisms	1	100
ENSGALP00000000108	cellular organisms	1	95
ENSGALP00000000114	cellular organisms	1	100
ENSGALP00000000122	cellular organisms	1	95
ENSGALP00000000127	Eukaryota	2	100
ENSGALP00000000131	cellular organisms	1	100
ENSGALP00000000135	Opisthokonta	3	100
ENSGALP00000000137	cellular organisms	1	91
ENSGALP00000000138	cellular organisms	1	70
ENSGALP00000000140	cellular organisms	1	100
ENSGALP00000000142	cellular organisms	1	100
ENSGALP00000000144	Gnathostomata	10	100
ENSGALP00000000146	cellular organisms	1	95
ENSGALP00000000148	cellular organisms	1	100
ENSGALP00000000151	cellular organisms	1	100
ENSGALP00000000157	cellular organisms	1	100
ENSGALP00000000160	Bilateria	6	94
ENSGALP00000000161	Eumetazoa	5	100
ENSGALP00000000162	Euteleostomi	11	92
ENSGALP00000000163	Tetrapoda	14	72
