#gene	phylostratum	rank	taxonomic_representativeness
ENSDARP00000000004	Eukaryota	2	100
ENSDARP00000000005	cellular organisms	1	73
ENSDARP00000000019	Metazoa	4	100
ENSDARP00000000042	cellular organisms	1	100
ENSDARP00000000069	cellular organisms	1	95
ENSDARP00000000070	Eumetazoa	5	100
ENSDARP00000000087	cellular organisms	1	100
ENSDARP00000000102	cellular organisms	1	100
ENSDARP00000000160	cellular organisms	1	91
ENSDARP00000000192	cellular organisms	1	100
ENSDARP00000000198	cellular organisms	1	95
ENSDARP00000000221	cellular organisms	1	91
ENSDARP00000000250	cellular organisms	1	100
ENSDARP00000000280	cellular organisms	1	100
ENSDARP00000000382	cellular organisms	1	100
ENSDARP00000000392	cellular organisms	1	100
ENSDARP00000000406	Gnathostomata	10	100
ENSDARP00000000473	Gnathostomata	10	92
ENSDARP00000000486	cellular organisms	1	100
ENSDARP00000000488	cellular organisms	1	82
ENSDARP00000000514	cellular organisms	1	95
ENSDARP00000000561	cellular organisms	1	100
ENSDARP00000000618	Gnathostomata	10	100
ENSDARP00000000665	Eukaryota	2	100
ENSDARP00000000748	cellular organisms	1	95
ENSDARP00000000769	cellular organisms	1	95
ENSDARP00000000785	Metazoa	4	90
ENSDARP00000000803	cellular organisms	1	100
ENSDARP00000000854	cellular organisms	1	100
ENSDARP00000000877	Eukaryota	2	100
ENSDARP00000000920	Opisthokonta	3	100
ENSDARP00000000952	Eukaryota	2	100
ENSDARP00000000956	cellular organisms	1	100
ENSDARP00000000960	Opisthokonta	3	100
ENSDARP00000000966	cellular organisms	1	100
ENSDARP00000000979	cellular organisms	1	95
ENSDARP00000000985	cellular organisms	1	95
ENSDARP00000001039	cellular organisms	1	100
ENSDARP00000001051	cellular organisms	1	100
ENSDARP00000001119	cellular organisms	1	95
ENSDARP00000001137	Metazoa	4	100
ENSDARP00000001151	Eukaryota	2	100
ENSDARP00000001156	cellular organisms	1	100
ENSDARP00000001158	cellular organisms	1	95
ENSDARP00000001187	cellular organisms	1	100
ENSDARP00000001208	cellular organisms	1	100
ENSDARP00000001220	cellular organisms	1	100
ENSDARP00000001240	cellular organisms	1	100
ENSDARP00000001250	cellular organisms	1	100
ENSDARP00000001256	cellular organisms	1	100
ENSDARP00000001263	cellular organisms	1	100
ENSDARP00000001281	cellular organisms	1	100
ENSDARP00000001284	cellular organisms	1	100
ENSDARP00000001288	cellular organisms	1	100
ENSDARP00000001291	cellular organisms	1	100
ENSDARP00000001315	Eukaryota	2	95
ENSDARP00000001330	Actinopterygii	12	100
ENSDARP00000001346	cellular organisms	1	100
ENSDARP00000001363	cellular organisms	1	100
ENSDARP00000001399	Eukaryota	2	95
ENSDARP00000001459	cellular organisms	1	100
ENSDARP00000001468	cellular organisms	1	100
ENSDARP00000001475	cellular organisms	1	100
ENSDARP00000001478	cellular organisms	1	73
ENSDARP00000001483	cellular organisms	1	100
ENSDARP00000001500	Vertebrata	9	100
ENSDARP00000001527	Gnathostomata	10	100
ENSDARP00000001565	cellular organisms	1	100
ENSDARP00000001575	cellular organisms	1	100
ENSDARP00000001617	cellular organisms	1	100
ENSDARP00000001793	Opisthokonta	3	100
ENSDARP00000001807	cellular organisms	1	82
ENSDARP00000001845	cellular organisms	1	100
ENSDARP00000001911	cellular organisms	1	95
ENSDARP00000001943	cellular organisms	1	95
ENSDARP00000001953	cellular organisms	1	78
ENSDARP00000001968	cellular organisms	1	91
ENSDARP00000001971	cellular organisms	1	100
ENSDARP00000002005	cellular organisms	1	91
ENSDARP00000002028	cellular organisms	1	100
ENSDARP00000002041	Metazoa	4	100
ENSDARP00000002061	cellular organisms	1	100
ENSDARP00000002077	Metazoa	4	100
ENSDARP00000002079	Eumetazoa	5	100
ENSDARP00000002092	Eukaryota	2	95
ENSDARP00000002102	Deuterostomia	7	100
ENSDARP00000002107	Opisthokonta	3	100
ENSDARP00000002108	cellular organisms	1	100
ENSDARP00000002111	Eukaryota	2	95
ENSDARP00000002120	Bilateria	6	94
ENSDARP00000002122	cellular organisms	1	100
ENSDARP00000002125	cellular organisms	1	78
ENSDARP00000002126	cellular organisms	1	100
ENSDARP00000002127	cellular organisms	1	100
ENSDARP00000002154	cellular organisms	1	100
ENSDARP00000002156	Eumetazoa	5	100
ENSDARP00000002159	Gnathostomata	10	100
ENSDARP00000002173	Metazoa	4	100
ENSDARP00000002175	cellular organisms	1	100
ENSDARP00000002180	cellular organisms	1	100
ENSDARP00000002195	cellular organisms	1	100
ENSDARP00000002199	cellular organisms	1	100
ENSDARP00000002204	cellular organisms	1	91
ENSDARP00000002213	cellular organisms	1	100
ENSDARP00000002223	cellular organisms	1	100
ENSDARP00000002225	cellular organisms	1	100
ENSDARP00000002228	Eukaryota	2	95
ENSDARP00000002234	cellular organisms	1	100
ENSDARP00000002236	Metazoa	4	95
ENSDARP00000002260	cellular organisms	1	100
ENSDARP00000002262	cellular organisms	1	100
ENSDARP00000002263	cellular organisms	1	95
ENSDARP00000002264	Eukaryota	2	100
ENSDARP00000002269	cellular organisms	1	100
ENSDARP00000002286	cellular organisms	1	100
ENSDARP00000002292	cellular organisms	1	100
ENSDARP00000002293	Euteleostomi	11	84
ENSDARP00000002313	cellular organisms	1	100
ENSDARP00000002327	cellular organisms	1	100
ENSDARP00000002330	cellular organisms	1	100
ENSDARP00000002331	cellular organisms	1	91
ENSDARP00000002339	cellular organisms	1	82
ENSDARP00000002357	cellular organisms	1	91
ENSDARP00000002360	cellular organisms	1	100
ENSDARP00000002367	cellular organisms	1	100
ENSDARP00000002411	cellular organisms	1	100
ENSDARP00000002420	cellular organisms	1	100
ENSDARP00000002427	Eukaryota	2	100
ENSDARP00000002431	Bilateria	6	100
ENSDARP00000002432	Opisthokonta	3	100
ENSDARP00000002435	cellular organisms	1	95
ENSDARP00000002437	cellular organisms	1	100
ENSDARP00000002450	cellular organisms	1	86
ENSDARP00000002453	Eukaryota	2	100
ENSDARP00000002460	Metazoa	4	100
ENSDARP00000002466	cellular organisms	1	100
ENSDARP00000002468	Gnathostomata	10	100
ENSDARP00000002469	cellular organisms	1	95
ENSDARP00000002470	Eumetazoa	5	100
ENSDARP00000002475	cellular organisms	1	100
ENSDARP00000002476	Eukaryota	2	95
