#gene	phylostratum	rank	taxonomic_representativeness
PT_v1_tr_00001.p1	Platynereis dumerilii	12	100
PT_v1_tr_00002.p1	cellular organisms	1	100
PT_v1_tr_00003.p1	Platynereis dumerilii	12	100
PT_v1_tr_00004.p1	Platynereis dumerilii	12	100
PT_v1_tr_00005.p1	cellular organisms	1	100
PT_v1_tr_00006.p1	cellular organisms	1	100
PT_v1_tr_00007.p1	cellular organisms	1	100
PT_v1_tr_00008.p1	Eukaryota	2	90
PT_v1_tr_00009.p1	cellular organisms	1	100
PT_v1_tr_00010.p1	cellular organisms	1	100
PT_v1_tr_00011.p1	cellular organisms	1	100
PT_v1_tr_00012.p1	cellular organisms	1	100
PT_v1_tr_00013.p1	Eukaryota	2	90
PT_v1_tr_00014.p1	cellular organisms	1	100
PT_v1_tr_00015.p1	cellular organisms	1	63
PT_v1_tr_00016.p1	Eumetazoa	5	85
PT_v1_tr_00017.p1	cellular organisms	1	100
PT_v1_tr_00017.p12	Platynereis dumerilii	12	100
PT_v1_tr_00018.p1	Platynereis dumerilii	12	100
PT_v1_tr_00019.p1	cellular organisms	1	100
PT_v1_tr_00020.p1	cellular organisms	1	90
PT_v1_tr_00021.p1	cellular organisms	1	100
PT_v1_tr_00022.p1	cellular organisms	1	81
PT_v1_tr_00023.p1	Platynereis dumerilii	12	100
PT_v1_tr_00024.p1	cellular organisms	1	72
PT_v1_tr_00025.p1	Platynereis dumerilii	12	100
PT_v1_tr_00026.p1	Opisthokonta	3	88
PT_v1_tr_00027.p1	Opisthokonta	3	100
PT_v1_tr_00028.p1	cellular organisms	1	100
PT_v1_tr_00029.p1	cellular organisms	1	100
PT_v1_tr_00030.p1	cellular organisms	1	81
PT_v1_tr_00031.p1	cellular organisms	1	100
PT_v1_tr_00032.p1	cellular organisms	1	100
PT_v1_tr_00032.p3	Platynereis dumerilii	12	100
PT_v1_tr_00033.p1	Metazoa	4	100
PT_v1_tr_00034.p1	Polychaeta	11	100
PT_v1_tr_00035.p1	Platynereis dumerilii	12	100
PT_v1_tr_00036.p1	Eukaryota	2	100
PT_v1_tr_00037.p1	cellular organisms	1	100
PT_v1_tr_00038.p1	cellular organisms	1	100
PT_v1_tr_00039.p1	cellular organisms	1	100
PT_v1_tr_00040.p1	cellular organisms	1	90
PT_v1_tr_00041.p1	Eumetazoa	5	85
PT_v1_tr_00042.p1	cellular organisms	1	100
PT_v1_tr_00043.p1	cellular organisms	1	100
PT_v1_tr_00043.p11	Platynereis dumerilii	12	100
PT_v1_tr_00044.p1	Eukaryota	2	100
PT_v1_tr_00045.p3	Platynereis dumerilii	12	100
PT_v1_tr_00045.p4	Platynereis dumerilii	12	100
PT_v1_tr_00046.p1	Metazoa	4	100
PT_v1_tr_00047.p1	cellular organisms	1	100
PT_v1_tr_00048.p1	Eukaryota	2	100
PT_v1_tr_00049.p1	cellular organisms	1	100
PT_v1_tr_00050.p1	Eukaryota	2	60
PT_v1_tr_00050.p3	Eukaryota	2	60
PT_v1_tr_00051.p1	Opisthokonta	3	66
PT_v1_tr_00052.p1	cellular organisms	1	100
PT_v1_tr_00053.p1	cellular organisms	1	100
PT_v1_tr_00054.p2	cellular organisms	1	100
PT_v1_tr_00055.p1	Eukaryota	2	100
PT_v1_tr_00055.p2	cellular organisms	1	100
PT_v1_tr_00055.p3	Platynereis dumerilii	12	100
PT_v1_tr_00056.p1	Eukaryota	2	100
PT_v1_tr_00057.p2	Platynereis dumerilii	12	100
PT_v1_tr_00058.p1	Platynereis dumerilii	12	100
PT_v1_tr_00059.p1	Eumetazoa	5	57
PT_v1_tr_00060.p1	cellular organisms	1	100
PT_v1_tr_00060.p7	Platynereis dumerilii	12	100
PT_v1_tr_00061.p1	cellular organisms	1	100
