#gene	phylostratum	rank	taxonomic_representativeness
Aqu2.1.00001_001	Eukaryota	2	75
Aqu2.1.00002_001	Eukaryota	2	75
Aqu2.1.00003_001	Amphimedon queenslandica	6	100
Aqu2.1.00004_001	Amphimedon queenslandica	6	100
Aqu2.1.00005_001	Amphimedon queenslandica	6	100
Aqu2.1.00006_001	cellular organisms	1	80
Aqu2.1.00007_001	cellular organisms	1	80
Aqu2.1.00008_001	Amphimedon queenslandica	6	100
Aqu2.1.00009_001	Metazoa	4	50
Aqu2.1.00010_001	cellular organisms	1	80
Aqu2.1.00011_001	Amphimedon queenslandica	6	100
Aqu2.1.00012_001	Amphimedon queenslandica	6	100
Aqu2.1.00013_001	Opisthokonta	3	66
Aqu2.1.00014_001	cellular organisms	1	60
Aqu2.1.00015_001	Amphimedon queenslandica	6	100
Aqu2.1.00016_001	Metazoa	4	50
Aqu2.1.00017_001	cellular organisms	1	80
Aqu2.1.00018_001	Opisthokonta	3	66
Aqu2.1.00019_001	Metazoa	4	50
Aqu2.1.00020_001	Metazoa	4	50
Aqu2.1.00021_001	Amphimedon queenslandica	6	100
Aqu2.1.00022_001	Amphimedon queenslandica	6	100
Aqu2.1.00023_001	Amphimedon queenslandica	6	100
Aqu2.1.00024_001	Absent from the DIAMOND/MMseqs2 results	NA	NA
Aqu2.1.00025_001	Eukaryota	2	50
Aqu2.1.00026_001	Metazoa	4	50
Aqu2.1.00027_001	Amphimedon queenslandica	6	100
Aqu2.1.00028_001	cellular organisms	1	60
Aqu2.1.00029_001	Amphimedon queenslandica	6	100
Aqu2.1.00030_001	cellular organisms	1	80
Aqu2.1.00031_001	cellular organisms	1	80
Aqu2.1.00032_001	Amphimedon queenslandica	6	100
Aqu2.1.00033_001	Eukaryota	2	50
Aqu2.1.00034_001	Eukaryota	2	75
Aqu2.1.00035_001	cellular organisms	1	60
Aqu2.1.00036_001	cellular organisms	1	80
Aqu2.1.00037_001	Amphimedon queenslandica	6	100
Aqu2.1.00038_001	cellular organisms	1	100
Aqu2.1.00039_001	Amphimedon queenslandica	6	100
Aqu2.1.00040_001	Opisthokonta	3	66
Aqu2.1.00041_001	cellular organisms	1	80
Aqu2.1.00042_001	Amphimedon queenslandica	6	100
Aqu2.1.00043_001	Metazoa	4	50
Aqu2.1.00044_001	Metazoa	4	50
Aqu2.1.00045_001	cellular organisms	1	80
Aqu2.1.00046_001	Amphimedon queenslandica	6	100
Aqu2.1.00047_001	cellular organisms	1	80
Aqu2.1.00048_001	Eukaryota	2	75
Aqu2.1.00049_001	Absent from the DIAMOND/MMseqs2 results	NA	NA
Aqu2.1.00050_001	Amphimedon queenslandica	6	100
Aqu2.1.00051_001	cellular organisms	1	60
Aqu2.1.00052_001	Amphimedon queenslandica	6	100
Aqu2.1.00053_001	Amphimedon queenslandica	6	100
Aqu2.1.00054_001	Amphimedon queenslandica	6	100
Aqu2.1.00055_001	Amphimedon queenslandica	6	100
Aqu2.1.00056_001	Eukaryota	2	75
Aqu2.1.00057_001	cellular organisms	1	100
Aqu2.1.00058_001	Amphimedon queenslandica	6	100
Aqu2.1.00059_001	Amphimedon queenslandica	6	100
Aqu2.1.00060_001	cellular organisms	1	100
Aqu2.1.00061_001	Metazoa	4	50
Aqu2.1.00062_001	cellular organisms	1	80
Aqu2.1.00063_001	Amphimedon queenslandica	6	100
Aqu2.1.00064_001	Amphimedon queenslandica	6	100
Aqu2.1.00065_001	cellular organisms	1	80
Aqu2.1.00066_001	Opisthokonta	3	66
Aqu2.1.00067_001	Amphimedon queenslandica	6	100
Aqu2.1.00068_001	cellular organisms	1	60
Aqu2.1.00069_001	Metazoa	4	50
Aqu2.1.00070_001	Amphimedon queenslandica	6	100
Aqu2.1.00071_001	Eukaryota	2	75
Aqu2.1.00072_001	cellular organisms	1	80
Aqu2.1.00073_001	Amphimedon queenslandica	6	100
Aqu2.1.00074_001	Amphimedon queenslandica	6	100
Aqu2.1.00075_001	cellular organisms	1	100
Aqu2.1.00076_001	Amphimedon queenslandica	6	100
Aqu2.1.00077_001	cellular organisms	1	100
Aqu2.1.00078_001	Amphimedon queenslandica	6	100
Aqu2.1.00079_001	cellular organisms	1	80
Aqu2.1.00080_001	Opisthokonta	3	66
Aqu2.1.00081_001	Metazoa	4	50
Aqu2.1.00082_001	Amphimedon queenslandica	6	100
Aqu2.1.00083_001	Amphimedon queenslandica	6	100
Aqu2.1.00084_001	Eukaryota	2	75
Aqu2.1.00085_001	cellular organisms	1	80
Aqu2.1.00086_001	cellular organisms	1	60
Aqu2.1.00087_001	Amphimedon queenslandica	6	100
Aqu2.1.00088_001	cellular organisms	1	80
Aqu2.1.00089_001	cellular organisms	1	80
Aqu2.1.00090_001	Amphimedon queenslandica	6	100
Aqu2.1.00091_001	Metazoa	4	50
Aqu2.1.00092_001	Amphimedon queenslandica	6	100
Aqu2.1.00093_001	cellular organisms	1	60
Aqu2.1.00094_001	cellular organisms	1	40
Aqu2.1.00095_001	cellular organisms	1	100
Aqu2.1.00096_001	Amphimedon queenslandica	6	100
Aqu2.1.00097_001	Amphimedon queenslandica	6	100
Aqu2.1.00098_001	Amphimedon queenslandica	6	100
Aqu2.1.00099_001	Opisthokonta	3	66
Aqu2.1.00100_001	cellular organisms	1	80
Aqu2.1.00101_001	Amphimedon queenslandica	6	100
Aqu2.1.00102_001	Amphimedon queenslandica	6	100
Aqu2.1.00103_001	Amphimedon queenslandica	6	100
Aqu2.1.00104_001	Metazoa	4	50
Aqu2.1.00105_001	cellular organisms	1	80
Aqu2.1.00106_001	Amphimedon queenslandica	6	100
Aqu2.1.00107_001	Amphimedon queenslandica	6	100
Aqu2.1.00108_001	Amphimedon queenslandica	6	100
Aqu2.1.00109_001	Eukaryota	2	75
Aqu2.1.00110_001	cellular organisms	1	60
Aqu2.1.00111_001	Amphimedon queenslandica	6	100
Aqu2.1.00112_001	Eukaryota	2	75
Aqu2.1.00113_001	Metazoa	4	50
Aqu2.1.00114_001	cellular organisms	1	80
Aqu2.1.00115_001	cellular organisms	1	60
Aqu2.1.00116_001	cellular organisms	1	80
Aqu2.1.00117_001	Metazoa	4	50
Aqu2.1.00118_001	Eukaryota	2	75
Aqu2.1.00119_001	Amphimedon queenslandica	6	100
Aqu2.1.00120_001	cellular organisms	1	100
Aqu2.1.00121_001	Eukaryota	2	50
Aqu2.1.00122_001	cellular organisms	1	80
Aqu2.1.00123_001	Metazoa	4	50
Aqu2.1.00124_001	Amphimedon queenslandica	6	100
Aqu2.1.00125_001	Absent from the DIAMOND/MMseqs2 results	NA	NA
Aqu2.1.00126_001	cellular organisms	1	80
Aqu2.1.00127_001	Amphimedon queenslandica	6	100
Aqu2.1.00128_001	Amphimedon queenslandica	6	100
Aqu2.1.00129_001	cellular organisms	1	40
Aqu2.1.00130_001	cellular organisms	1	80
Aqu2.1.00131_001	Amphimedon queenslandica	6	100
Aqu2.1.00132_001	Amphimedon queenslandica	6	100
Aqu2.1.00133_001	Opisthokonta	3	33
Aqu2.1.00134_001	Amphimedon queenslandica	6	100
Aqu2.1.00135_001	cellular organisms	1	80
Aqu2.1.00136_001	cellular organisms	1	40
Aqu2.1.00137_001	Amphimedon queenslandica	6	100
Aqu2.1.00138_001	Amphimedon queenslandica	6	100
Aqu2.1.00139_001	Eukaryota	2	75
Aqu2.1.00140_001	Metazoa	4	50
Aqu2.1.00141_001	Amphimedon queenslandica	6	100
Aqu2.1.00142_001	Metazoa	4	50
Aqu2.1.00143_001	cellular organisms	1	100
Aqu2.1.00144_001	Amphimedon queenslandica	6	100
Aqu2.1.00145_001	Amphimedon queenslandica	6	100
Aqu2.1.00146_001	Amphimedon queenslandica	6	100
Aqu2.1.00147_001	Amphimedon queenslandica	6	100
Aqu2.1.00148_001	Metazoa	4	50
Aqu2.1.00149_001	Amphimedon queenslandica	6	100
Aqu2.1.00150_001	Eukaryota	2	75
Aqu2.1.00151_001	cellular organisms	1	40
Aqu2.1.00152_001	Amphimedon queenslandica	6	100
Aqu2.1.00153_001	Metazoa	4	50
Aqu2.1.00154_001	Amphimedon queenslandica	6	100
Aqu2.1.00155_001	Metazoa	4	50
Aqu2.1.00156_001	Amphimedon queenslandica	6	100
Aqu2.1.00157_001	Amphimedon queenslandica	6	100
Aqu2.1.00158_001	Amphimedon queenslandica	6	100
Aqu2.1.00159_001	Amphimedon queenslandica	6	100
Aqu2.1.00160_001	Metazoa	4	50
Aqu2.1.00161_001	cellular organisms	1	40
Aqu2.1.00162_001	cellular organisms	1	60
Aqu2.1.00163_001	cellular organisms	1	80
Aqu2.1.00164_001	cellular organisms	1	80
Aqu2.1.00165_001	Amphimedon queenslandica	6	100
Aqu2.1.00166_001	cellular organisms	1	80
Aqu2.1.00167_001	Amphimedon queenslandica	6	100
Aqu2.1.00168_001	Metazoa	4	50
Aqu2.1.00169_001	cellular organisms	1	100
Aqu2.1.00170_001	cellular organisms	1	100
Aqu2.1.00171_001	cellular organisms	1	100
Aqu2.1.00172_001	Metazoa	4	50
Aqu2.1.00173_001	Eukaryota	2	50
Aqu2.1.00174_001	cellular organisms	1	100
Aqu2.1.00175_001	Eukaryota	2	75
Aqu2.1.00176_001	cellular organisms	1	80
Aqu2.1.00177_001	Amphimedon queenslandica	6	100
Aqu2.1.00178_001	cellular organisms	1	80
Aqu2.1.00179_001	Amphimedon queenslandica	6	100
Aqu2.1.00180_001	Eukaryota	2	75
Aqu2.1.00181_001	cellular organisms	1	100
Aqu2.1.00182_001	Amphimedon queenslandica	6	100
Aqu2.1.00183_001	Metazoa	4	50
Aqu2.1.00184_001	Amphimedon queenslandica	6	100
Aqu2.1.00185_001	Metazoa	4	50
Aqu2.1.00186_001	cellular organisms	1	60
Aqu2.1.00187_001	Amphimedon queenslandica	6	100
Aqu2.1.00188_001	Amphimedon queenslandica	6	100
Aqu2.1.00189_001	cellular organisms	1	60
Aqu2.1.00190_001	Eukaryota	2	75
Aqu2.1.00191_001	cellular organisms	1	80
Aqu2.1.00192_001	cellular organisms	1	60
Aqu2.1.00193_001	Metazoa	4	50
Aqu2.1.00194_001	Amphimedon queenslandica	6	100
Aqu2.1.00195_001	Amphimedon queenslandica	6	100
Aqu2.1.00196_001	Amphimedon queenslandica	6	100
Aqu2.1.00197_001	Amphimedon queenslandica	6	100
Aqu2.1.00198_001	Amphimedon queenslandica	6	100
Aqu2.1.00199_001	Amphimedon queenslandica	6	100
Aqu2.1.00200_001	Amphimedon queenslandica	6	100
Aqu2.1.00201_001	Amphimedon queenslandica	6	100
Aqu2.1.00202_001	Eukaryota	2	75
Aqu2.1.00203_001	Metazoa	4	50
Aqu2.1.00204_001	Amphimedon queenslandica	6	100
Aqu2.1.00205_001	Amphimedon queenslandica	6	100
Aqu2.1.00206_001	Amphimedon queenslandica	6	100
Aqu2.1.00207_001	Eukaryota	2	75
Aqu2.1.00208_001	Amphimedon queenslandica	6	100
Aqu2.1.00209_001	Amphimedon queenslandica	6	100
Aqu2.1.00210_001	Amphimedon queenslandica	6	100
Aqu2.1.00211_001	cellular organisms	1	40
Aqu2.1.00212_001	Amphimedon queenslandica	6	100
Aqu2.1.00213_001	Amphimedon queenslandica	6	100
Aqu2.1.00214_001	Amphimedon queenslandica	6	100
Aqu2.1.00215_001	Amphimedon queenslandica	6	100
Aqu2.1.00216_001	Amphimedon queenslandica	6	100
Aqu2.1.00217_001	Amphimedon queenslandica	6	100
Aqu2.1.00218_001	Metazoa	4	50
Aqu2.1.00219_001	Eukaryota	2	50
Aqu2.1.00220_001	Metazoa	4	50
Aqu2.1.00221_001	Amphimedon queenslandica	6	100
Aqu2.1.00222_001	Metazoa	4	50
Aqu2.1.00223_001	Metazoa	4	50
Aqu2.1.00224_001	Amphimedon queenslandica	6	100
Aqu2.1.00225_001	Metazoa	4	50
Aqu2.1.00226_001	cellular organisms	1	80
Aqu2.1.00227_001	cellular organisms	1	100
Aqu2.1.00228_001	Amphimedon queenslandica	6	100
Aqu2.1.00229_001	cellular organisms	1	80
Aqu2.1.00230_001	Amphimedon queenslandica	6	100
Aqu2.1.00231_001	Eukaryota	2	75
Aqu2.1.00232_001	Possible contamination or HGT	NA	25
Aqu2.1.00233_001	Amphimedon queenslandica	6	100
Aqu2.1.00234_001	Metazoa	4	50
Aqu2.1.00235_001	cellular organisms	1	80
Aqu2.1.00236_001	cellular organisms	1	80
Aqu2.1.00237_001	Amphimedon queenslandica	6	100
Aqu2.1.00238_001	cellular organisms	1	80
Aqu2.1.00239_001	Amphimedon queenslandica	6	100
Aqu2.1.00240_001	Metazoa	4	50
Aqu2.1.00241_001	Amphimedon queenslandica	6	100
Aqu2.1.00242_001	Amphimedon queenslandica	6	100
Aqu2.1.00243_001	Metazoa	4	50
Aqu2.1.00244_001	Amphimedon queenslandica	6	100
Aqu2.1.00245_001	cellular organisms	1	80
Aqu2.1.00246_001	Amphimedon queenslandica	6	100
Aqu2.1.00247_001	cellular organisms	1	100
Aqu2.1.00248_001	Amphimedon queenslandica	6	100
Aqu2.1.00249_001	Metazoa	4	50
Aqu2.1.00250_001	Eukaryota	2	75
Aqu2.1.00251_001	cellular organisms	1	80
Aqu2.1.00252_001	cellular organisms	1	60
Aqu2.1.00253_001	Eukaryota	2	75
Aqu2.1.00254_001	Eukaryota	2	50
Aqu2.1.00255_001	Amphimedon queenslandica	6	100
Aqu2.1.00256_001	cellular organisms	1	80
Aqu2.1.00257_001	Eukaryota	2	50
Aqu2.1.00258_001	cellular organisms	1	80
Aqu2.1.00259_001	cellular organisms	1	80
Aqu2.1.00260_001	Amphimedon queenslandica	6	100
Aqu2.1.00261_001	Amphimedon queenslandica	6	100
Aqu2.1.00262_001	cellular organisms	1	80
Aqu2.1.00263_001	Amphimedon queenslandica	6	100
Aqu2.1.00264_001	Amphimedon queenslandica	6	100
Aqu2.1.00265_001	Eukaryota	2	75
Aqu2.1.00266_001	Eukaryota	2	75
Aqu2.1.00267_001	Amphimedon queenslandica	6	100
Aqu2.1.00268_001	cellular organisms	1	80
Aqu2.1.00269_001	Amphimedon queenslandica	6	100
Aqu2.1.00270_001	Metazoa	4	50
Aqu2.1.00271_001	cellular organisms	1	80
Aqu2.1.00272_001	Amphimedon queenslandica	6	100
Aqu2.1.00273_001	cellular organisms	1	60
Aqu2.1.00274_001	Amphimedon queenslandica	6	100
Aqu2.1.00275_001	Amphimedon queenslandica	6	100
Aqu2.1.00276_001	Amphimedon queenslandica	6	100
Aqu2.1.00277_001	Metazoa	4	50
Aqu2.1.00278_001	Amphimedon queenslandica	6	100
Aqu2.1.00279_001	Eukaryota	2	75
Aqu2.1.00280_001	cellular organisms	1	60
Aqu2.1.00281_001	cellular organisms	1	100
Aqu2.1.00282_001	Amphimedon queenslandica	6	100
Aqu2.1.00283_001	Amphimedon queenslandica	6	100
Aqu2.1.00284_001	Amphimedon queenslandica	6	100
Aqu2.1.00285_001	cellular organisms	1	60
Aqu2.1.00286_001	cellular organisms	1	80
Aqu2.1.00287_001	cellular organisms	1	40
Aqu2.1.00288_001	Amphimedon queenslandica	6	100
Aqu2.1.00289_001	Amphimedon queenslandica	6	100
Aqu2.1.00290_001	Metazoa	4	50
Aqu2.1.00291_001	Metazoa	4	50
Aqu2.1.00292_001	Amphimedon queenslandica	6	100
Aqu2.1.00293_001	Amphimedon queenslandica	6	100
Aqu2.1.00294_001	Amphimedon queenslandica	6	100
Aqu2.1.00295_001	Metazoa	4	50
Aqu2.1.00296_001	Amphimedon queenslandica	6	100
Aqu2.1.00297_001	Amphimedon queenslandica	6	100
Aqu2.1.00298_001	Absent from the DIAMOND/MMseqs2 results	NA	NA
Aqu2.1.00299_001	Metazoa	4	50
Aqu2.1.00300_001	Amphimedon queenslandica	6	100
Aqu2.1.00301_001	cellular organisms	1	80
Aqu2.1.00302_001	Amphimedon queenslandica	6	100
Aqu2.1.00303_001	Amphimedon queenslandica	6	100
Aqu2.1.00304_001	Eukaryota	2	75
Aqu2.1.00305_001	Amphimedon queenslandica	6	100
Aqu2.1.00306_001	Eukaryota	2	50
Aqu2.1.00307_001	Eukaryota	2	50
Aqu2.1.00308_001	cellular organisms	1	100
Aqu2.1.00309_001	Amphimedon queenslandica	6	100
Aqu2.1.00310_001	Amphimedon queenslandica	6	100
Aqu2.1.00311_001	cellular organisms	1	80
Aqu2.1.00312_001	cellular organisms	1	40
Aqu2.1.00313_001	cellular organisms	1	80
Aqu2.1.00314_001	Amphimedon queenslandica	6	100
Aqu2.1.00315_001	Amphimedon queenslandica	6	100
Aqu2.1.00316_001	Amphimedon queenslandica	6	100
Aqu2.1.00317_001	cellular organisms	1	100
Aqu2.1.00318_001	Amphimedon queenslandica	6	100
Aqu2.1.00319_001	Amphimedon queenslandica	6	100
Aqu2.1.00320_001	Amphimedon queenslandica	6	100
Aqu2.1.00321_001	Amphimedon queenslandica	6	100
Aqu2.1.00322_001	Amphimedon queenslandica	6	100
Aqu2.1.00323_001	Amphimedon queenslandica	6	100
Aqu2.1.00324_001	cellular organisms	1	40
Aqu2.1.00325_001	cellular organisms	1	80
Aqu2.1.00326_001	cellular organisms	1	60
Aqu2.1.00327_001	Metazoa	4	50
Aqu2.1.00328_001	cellular organisms	1	80
Aqu2.1.00329_001	Amphimedon queenslandica	6	100
Aqu2.1.00330_001	Eukaryota	2	50
Aqu2.1.00331_001	Amphimedon queenslandica	6	100
Aqu2.1.00332_001	Amphimedon queenslandica	6	100
Aqu2.1.00333_001	Metazoa	4	50
Aqu2.1.00334_001	cellular organisms	1	80
Aqu2.1.00335_001	cellular organisms	1	80
Aqu2.1.00336_001	Absent from the DIAMOND/MMseqs2 results	NA	NA
Aqu2.1.00337_001	Absent from the DIAMOND/MMseqs2 results	NA	NA
Aqu2.1.00338_001	Amphimedon queenslandica	6	100
Aqu2.1.00339_001	Eukaryota	2	75
Aqu2.1.00340_001	Amphimedon queenslandica	6	100
Aqu2.1.00341_001	cellular organisms	1	40
