#gene	phylostratum	rank	taxonomic_representativeness
2L52.1	Chromadorea	10	80
2RSSE.1	Eukaryota	2	92
2RSSE.2	Chromadorea	10	80
3R5.1	Caenorhabditis	14	100
4R79.1a	cellular organisms	1	100
4R79.1b	cellular organisms	1	100
4R79.2a	cellular organisms	1	100
4R79.2b	cellular organisms	1	100
6R55.2	Caenorhabditis elegans	15	100
AC3.1	Rhabditida	11	75
AC3.10	cellular organisms	1	100
AC3.12	Chromadorea	10	60
AC3.2	cellular organisms	1	100
AC3.3	Caenorhabditis	14	100
AC3.4	Caenorhabditis	14	100
AC3.5	cellular organisms	1	100
AC3.6	Caenorhabditis	14	100
AC3.7	cellular organisms	1	100
AC3.8	cellular organisms	1	100
AC7.1a	cellular organisms	1	85
AC7.1b	cellular organisms	1	85
AC7.2a	Metazoa	4	100
AC7.2b	Metazoa	4	100
AC7.3	Caenorhabditis	14	100
AC8.10	Caenorhabditis	14	100
AC8.11	Caenorhabditis elegans	15	100
AC8.12	Caenorhabditis elegans	15	100
AC8.3	Caenorhabditis	14	100
AC8.4	Caenorhabditis elegans	15	100
AC8.7	Caenorhabditis elegans	15	100
AH10.1	cellular organisms	1	100
AH10.2	Caenorhabditis	14	100
AH10.3	Caenorhabditis	14	100
AH10.4	Caenorhabditis elegans	15	100
AH6.1	cellular organisms	1	100
AH6.10	Rhabditidae	13	100
AH6.11	Chromadorea	10	60
AH6.12	Chromadorea	10	60
AH6.14	Chromadorea	10	60
AH6.17	Caenorhabditis elegans	15	100
AH6.2	cellular organisms	1	100
AH6.3	Caenorhabditis elegans	15	100
AH6.4	Chromadorea	10	40
AH6.5	Eukaryota	2	61
AH6.6	Chromadorea	10	60
AH6.7	Chromadorea	10	60
AH6.8	Chromadorea	10	60
AH9.1	Bilateria	6	88
AH9.2	cellular organisms	1	100
AH9.3	Caenorhabditis	14	100
AH9.4	Protostomia	7	75
AH9.6	Chromadorea	10	100
AH9.7	Caenorhabditis elegans	15	100
B0001.1a	Bilateria	6	100
B0001.1b	Bilateria	6	100
B0001.1c	Chromadorea	10	100
B0001.2	Caenorhabditis	14	100
B0001.3a	Rhabditidae	13	100
B0001.3b	Rhabditidae	13	100
B0001.4	cellular organisms	1	100
B0001.5	Caenorhabditis	14	100
B0001.6	Caenorhabditis	14	100
B0001.7	Caenorhabditis	14	100
B0001.8	Caenorhabditis	14	100
B0019.1	cellular organisms	1	85
B0019.2	Caenorhabditis	14	100
B0024.1	Protostomia	7	75
B0024.10	Eukaryota	2	100
B0024.11	cellular organisms	1	100
B0024.12	cellular organisms	1	100
B0024.13	cellular organisms	1	100
B0024.14a	Metazoa	4	100
B0024.14b	Metazoa	4	100
B0024.14c	Bilateria	6	100
B0024.14d	Metazoa	4	100
B0024.14e	Metazoa	4	100
B0024.14f	Metazoa	4	100
B0024.15	Eukaryota	2	92
B0024.2	Protostomia	7	75
B0024.3	Rhabditida	11	75
B0024.4	Caenorhabditis	14	100
B0024.6	cellular organisms	1	100
B0024.8a	Eukaryota	2	100
B0024.8b	Eukaryota	2	100
B0024.8c	Eukaryota	2	100
B0024.9a	cellular organisms	1	100
B0024.9b	cellular organisms	1	100
B0025.1a	cellular organisms	1	100
B0025.1b	cellular organisms	1	100
B0025.1c	cellular organisms	1	100
B0025.2	cellular organisms	1	100
B0025.4	Eukaryota	2	92
B0025.5	Caenorhabditis	14	100
B0034.1	Chromadorea	10	100
B0034.2	Caenorhabditis elegans	15	100
B0034.3a	Eumetazoa	5	100
B0034.3b	Bilateria	6	88
B0034.3c	Bilateria	6	88
B0034.4	Caenorhabditis	14	100
B0034.5	Nematoda	9	100
B0034.7	Caenorhabditis elegans	15	100
B0035.10	cellular organisms	1	100
B0035.11	Eukaryota	2	100
B0035.12	cellular organisms	1	100
B0035.13	cellular organisms	1	78
B0035.14	cellular organisms	1	100
B0035.15	Chromadorea	10	100
B0035.16	cellular organisms	1	100
B0035.18	Chromadorea	10	100
B0035.1a	cellular organisms	1	100
B0035.1b	cellular organisms	1	100
B0035.2	cellular organisms	1	92
B0035.3	cellular organisms	1	100
B0035.4	Eukaryota	2	100
B0035.5	cellular organisms	1	100
B0035.6	Caenorhabditis	14	100
B0035.7	cellular organisms	1	100
B0035.8	cellular organisms	1	100
B0035.9	cellular organisms	1	92
B0041.1	Caenorhabditis elegans	15	100
B0041.11	Caenorhabditis elegans	15	100
B0041.2a	Chromadorea	10	80
B0041.2b	Chromadorea	10	80
B0041.2c	Chromadorea	10	80
B0041.2d	Chromadorea	10	80
B0041.3	Bilateria	6	88
B0041.4	cellular organisms	1	100
B0041.5	cellular organisms	1	100
B0041.6a	cellular organisms	1	100
B0041.6b	cellular organisms	1	100
B0041.7	cellular organisms	1	100
B0041.8	Chromadorea	10	40
B0047.1a	Rhabditida	11	75
B0047.1b	Rhabditida	11	75
B0047.2	Ecdysozoa	8	85
B0047.3	Eukaryota	2	84
B0047.4	Caenorhabditis	14	100
B0198.1	Eumetazoa	5	90
B0198.2a	Chromadorea	10	100
B0198.2b	Chromadorea	10	100
B0198.3a	Eukaryota	2	76
B0205.10	Caenorhabditis elegans	15	100
B0205.11	Bilateria	6	100
B0205.12	Ecdysozoa	8	71
B0205.13	Caenorhabditis	14	100
B0205.14	Caenorhabditis	14	100
B0205.1a	Caenorhabditis	14	100
B0205.1b	Caenorhabditis	14	100
B0205.2a	Caenorhabditis	14	100
B0205.2b	Caenorhabditis	14	100
B0205.3	cellular organisms	1	100
B0205.4	cellular organisms	1	71
B0205.5	Caenorhabditis elegans	15	100
B0205.6	cellular organisms	1	100
B0205.7	cellular organisms	1	100
B0205.8	Chromadorea	10	40
B0205.9	Caenorhabditis	14	100
B0207.1	cellular organisms	1	100
B0207.10	Caenorhabditis	14	100
B0207.11	Chromadorea	10	80
B0207.12a	cellular organisms	1	92
B0207.12b	cellular organisms	1	92
B0207.12c	cellular organisms	1	85
B0207.2	Chromadorea	10	100
B0207.3a	cellular organisms	1	100
B0207.3b	cellular organisms	1	100
B0207.4	cellular organisms	1	100
B0207.5	Caenorhabditis	14	100
B0207.6	cellular organisms	1	100
B0207.7	cellular organisms	1	100
B0207.8	Caenorhabditis elegans	15	100
B0207.9	Caenorhabditis	14	100
B0212.1	Bilateria	6	100
B0212.2	Chromadorea	10	100
B0212.3	Caenorhabditis	14	100
B0212.4a	cellular organisms	1	100
B0212.4b	cellular organisms	1	100
B0212.4c	cellular organisms	1	100
B0212.5	cellular organisms	1	92
B0212.6	Caenorhabditis	14	100
B0213.10	cellular organisms	1	100
B0213.11a	cellular organisms	1	100
B0213.11b	cellular organisms	1	100
B0213.12	cellular organisms	1	100
B0213.14	cellular organisms	1	100
B0213.15a	cellular organisms	1	100
B0213.15b	cellular organisms	1	100
B0213.15c	cellular organisms	1	92
B0213.16	cellular organisms	1	100
B0213.17	Caenorhabditis	14	100
B0213.2	Caenorhabditis	14	100
B0213.3	Caenorhabditis	14	100
B0213.4	Caenorhabditis	14	100
B0213.5	Caenorhabditis	14	100
B0213.6	Caenorhabditis	14	100
B0213.7	Chromadorea	10	80
B0213.8	Chromadorea	10	80
B0213.9	Chromadorea	10	100
B0218.1a	cellular organisms	1	100
B0218.1b	cellular organisms	1	85
B0218.2	cellular organisms	1	100
B0218.3	cellular organisms	1	100
B0218.5	cellular organisms	1	100
B0218.6	cellular organisms	1	85
B0218.7	Caenorhabditis	14	100
B0218.8	cellular organisms	1	85
B0222.1	Chromadorea	10	80
B0222.10	Caenorhabditis elegans	15	100
B0222.11	Bilateria	6	77
B0222.2	cellular organisms	1	92
B0222.3	cellular organisms	1	92
B0222.4	cellular organisms	1	100
B0222.5	Eumetazoa	5	100
B0222.6	Protostomia	7	75
B0222.7	Protostomia	7	75
B0222.8	Protostomia	7	75
B0222.9	cellular organisms	1	100
B0228.1	Chromadorea	10	60
B0228.4a	cellular organisms	1	100
B0228.4c	cellular organisms	1	100
B0228.4d	Chromadorea	10	100
B0228.4e	cellular organisms	1	100
B0228.5a	cellular organisms	1	100
B0228.5b	cellular organisms	1	100
B0228.6	Caenorhabditis	14	100
B0228.7	cellular organisms	1	92
B0228.8	Caenorhabditis	14	100
B0228.9	Caenorhabditis	14	100
B0238.1	cellular organisms	1	100
B0238.10	cellular organisms	1	100
B0238.11	Chromadorea	10	100
B0238.12	Opisthokonta	3	83
B0238.13	cellular organisms	1	100
B0238.15	Caenorhabditis elegans	15	100
B0238.3	Chromadorea	10	40
B0238.5	Chromadorea	10	60
B0238.6	Chromadorea	10	40
B0238.7	cellular organisms	1	100
B0238.8	Chromadorea	10	40
B0238.9a	Metazoa	4	90
B0238.9b	Metazoa	4	90
B0240.1	cellular organisms	1	92
B0240.2	Bilateria	6	100
B0240.3	cellular organisms	1	100
B0240.4	Opisthokonta	3	83
B0244.10	Chromadorea	10	60
B0244.11	Caenorhabditis elegans	15	100
B0244.15	Chromadorea	10	100
B0244.2	Eukaryota	2	100
B0244.4a	Chromadorea	10	60
B0244.4b	Chromadorea	10	80
B0244.4c	Chromadorea	10	40
B0244.5	Chromadorea	10	80
B0244.6	Chromadorea	10	60
B0244.7	Chromadorea	10	100
B0244.8	Bilateria	6	100
B0244.9	Caenorhabditis	14	100
B0250.1	cellular organisms	1	100
B0250.10	Caenorhabditis	14	100
B0250.18a	Caenorhabditis elegans	15	100
B0250.18b	Caenorhabditis elegans	15	100
B0250.2	Nematoda	9	100
B0250.5	cellular organisms	1	100
B0250.6	Caenorhabditis	14	100
B0250.8	Caenorhabditis elegans	15	100
B0250.9	cellular organisms	1	100
