#gene	phylostratum	rank	taxonomic_representativeness
ENSRNOP00000000006	Metazoa	4	100
ENSRNOP00000000008	cellular organisms	1	100
ENSRNOP00000000009	Opisthokonta	3	100
ENSRNOP00000000010	Mammalia	16	100
ENSRNOP00000000011	cellular organisms	1	85
ENSRNOP00000000013	Eumetazoa	5	95
ENSRNOP00000000015	cellular organisms	1	88
ENSRNOP00000000018	Eukaryota	2	92
ENSRNOP00000000025	Eukaryota	2	88
ENSRNOP00000000026	Eukaryota	2	100
ENSRNOP00000000029	Eukaryota	2	100
ENSRNOP00000000036	Eumetazoa	5	100
ENSRNOP00000000037	cellular organisms	1	92
ENSRNOP00000000039	cellular organisms	1	100
ENSRNOP00000000040	cellular organisms	1	100
ENSRNOP00000000041	cellular organisms	1	92
ENSRNOP00000000047	cellular organisms	1	100
ENSRNOP00000000048	cellular organisms	1	96
ENSRNOP00000000049	cellular organisms	1	96
ENSRNOP00000000050	cellular organisms	1	92
ENSRNOP00000000052	cellular organisms	1	100
ENSRNOP00000000053	Amniota	15	92
ENSRNOP00000000058	cellular organisms	1	92
ENSRNOP00000000059	Gnathostomata	10	100
ENSRNOP00000000060	cellular organisms	1	96
ENSRNOP00000000064	cellular organisms	1	100
ENSRNOP00000000071	cellular organisms	1	100
ENSRNOP00000000072	cellular organisms	1	77
ENSRNOP00000000074	Bilateria	6	100
ENSRNOP00000000077	cellular organisms	1	100
ENSRNOP00000000078	cellular organisms	1	100
ENSRNOP00000000079	cellular organisms	1	100
ENSRNOP00000000080	cellular organisms	1	96
ENSRNOP00000000083	cellular organisms	1	100
ENSRNOP00000000084	Vertebrata	9	94
ENSRNOP00000000086	Eukaryota	2	100
ENSRNOP00000000092	Metazoa	4	100
ENSRNOP00000000101	Deuterostomia	7	100
ENSRNOP00000000102	Metazoa	4	100
ENSRNOP00000000106	Eukaryota	2	96
ENSRNOP00000000107	cellular organisms	1	100
ENSRNOP00000000109	Amniota	15	84
ENSRNOP00000000110	Eukaryota	2	100
ENSRNOP00000000116	cellular organisms	1	100
ENSRNOP00000000117	Bilateria	6	86
ENSRNOP00000000118	cellular organisms	1	92
ENSRNOP00000000120	cellular organisms	1	100
ENSRNOP00000000121	Eumetazoa	5	100
ENSRNOP00000000123	Tetrapoda	14	100
ENSRNOP00000000124	Bilateria	6	86
ENSRNOP00000000125	cellular organisms	1	100
ENSRNOP00000000129	Metazoa	4	100
ENSRNOP00000000133	cellular organisms	1	100
ENSRNOP00000000134	cellular organisms	1	100
ENSRNOP00000000136	cellular organisms	1	96
ENSRNOP00000000139	cellular organisms	1	100
ENSRNOP00000000141	Eumetazoa	5	95
ENSRNOP00000000142	cellular organisms	1	100
ENSRNOP00000000146	cellular organisms	1	96
ENSRNOP00000000149	Euteleostomi	11	94
ENSRNOP00000000155	cellular organisms	1	96
ENSRNOP00000000157	Opisthokonta	3	100
ENSRNOP00000000158	cellular organisms	1	100
ENSRNOP00000000161	cellular organisms	1	100
ENSRNOP00000000162	cellular organisms	1	100
ENSRNOP00000000163	Opisthokonta	3	100
ENSRNOP00000000167	Eumetazoa	5	95
ENSRNOP00000000168	cellular organisms	1	100
ENSRNOP00000000169	Eumetazoa	5	100
ENSRNOP00000000170	cellular organisms	1	100
ENSRNOP00000000172	cellular organisms	1	100
ENSRNOP00000000173	cellular organisms	1	100
ENSRNOP00000000174	cellular organisms	1	100
