#gene	phylostratum	rank	taxonomic_representativeness
ENSMMUP00000000001.2	cellular organisms	1	100
ENSMMUP00000000002.2	Gnathostomata	10	100
ENSMMUP00000000003.2	cellular organisms	1	100
ENSMMUP00000000004.2	cellular organisms	1	100
ENSMMUP00000000005.2	Eukaryota	2	96
ENSMMUP00000000006.1	Eukaryota	2	100
ENSMMUP00000000007.2	cellular organisms	1	100
ENSMMUP00000000009.2	Eumetazoa	5	95
ENSMMUP00000000011.2	cellular organisms	1	100
ENSMMUP00000000013.1	cellular organisms	1	100
ENSMMUP00000000014.2	cellular organisms	1	81
ENSMMUP00000000015.2	cellular organisms	1	81
ENSMMUP00000000016.2	Amniota	15	100
ENSMMUP00000000017.2	Gnathostomata	10	100
ENSMMUP00000000018.2	Amniota	15	100
ENSMMUP00000000020.2	Opisthokonta	3	96
ENSMMUP00000000021.2	cellular organisms	1	100
ENSMMUP00000000022.2	cellular organisms	1	92
ENSMMUP00000000023.2	Eukaryota	2	92
ENSMMUP00000000024.2	cellular organisms	1	85
ENSMMUP00000000026.2	Eumetazoa	5	100
ENSMMUP00000000027.2	Eumetazoa	5	100
ENSMMUP00000000028.2	Gnathostomata	10	100
ENSMMUP00000000029.2	Bilateria	6	100
ENSMMUP00000000030.2	cellular organisms	1	100
ENSMMUP00000000031.2	Gnathostomata	10	100
ENSMMUP00000000032.2	cellular organisms	1	100
ENSMMUP00000000033.2	Amniota	15	100
ENSMMUP00000000034.2	Gnathostomata	10	100
ENSMMUP00000000035.2	Mammalia	16	100
ENSMMUP00000000036.2	Theria	17	100
ENSMMUP00000000037.2	Eutheria	18	90
ENSMMUP00000000038.2	Opisthokonta	3	100
ENSMMUP00000000039.2	Eutheria	18	90
ENSMMUP00000000040.2	Euteleostomi	11	94
ENSMMUP00000000041.2	Gnathostomata	10	94
ENSMMUP00000000042.2	Eutheria	18	90
ENSMMUP00000000044.1	Theria	17	100
ENSMMUP00000000045.2	Tetrapoda	14	100
ENSMMUP00000000046.2	Catarrhini	24	100
ENSMMUP00000000048.2	cellular organisms	1	96
ENSMMUP00000000049.2	cellular organisms	1	100
ENSMMUP00000000050.2	cellular organisms	1	100
ENSMMUP00000000052.2	cellular organisms	1	96
ENSMMUP00000000053.2	cellular organisms	1	100
ENSMMUP00000000054.2	cellular organisms	1	100
ENSMMUP00000000055.2	Vertebrata	9	94
ENSMMUP00000000056.2	Vertebrata	9	94
ENSMMUP00000000057.2	cellular organisms	1	96
ENSMMUP00000000058.2	Opisthokonta	3	100
ENSMMUP00000000059.2	cellular organisms	1	100
ENSMMUP00000000060.2	Bilateria	6	86
ENSMMUP00000000061.2	Bilateria	6	86
ENSMMUP00000000062.2	Euteleostomi	11	88
ENSMMUP00000000063.1	Gnathostomata	10	100
ENSMMUP00000000064.1	Gnathostomata	10	100
ENSMMUP00000000065.2	Gnathostomata	10	100
ENSMMUP00000000066.2	Gnathostomata	10	100
ENSMMUP00000000067.1	cellular organisms	1	92
ENSMMUP00000000068.2	cellular organisms	1	100
ENSMMUP00000000069.2	cellular organisms	1	100
ENSMMUP00000000070.2	cellular organisms	1	74
ENSMMUP00000000071.2	cellular organisms	1	100
ENSMMUP00000000072.2	Metazoa	4	95
ENSMMUP00000000073.1	Vertebrata	9	100
ENSMMUP00000000075.2	Bilateria	6	86
ENSMMUP00000000078.2	cellular organisms	1	100
ENSMMUP00000000081.2	Metazoa	4	100
ENSMMUP00000000082.2	Metazoa	4	100
ENSMMUP00000000083.1	Bilateria	6	100
ENSMMUP00000000084.2	Chordata	8	95
ENSMMUP00000000085.2	cellular organisms	1	77
ENSMMUP00000000087.2	cellular organisms	1	92
ENSMMUP00000000088.2	cellular organisms	1	92
ENSMMUP00000000089.2	Eukaryota	2	100
ENSMMUP00000000090.2	Eutheria	18	90
ENSMMUP00000000091.2	cellular organisms	1	100
ENSMMUP00000000092.2	cellular organisms	1	85
ENSMMUP00000000093.1	Eukaryota	2	96
ENSMMUP00000000094.2	Eukaryota	2	96
ENSMMUP00000000096.2	Opisthokonta	3	100
ENSMMUP00000000097.2	cellular organisms	1	100
ENSMMUP00000000098.2	cellular organisms	1	100
ENSMMUP00000000099.1	cellular organisms	1	100
ENSMMUP00000000100.2	cellular organisms	1	100
ENSMMUP00000000102.2	Mammalia	16	100
ENSMMUP00000000103.2	Mammalia	16	100
ENSMMUP00000000104.2	Amniota	15	92
ENSMMUP00000000105.2	cellular organisms	1	100
ENSMMUP00000000106.2	cellular organisms	1	100
ENSMMUP00000000107.2	Amniota	15	92
ENSMMUP00000000108.2	Amniota	15	100
ENSMMUP00000000109.2	cellular organisms	1	51
ENSMMUP00000000110.2	Amniota	15	100
ENSMMUP00000000111.2	Eutheria	18	100
ENSMMUP00000000112.2	Eumetazoa	5	82
ENSMMUP00000000113.2	Gnathostomata	10	83
ENSMMUP00000000114.2	Eukaryota	2	100
ENSMMUP00000000115.2	cellular organisms	1	92
ENSMMUP00000000117.1	Eukaryota	2	100
ENSMMUP00000000119.2	Eukaryota	2	100
ENSMMUP00000000120.1	Vertebrata	9	89
ENSMMUP00000000121.2	cellular organisms	1	100
ENSMMUP00000000122.2	cellular organisms	1	100
ENSMMUP00000000123.2	Eukaryota	2	100
ENSMMUP00000000124.2	Vertebrata	9	100
ENSMMUP00000000125.2	cellular organisms	1	88
ENSMMUP00000000126.1	Eumetazoa	5	100
ENSMMUP00000000127.2	Eumetazoa	5	100
ENSMMUP00000000129.2	Gnathostomata	10	100
ENSMMUP00000000130.2	cellular organisms	1	96
ENSMMUP00000000132.2	Eukaryota	2	96
ENSMMUP00000000133.2	cellular organisms	1	100
ENSMMUP00000000134.2	cellular organisms	1	100
ENSMMUP00000000135.2	cellular organisms	1	96
ENSMMUP00000000136.2	Eumetazoa	5	91
ENSMMUP00000000137.2	cellular organisms	1	100
ENSMMUP00000000139.2	cellular organisms	1	96
ENSMMUP00000000140.2	cellular organisms	1	77
ENSMMUP00000000142.2	Eutheria	18	100
ENSMMUP00000000143.2	cellular organisms	1	40
ENSMMUP00000000144.2	cellular organisms	1	100
ENSMMUP00000000145.2	cellular organisms	1	40
ENSMMUP00000000146.2	cellular organisms	1	100
ENSMMUP00000000147.2	Eukaryota	2	100
ENSMMUP00000000148.1	Macaca	27	100
ENSMMUP00000000149.1	cellular organisms	1	100
ENSMMUP00000000150.1	Vertebrata	9	100
ENSMMUP00000000151.2	Vertebrata	9	100
ENSMMUP00000000152.1	Eutheria	18	90
ENSMMUP00000000154.2	Eutheria	18	80
ENSMMUP00000000155.2	Euarchontoglires	20	87
ENSMMUP00000000156.2	cellular organisms	1	100
ENSMMUP00000000157.2	Opisthokonta	3	92
ENSMMUP00000000159.2	cellular organisms	1	74
ENSMMUP00000000160.2	cellular organisms	1	100
ENSMMUP00000000161.2	Bilateria	6	95
ENSMMUP00000000163.2	Bilateria	6	100
ENSMMUP00000000164.2	cellular organisms	1	92
ENSMMUP00000000165.2	cellular organisms	1	92
ENSMMUP00000000166.2	cellular organisms	1	100
ENSMMUP00000000167.2	cellular organisms	1	96
ENSMMUP00000000168.2	cellular organisms	1	100
ENSMMUP00000000169.2	cellular organisms	1	96
ENSMMUP00000000170.2	cellular organisms	1	96
ENSMMUP00000000171.2	Opisthokonta	3	100
ENSMMUP00000000172.2	cellular organisms	1	100
ENSMMUP00000000173.2	cellular organisms	1	100
ENSMMUP00000000174.2	Eukaryota	2	100
ENSMMUP00000000176.2	Eukaryota	2	96
ENSMMUP00000000177.2	cellular organisms	1	100
ENSMMUP00000000178.2	cellular organisms	1	100
ENSMMUP00000000179.2	cellular organisms	1	100
ENSMMUP00000000180.2	Eumetazoa	5	100
ENSMMUP00000000181.2	Eumetazoa	5	100
ENSMMUP00000000182.2	Boreoeutheria	19	66
ENSMMUP00000000184.2	Eumetazoa	5	100
ENSMMUP00000000185.2	Gnathostomata	10	100
ENSMMUP00000000186.2	cellular organisms	1	100
ENSMMUP00000000188.2	Gnathostomata	10	100
ENSMMUP00000000189.2	cellular organisms	1	96
ENSMMUP00000000190.2	cellular organisms	1	100
ENSMMUP00000000191.2	cellular organisms	1	100
ENSMMUP00000000192.2	cellular organisms	1	100
ENSMMUP00000000194.2	cellular organisms	1	100
ENSMMUP00000000195.2	cellular organisms	1	100
ENSMMUP00000000197.2	Eumetazoa	5	100
