#gene	phylostratum	rank	taxonomic_representativeness
FBpp0070000	cellular organisms	1	86
FBpp0070001	Drosophilinae	24	83
FBpp0070002	Neoptera	16	92
FBpp0070005	cellular organisms	1	72
FBpp0070006	cellular organisms	1	89
FBpp0070007	cellular organisms	1	86
FBpp0070024	cellular organisms	1	86
FBpp0070025	cellular organisms	1	86
FBpp0070026	Eumetazoa	5	84
FBpp0070027	cellular organisms	1	89
FBpp0070028	Neoptera	16	92
FBpp0070031	cellular organisms	1	89
FBpp0070034	Eukaryota	2	85
FBpp0070035	Schizophora	22	87
FBpp0070037	cellular organisms	1	82
FBpp0070039	cellular organisms	1	79
FBpp0070040	cellular organisms	1	79
FBpp0070041	cellular organisms	1	89
FBpp0070042	cellular organisms	1	89
FBpp0070043	cellular organisms	1	89
FBpp0070044	Bilateria	6	54
FBpp0070045	cellular organisms	1	86
FBpp0070049	Eukaryota	2	85
FBpp0070050	Eukaryota	2	85
FBpp0070051	cellular organisms	1	86
FBpp0070052	Eukaryota	2	85
FBpp0070053	Eukaryota	2	85
FBpp0070054	cellular organisms	1	86
FBpp0070055	Eukaryota	2	85
FBpp0070056	Eukaryota	2	85
FBpp0070057	cellular organisms	1	86
FBpp0070058	cellular organisms	1	86
FBpp0070059	cellular organisms	1	86
FBpp0070060	cellular organisms	1	86
FBpp0070061	cellular organisms	1	86
FBpp0070062	cellular organisms	1	89
FBpp0070063	cellular organisms	1	86
FBpp0070064	cellular organisms	1	86
FBpp0070065	Endopterygota	17	84
FBpp0070066	Endopterygota	17	84
FBpp0070067	Endopterygota	17	84
FBpp0070068	Diptera	18	83
FBpp0070069	Endopterygota	17	76
FBpp0070070	cellular organisms	1	72
FBpp0070071	Eumetazoa	5	88
FBpp0070072	Eumetazoa	5	88
FBpp0070073	Eumetazoa	5	88
FBpp0070074	Eumetazoa	5	88
FBpp0070075	Diptera	18	83
FBpp0070076	Diptera	18	75
FBpp0070077	Diptera	18	75
FBpp0070078	cellular organisms	1	89
FBpp0070079	Neoptera	16	85
FBpp0070080	cellular organisms	1	86
FBpp0070082	cellular organisms	1	86
FBpp0070083	cellular organisms	1	82
FBpp0070084	cellular organisms	1	82
FBpp0070085	cellular organisms	1	82
FBpp0070086	cellular organisms	1	89
FBpp0070087	cellular organisms	1	93
FBpp0070088	cellular organisms	1	93
FBpp0070089	Endopterygota	17	76
FBpp0070093	Eukaryota	2	85
FBpp0070094	cellular organisms	1	89
FBpp0070095	cellular organisms	1	86
FBpp0070096	Pterygota	15	86
FBpp0070097	Pterygota	15	86
FBpp0070098	cellular organisms	1	89
FBpp0070101	cellular organisms	1	82
FBpp0070102	Eukaryota	2	78
FBpp0070103	Eukaryota	2	78
FBpp0070104	cellular organisms	1	75
FBpp0070105	Metazoa	4	88
FBpp0070110	cellular organisms	1	86
FBpp0070111	Opisthokonta	3	81
FBpp0070112	Opisthokonta	3	81
FBpp0070113	Opisthokonta	3	81
FBpp0070114	Eumetazoa	5	72
FBpp0070115	Eukaryota	2	67
FBpp0070116	Metazoa	4	76
FBpp0070117	cellular organisms	1	86
FBpp0070118	cellular organisms	1	86
FBpp0070119	cellular organisms	1	86
FBpp0070120	cellular organisms	1	86
FBpp0070121	cellular organisms	1	86
