#gene	phylostratum	rank	taxonomic_representativeness
jgi|Ptegra1|100117|CE100116_22288	cellular organisms	1	100
jgi|Ptegra1|100343|CE100342_15512	cellular organisms	1	100
jgi|Ptegra1|100405|CE100404_464	Pterula gracilis	12	100
jgi|Ptegra1|100716|CE100715_506	Pterula gracilis	12	100
jgi|Ptegra1|100723|CE100722_719	cellular organisms	1	100
jgi|Ptegra1|100728|CE100727_3412	Fungi	4	100
jgi|Ptegra1|101166|CE101165_1603	cellular organisms	1	100
jgi|Ptegra1|101209|CE101208_5208	Agaricomycetes	8	100
jgi|Ptegra1|101766|CE101765_3076	Fungi	4	87
jgi|Ptegra1|102518|CE102517_1873	Opisthokonta	3	100
jgi|Ptegra1|103316|CE103315_1106	cellular organisms	1	100
jgi|Ptegra1|10339|CE10338_2838	Agaricomycetes	8	100
jgi|Ptegra1|103411|CE103410_2463	cellular organisms	1	100
jgi|Ptegra1|103935|CE103934_3641	cellular organisms	1	100
jgi|Ptegra1|104006|CE104005_1786	cellular organisms	1	100
jgi|Ptegra1|104384|CE104383_109	Pterula gracilis	12	100
jgi|Ptegra1|104469|CE104468_2944	Eukaryota	2	70
jgi|Ptegra1|104555|CE104554_1609	Pleurotineae	11	100
jgi|Ptegra1|104981|CE104980_52410	cellular organisms	1	100
jgi|Ptegra1|105076|CE105075_4091	Eukaryota	2	90
jgi|Ptegra1|105144|CE105143_538	cellular organisms	1	45
jgi|Ptegra1|105319|CE105318_3451	Eukaryota	2	90
jgi|Ptegra1|105341|CE105340_3319	cellular organisms	1	100
jgi|Ptegra1|105429|CE105428_1996	Eukaryota	2	100
jgi|Ptegra1|105592|CE105591_334	Pterula gracilis	12	100
jgi|Ptegra1|105875|CE105874_1485	cellular organisms	1	100
jgi|Ptegra1|105963|CE105962_1104	Eukaryota	2	100
jgi|Ptegra1|10620|CE10619_2900	Agaricomycetes	8	100
jgi|Ptegra1|10642|CE10641_94	Pterula gracilis	12	100
jgi|Ptegra1|107057|CE107056_26424	Agaricomycetes	8	100
jgi|Ptegra1|107258|CE107257_6361	Basidiomycota	6	100
jgi|Ptegra1|107413|CE107412_1361	Agaricomycotina	7	100
jgi|Ptegra1|107524|CE107523_2383	Agaricomycetes	8	100
jgi|Ptegra1|107585|CE107584_420	Pterula gracilis	12	100
jgi|Ptegra1|107779|CE107778_25905	Basidiomycota	6	100
