#gene	phylostratum	rank	taxonomic_representativeness
ENSMUSP00000000001.4	cellular organisms	1	100
ENSMUSP00000000003.7	cellular organisms	1	39
ENSMUSP00000000010.8	cellular organisms	1	92
ENSMUSP00000000028.7	cellular organisms	1	100
ENSMUSP00000000033.5	Bilateria	6	100
ENSMUSP00000000049.5	cellular organisms	1	100
ENSMUSP00000000058.6	Eumetazoa	5	100
ENSMUSP00000000080.6	cellular organisms	1	92
ENSMUSP00000000087.6	Opisthokonta	3	100
ENSMUSP00000000090.6	cellular organisms	1	92
ENSMUSP00000000094.7	Opisthokonta	3	100
ENSMUSP00000000095.6	Eukaryota	2	100
ENSMUSP00000000096.5	Eukaryota	2	100
ENSMUSP00000000109.4	cellular organisms	1	100
ENSMUSP00000000122.6	Eumetazoa	5	100
ENSMUSP00000000127.5	cellular organisms	1	92
ENSMUSP00000000128.3	cellular organisms	1	92
ENSMUSP00000000129.6	cellular organisms	1	100
ENSMUSP00000000137.7	cellular organisms	1	100
ENSMUSP00000000145.5	cellular organisms	1	100
ENSMUSP00000000153.4	cellular organisms	1	100
ENSMUSP00000000161.7	cellular organisms	1	100
ENSMUSP00000000163.6	Bilateria	6	82
ENSMUSP00000000171.8	Eukaryota	2	96
ENSMUSP00000000175.4	Eukaryota	2	100
ENSMUSP00000000186.6	Bilateria	6	95
ENSMUSP00000000187.5	cellular organisms	1	89
ENSMUSP00000000188.8	cellular organisms	1	100
ENSMUSP00000000193.5	cellular organisms	1	67
ENSMUSP00000000194.3	cellular organisms	1	71
ENSMUSP00000000199.7	cellular organisms	1	100
ENSMUSP00000000201.5	cellular organisms	1	100
ENSMUSP00000000206.3	Eukaryota	2	92
ENSMUSP00000000208.5	cellular organisms	1	71
ENSMUSP00000000219.3	cellular organisms	1	100
ENSMUSP00000000220.2	cellular organisms	1	82
ENSMUSP00000000221.5	Eukaryota	2	96
ENSMUSP00000000253.5	Eukaryota	2	100
ENSMUSP00000000254.7	cellular organisms	1	85
ENSMUSP00000000260.5	cellular organisms	1	100
ENSMUSP00000000266.7	cellular organisms	1	57
ENSMUSP00000000275.8	cellular organisms	1	96
ENSMUSP00000000284.6	cellular organisms	1	100
ENSMUSP00000000285.2	cellular organisms	1	100
ENSMUSP00000000287.8	cellular organisms	1	100
ENSMUSP00000000291.2	Eumetazoa	5	100
ENSMUSP00000000299.7	cellular organisms	1	100
ENSMUSP00000000304.6	cellular organisms	1	100
ENSMUSP00000000305.5	cellular organisms	1	89
ENSMUSP00000000310.7	cellular organisms	1	96
ENSMUSP00000000312.5	cellular organisms	1	100
ENSMUSP00000000314.6	cellular organisms	1	100
ENSMUSP00000000317.5	cellular organisms	1	100
ENSMUSP00000000326.5	Eukaryota	2	96
ENSMUSP00000000327.6	cellular organisms	1	96
ENSMUSP00000000329.2	cellular organisms	1	100
ENSMUSP00000000335.4	cellular organisms	1	96
ENSMUSP00000000342.2	cellular organisms	1	71
ENSMUSP00000000348.8	cellular organisms	1	100
ENSMUSP00000000349.6	cellular organisms	1	100
ENSMUSP00000000356.8	Eumetazoa	5	100
ENSMUSP00000000365.2	cellular organisms	1	100
ENSMUSP00000000369.3	cellular organisms	1	100
ENSMUSP00000000384.6	Eukaryota	2	100
ENSMUSP00000000388.8	Metazoa	4	96
ENSMUSP00000000394.7	Eumetazoa	5	100
ENSMUSP00000000395.6	cellular organisms	1	100
ENSMUSP00000000402.9	cellular organisms	1	100
ENSMUSP00000000412.2	Eukaryota	2	96
ENSMUSP00000000421.5	cellular organisms	1	100
ENSMUSP00000000430.7	cellular organisms	1	100
ENSMUSP00000000445.1	Bilateria	6	100
ENSMUSP00000000449.7	cellular organisms	1	100
ENSMUSP00000000450.3	cellular organisms	1	96
ENSMUSP00000000451.7	cellular organisms	1	100
ENSMUSP00000000466.6	cellular organisms	1	89
ENSMUSP00000000476.8	cellular organisms	1	100
ENSMUSP00000000500.6	Vertebrata	9	100
ENSMUSP00000000505.9	cellular organisms	1	100
ENSMUSP00000000514.4	cellular organisms	1	96
ENSMUSP00000000542.7	cellular organisms	1	100
ENSMUSP00000000543.4	Eumetazoa	5	100
ENSMUSP00000000544.9	cellular organisms	1	100
ENSMUSP00000000572.6	Gnathostomata	10	100
ENSMUSP00000000573.2	cellular organisms	1	100
ENSMUSP00000000574.1	Eumetazoa	5	100
ENSMUSP00000000579.2	cellular organisms	1	100
ENSMUSP00000000590.8	cellular organisms	1	100
ENSMUSP00000000594.2	Eukaryota	2	96
