#gene	phylostratum	rank	taxonomic_representativeness
jgi|Copci_AmutBmut1|100073|CE100072_582	Agaricomycetes	8	100
jgi|Copci_AmutBmut1|100427|CE100426_8	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|101237|CE101236_2683	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|101352|CE101351_208	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|101384|CE101383_11276	Agaricomycetes	8	100
jgi|Copci_AmutBmut1|101561|CE101560_13357	Eukaryota	2	100
jgi|Copci_AmutBmut1|101701|CE101700_1548	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|10181|CE10180_4215	cellular organisms	1	100
jgi|Copci_AmutBmut1|102092|CE102091_10386	cellular organisms	1	100
jgi|Copci_AmutBmut1|102198|CE102197_2769	Psathyrellaceae	12	100
jgi|Copci_AmutBmut1|10247|CE10246_5141	Opisthokonta	3	90
jgi|Copci_AmutBmut1|102704|CE102703_5440	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|102823|CE102822_6699	Fungi	4	80
jgi|Copci_AmutBmut1|103039|CE103038_99	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|103089|CE103088_40	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|103175|CE103174_39	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|103581|CE103580_20	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|10369|CE10368_111	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|103773|CE103772_9927	Eukaryota	2	100
jgi|Copci_AmutBmut1|103809|CE103808_9381	Eukaryota	2	100
jgi|Copci_AmutBmut1|104104|CE104103_5230	cellular organisms	1	100
jgi|Copci_AmutBmut1|104269|CE104268_1209	cellular organisms	1	100
jgi|Copci_AmutBmut1|104404|CE104403_3580	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|104479|CE104478_2292	Agaricineae	11	66
jgi|Copci_AmutBmut1|10452|CE10451_34869	cellular organisms	1	100
jgi|Copci_AmutBmut1|104564|CE104563_1106	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|104876|CE104875_5117	cellular organisms	1	100
jgi|Copci_AmutBmut1|104956|CE104955_9258	cellular organisms	1	100
jgi|Copci_AmutBmut1|105035|CE105034_1517	cellular organisms	1	100
jgi|Copci_AmutBmut1|105233|CE105232_354	Agaricomycetes	8	100
jgi|Copci_AmutBmut1|105265|CE105264_17003	cellular organisms	1	100
jgi|Copci_AmutBmut1|105437|CE105436_1901	Agaricomycetes	8	100
jgi|Copci_AmutBmut1|105562|CE105561_2604	Eukaryota	2	91
jgi|Copci_AmutBmut1|105671|CE105670_19755	cellular organisms	1	100
jgi|Copci_AmutBmut1|10581|CE10580_235	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|105890|CE105889_16803	Eukaryota	2	100
jgi|Copci_AmutBmut1|10606|CE10605_1460	Eukaryota	2	91
jgi|Copci_AmutBmut1|106118|CE106117_167	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|106132|CE106131_673	Coprinopsis cinerea	14	100
jgi|Copci_AmutBmut1|10617|CE10616_49370	cellular organisms	1	92
