#gene	phylostratum	rank	taxonomic_representativeness
jgi|Auramp1|100067|CE100066_796	Auriculariopsis ampla	13	100
jgi|Auramp1|100131|CE100130_2559	cellular organisms	1	91
jgi|Auramp1|100321|CE100320_652	cellular organisms	1	100
jgi|Auramp1|100352|CE100351_643	Schizophyllaceae	12	100
jgi|Auramp1|100532|CE100531_99	Schizophyllaceae	12	100
jgi|Auramp1|100641|CE100640_1210	cellular organisms	1	91
jgi|Auramp1|100644|CE100643_490	Schizophyllaceae	12	100
jgi|Auramp1|100674|CE100673_9115	cellular organisms	1	100
jgi|Auramp1|100707|CE100706_289	Schizophyllaceae	12	100
jgi|Auramp1|100727|CE100726_2237	Dikarya	5	62
jgi|Auramp1|100801|CE100800_1921	cellular organisms	1	100
jgi|Auramp1|101071|CE101070_5493	Agaricomycetes	8	100
jgi|Auramp1|101085|CE101084_112	Schizophyllaceae	12	100
jgi|Auramp1|101115|CE101114_1257	Schizophyllaceae	12	100
jgi|Auramp1|101178|CE101177_2313	cellular organisms	1	100
jgi|Auramp1|101339|CE101338_15245	cellular organisms	1	100
jgi|Auramp1|101425|CE101424_213	Auriculariopsis ampla	13	100
jgi|Auramp1|101641|CE101640_3560	Eukaryota	2	72
jgi|Auramp1|101742|CE101741_1524	cellular organisms	1	100
jgi|Auramp1|101811|CE101810_1544	cellular organisms	1	100
jgi|Auramp1|101821|CE101820_397	Agaricomycetes	8	80
jgi|Auramp1|101829|CE101828_3816	Agaricomycetes	8	100
jgi|Auramp1|101842|CE101841_2585	cellular organisms	1	100
jgi|Auramp1|101865|CE101864_109	Auriculariopsis ampla	13	100
jgi|Auramp1|102190|CE102189_960	Dikarya	5	50
jgi|Auramp1|102276|CE102275_5089	Schizophyllaceae	12	100
jgi|Auramp1|102394|CE102393_3187	Eukaryota	2	100
jgi|Auramp1|102531|CE102530_2111	cellular organisms	1	100
jgi|Auramp1|102905|CE102904_231	Agaricales	10	66
jgi|Auramp1|102957|CE102956_829	Agaricomycetes	8	60
jgi|Auramp1|103250|CE103249_3537	Eukaryota	2	100
jgi|Auramp1|103402|CE103401_3081	Schizophyllaceae	12	100
jgi|Auramp1|103502|CE103501_7188	Eukaryota	2	90
jgi|Auramp1|103641|CE103640_1770	Eukaryota	2	45
jgi|Auramp1|103722|CE103721_1001	Eukaryota	2	90
jgi|Auramp1|103776|CE103775_2171	Schizophyllaceae	12	100
jgi|Auramp1|10382|CE10381_89611	cellular organisms	1	100
jgi|Auramp1|103837|CE103836_2025	Eukaryota	2	72
jgi|Auramp1|103880|CE103879_3905	Auriculariopsis ampla	13	100
jgi|Auramp1|104200|CE104199_10453	Eukaryota	2	100
jgi|Auramp1|104263|CE104262_1426	cellular organisms	1	83
jgi|Auramp1|104447|CE104446_1140	cellular organisms	1	100
jgi|Auramp1|104481|CE104480_25	Auriculariopsis ampla	13	100
jgi|Auramp1|104585|CE104584_2289	Basidiomycota	6	100
jgi|Auramp1|104598|CE104597_733	cellular organisms	1	100
jgi|Auramp1|104675|CE104674_11548	cellular organisms	1	66
jgi|Auramp1|104693|CE104692_2326	Schizophyllaceae	12	100
jgi|Auramp1|104741|CE104740_442	Auriculariopsis ampla	13	100
jgi|Auramp1|104749|CE104748_6733	Opisthokonta	3	80
jgi|Auramp1|104772|CE104771_3328	Schizophyllaceae	12	100
jgi|Auramp1|104781|CE104780_68	cellular organisms	1	75
jgi|Auramp1|104870|CE104869_780	cellular organisms	1	100
jgi|Auramp1|104873|CE104872_1043	Eukaryota	2	100
jgi|Auramp1|104975|CE104974_2779	cellular organisms	1	100
jgi|Auramp1|105221|CE105220_761	Opisthokonta	3	90
jgi|Auramp1|105388|CE105387_4983	Eukaryota	2	45
jgi|Auramp1|105531|CE105530_1034	cellular organisms	1	100
jgi|Auramp1|105568|CE105567_9888	Eukaryota	2	81
jgi|Auramp1|105680|CE105679_1354	Auriculariopsis ampla	13	100
jgi|Auramp1|105774|CE105773_725	Eukaryota	2	100
jgi|Auramp1|105866|CE105865_2244	cellular organisms	1	41
jgi|Auramp1|106192|CE106191_4644	cellular organisms	1	100
jgi|Auramp1|106358|CE106357_4725	Agaricomycotina	7	83
jgi|Auramp1|106380|CE106379_962	Opisthokonta	3	90
jgi|Auramp1|106415|CE106414_15527	cellular organisms	1	100
jgi|Auramp1|10642|CE10641_277	Auriculariopsis ampla	13	100
jgi|Auramp1|106499|CE106498_703	Basidiomycota	6	71
jgi|Auramp1|106512|CE106511_6425	Eukaryota	2	90
jgi|Auramp1|106582|CE106581_945	Agaricales	10	100
jgi|Auramp1|106986|CE106985_1360	Agaricomycotina	7	100
jgi|Auramp1|107171|CE107170_444	Auriculariopsis ampla	13	100
jgi|Auramp1|107195|CE107194_6894	Eukaryota	2	100
jgi|Auramp1|107199|CE107198_2600	Eukaryota	2	63
jgi|Auramp1|107232|CE107231_706	Auriculariopsis ampla	13	100
jgi|Auramp1|107237|CE107236_790	Auriculariopsis ampla	13	100
jgi|Auramp1|107266|CE107265_1523	Schizophyllaceae	12	100
jgi|Auramp1|107286|CE107285_1129	Auriculariopsis ampla	13	100
jgi|Auramp1|107320|CE107319_105	Eukaryota	2	54
jgi|Auramp1|107400|CE107399_3795	Eukaryota	2	100
jgi|Auramp1|107631|CE107630_8995	cellular organisms	1	100
jgi|Auramp1|107894|CE107893_1975	cellular organisms	1	100
jgi|Auramp1|107944|CE107943_3313	Fungi	4	77
jgi|Auramp1|108006|CE108005_4133	cellular organisms	1	100
jgi|Auramp1|108033|CE108032_676	Auriculariopsis ampla	13	100
jgi|Auramp1|108432|CE108431_3457	cellular organisms	1	100
jgi|Auramp1|108573|CE108572_2169	Auriculariopsis ampla	13	100
jgi|Auramp1|108580|CE108579_362	Dikarya	5	62
jgi|Auramp1|108585|CE108584_1312	Dikarya	5	62
jgi|Auramp1|108600|CE108599_5000	cellular organisms	1	100
jgi|Auramp1|108602|CE108601_209	Auriculariopsis ampla	13	100
jgi|Auramp1|108740|CE108739_1877	Schizophyllaceae	12	100
jgi|Auramp1|108941|CE108940_25053	cellular organisms	1	100
jgi|Auramp1|108980|CE108979_3344	cellular organisms	1	100
jgi|Auramp1|109000|CE108999_18888	cellular organisms	1	50
jgi|Auramp1|109148|CE109147_3485	cellular organisms	1	100
jgi|Auramp1|109291|CE109290_1235	Auriculariopsis ampla	13	100
jgi|Auramp1|109372|CE109371_2422	Fungi	4	100
jgi|Auramp1|109569|CE109568_340	Auriculariopsis ampla	13	100
jgi|Auramp1|10966|CE10965_549	cellular organisms	1	100
jgi|Auramp1|109678|CE109677_6200	Agaricomycetes	8	40
jgi|Auramp1|109711|CE109710_7802	Eukaryota	2	81
jgi|Auramp1|109865|CE109864_281	Agaricales	10	66
jgi|Auramp1|110161|CE110160_1076	cellular organisms	1	100
jgi|Auramp1|110351|CE110350_1765	cellular organisms	1	91
jgi|Auramp1|110376|CE110375_2375	Schizophyllaceae	12	100
jgi|Auramp1|110489|CE110488_826	cellular organisms	1	100
jgi|Auramp1|110588|CE110587_1041	cellular organisms	1	100
jgi|Auramp1|110629|CE110628_3052	cellular organisms	1	100
jgi|Auramp1|110649|CE110648_2857	Agaricomycotina	7	100
jgi|Auramp1|110852|CE110851_651	cellular organisms	1	100
jgi|Auramp1|110895|CE110894_4601	Dikarya	5	87
jgi|Auramp1|110904|CE110903_14508	cellular organisms	1	100
jgi|Auramp1|111109|CE111108_1086	cellular organisms	1	100
jgi|Auramp1|111278|CE111277_35	Auriculariopsis ampla	13	100
jgi|Auramp1|111315|CE111314_2840	Schizophyllaceae	12	100
jgi|Auramp1|111410|CE111409_785	Auriculariopsis ampla	13	100
jgi|Auramp1|111490|CE111489_5971	cellular organisms	1	100
jgi|Auramp1|111606|CE111605_3958	cellular organisms	1	100
jgi|Auramp1|111792|CE111791_3368	cellular organisms	1	91
jgi|Auramp1|111827|CE111826_932	Dikarya	5	75
jgi|Auramp1|111869|CE111868_46	Schizophyllaceae	12	100
jgi|Auramp1|112139|CE112138_2138	cellular organisms	1	100
jgi|Auramp1|112177|CE112176_33	Agaricomycetes	8	80
jgi|Auramp1|112201|CE112200_876	cellular organisms	1	100
jgi|Auramp1|112313|CE112312_11420	cellular organisms	1	100
jgi|Auramp1|112483|CE112482_5473	cellular organisms	1	100
jgi|Auramp1|112494|CE112493_1268	cellular organisms	1	100
jgi|Auramp1|112686|CE112685_3552	Auriculariopsis ampla	13	100
jgi|Auramp1|11275|CE11274_1757	Eukaryota	2	90
jgi|Auramp1|112924|CE112923_1485	cellular organisms	1	100
jgi|Auramp1|112998|CE112997_6380	Eukaryota	2	100
jgi|Auramp1|11299|CE11298_71	Auriculariopsis ampla	13	100
jgi|Auramp1|11308|CE11307_2184	cellular organisms	1	100
jgi|Auramp1|113323|CE113322_518	cellular organisms	1	91
jgi|Auramp1|113332|CE113331_10647	Dikarya	5	100
jgi|Auramp1|113343|CE113342_1967	Eukaryota	2	90
jgi|Auramp1|113617|CE113616_2667	cellular organisms	1	100
jgi|Auramp1|113641|CE113640_586	Basidiomycota	6	100
jgi|Auramp1|113689|CE113688_30	Auriculariopsis ampla	13	100
jgi|Auramp1|113698|CE113697_34	Auriculariopsis ampla	13	100
jgi|Auramp1|113756|CE113755_3309	Basidiomycota	6	100
jgi|Auramp1|113783|CE113782_8768	Agaricomycotina	7	100
jgi|Auramp1|113861|CE113860_829	Eukaryota	2	90
jgi|Auramp1|113983|CE113982_1144	Agaricomycetes	8	80
jgi|Auramp1|114087|CE114086_4253	Schizophyllaceae	12	100
jgi|Auramp1|114095|CE114094_1450	cellular organisms	1	100
jgi|Auramp1|114284|CE114283_364	cellular organisms	1	100
jgi|Auramp1|114473|CE114472_399	cellular organisms	1	100
jgi|Auramp1|114531|CE114530_2252	Dikarya	5	100
jgi|Auramp1|11463|CE11462_9305	cellular organisms	1	66
jgi|Auramp1|114711|CE114710_620	Auriculariopsis ampla	13	100
jgi|Auramp1|114996|CE114995_1367	Fungi	4	66
jgi|Auramp1|115103|CE115102_172	Agaricomycetes	8	60
jgi|Auramp1|115107|CE115106_214	Auriculariopsis ampla	13	100
jgi|Auramp1|115272|CE115271_2250	Agaricomycetes	8	100
jgi|Auramp1|115408|CE115407_1195	cellular organisms	1	100
jgi|Auramp1|115682|CE115681_2342	Eukaryota	2	63
jgi|Auramp1|115759|CE115758_411	Auriculariopsis ampla	13	100
jgi|Auramp1|115810|CE115809_1200	cellular organisms	1	100
jgi|Auramp1|116003|CE116002_852	Eukaryota	2	100
jgi|Auramp1|116106|CE116105_135	Auriculariopsis ampla	13	100
jgi|Auramp1|116156|CE116155_872	cellular organisms	1	50
jgi|Auramp1|116220|CE116219_668	Eukaryota	2	100
jgi|Auramp1|116331|CE116330_9235	cellular organisms	1	100
jgi|Auramp1|116439|CE116438_4799	Agaricomycotina	7	100
jgi|Auramp1|116542|CE116541_3691	cellular organisms	1	100
jgi|Auramp1|11655|CE11654_2978	Agaricomycetes	8	100
jgi|Auramp1|116686|CE116685_327	Schizophyllaceae	12	100
jgi|Auramp1|116691|CE116690_8498	cellular organisms	1	100
jgi|Auramp1|11669|CE11668_466	cellular organisms	1	91
jgi|Auramp1|11670|CE11669_968	cellular organisms	1	100
jgi|Auramp1|116826|CE116825_510	Agaricomycetes	8	40
jgi|Auramp1|116866|CE116865_6873	cellular organisms	1	100
jgi|Auramp1|116868|CE116867_2748	cellular organisms	1	100
jgi|Auramp1|117119|CE117118_2024	Eukaryota	2	81
jgi|Auramp1|117249|CE117248_3635	cellular organisms	1	100
jgi|Auramp1|11726|CE11725_217	Auriculariopsis ampla	13	100
jgi|Auramp1|117490|CE117489_859	Auriculariopsis ampla	13	100
