#gene	phylostratum	rank	taxonomic_representativeness
jgi|PleosPC15_2|1007331|gw1.03.14.1	cellular organisms	1	100
jgi|PleosPC15_2|1007650|gw1.05.46.1	Fungi	4	88
jgi|PleosPC15_2|1007655|gw1.04.45.1	Eukaryota	2	100
jgi|PleosPC15_2|1007677|gw1.08.23.1	cellular organisms	1	100
jgi|PleosPC15_2|1008060|gw1.10.32.1	cellular organisms	1	100
jgi|PleosPC15_2|1008063|gw1.07.80.1	cellular organisms	1	66
jgi|PleosPC15_2|1008099|gw1.11.51.1	cellular organisms	1	58
jgi|PleosPC15_2|1008109|gw1.01.160.1	cellular organisms	1	91
jgi|PleosPC15_2|1008192|gw1.08.61.1	Opisthokonta	3	80
jgi|PleosPC15_2|1008359|gw1.02.61.1	cellular organisms	1	100
jgi|PleosPC15_2|1008507|gw1.01.217.1	Eukaryota	2	90
jgi|PleosPC15_2|1008602|gw1.03.176.1	cellular organisms	1	100
jgi|PleosPC15_2|1008820|gw1.03.208.1	cellular organisms	1	100
jgi|PleosPC15_2|1008869|gw1.03.218.1	cellular organisms	1	100
jgi|PleosPC15_2|1008897|gw1.07.155.1	cellular organisms	1	58
jgi|PleosPC15_2|1008958|gw1.05.214.1	cellular organisms	1	100
jgi|PleosPC15_2|1008980|gw1.11.110.1	cellular organisms	1	100
jgi|PleosPC15_2|1009152|gw1.05.243.1	cellular organisms	1	100
jgi|PleosPC15_2|1009183|gw1.01.357.1	Eukaryota	2	90
jgi|PleosPC15_2|1009206|gw1.06.154.1	Eukaryota	2	90
jgi|PleosPC15_2|1009219|gw1.04.231.1	cellular organisms	1	100
jgi|PleosPC15_2|1009246|gw1.05.259.1	cellular organisms	1	100
jgi|PleosPC15_2|1009284|gw1.02.101.1	cellular organisms	1	100
jgi|PleosPC15_2|1009415|gw1.01.400.1	Eukaryota	2	90
jgi|PleosPC15_2|1009475|gw1.04.261.1	cellular organisms	1	100
jgi|PleosPC15_2|1009535|gw1.05.292.1	Eukaryota	2	90
jgi|PleosPC15_2|1009577|gw1.10.86.1	Fungi	4	100
jgi|PleosPC15_2|1009652|gw1.05.305.1	Eukaryota	2	63
jgi|PleosPC15_2|1009660|gw1.05.309.1	cellular organisms	1	100
jgi|PleosPC15_2|1009757|gw1.09.118.1	cellular organisms	1	100
jgi|PleosPC15_2|1009939|gw1.07.247.1	cellular organisms	1	100
jgi|PleosPC15_2|1010145|gw1.01.518.1	cellular organisms	1	75
jgi|PleosPC15_2|1010186|gw1.02.154.1	cellular organisms	1	75
jgi|PleosPC15_2|1010465|gw1.02.168.1	cellular organisms	1	100
jgi|PleosPC15_2|1010550|gw1.05.414.1	cellular organisms	1	100
jgi|PleosPC15_2|1011016|gw1.07.349.1	cellular organisms	1	91
jgi|PleosPC15_2|1011277|gw1.11.286.1	Eukaryota	2	81
jgi|PleosPC15_2|1011362|gw1.04.484.1	cellular organisms	1	100
jgi|PleosPC15_2|1011436|gw1.07.389.1	cellular organisms	1	91
jgi|PleosPC15_2|1011447|gw1.08.344.1	Eukaryota	2	100
jgi|PleosPC15_2|1011620|gw1.07.409.1	cellular organisms	1	100
jgi|PleosPC15_2|1011627|gw1.01.759.1	cellular organisms	1	91
jgi|PleosPC15_2|1011682|gw1.04.525.1	cellular organisms	1	91
jgi|PleosPC15_2|1011799|gw1.04.543.1	cellular organisms	1	100
jgi|PleosPC15_2|1011921|gw1.10.185.1	cellular organisms	1	100
jgi|PleosPC15_2|1011927|gw1.06.374.1	Fungi	4	88
jgi|PleosPC15_2|1011932|gw1.03.585.1	Agaricomycetes	8	100
jgi|PleosPC15_2|1011960|gw1.09.217.1	cellular organisms	1	91
jgi|PleosPC15_2|1011990|gw1.07.430.1	Eukaryota	2	54
jgi|PleosPC15_2|1012017|gw1.01.824.1	Eukaryota	2	90
jgi|PleosPC15_2|1012019|gw1.07.433.1	Eukaryota	2	90
jgi|PleosPC15_2|1012087|gw1.06.393.1	Fungi	4	100
jgi|PleosPC15_2|1012121|gw1.06.396.1	Fungi	4	100
jgi|PleosPC15_2|1012126|gw1.10.199.1	Fungi	4	88
jgi|PleosPC15_2|1012168|gw1.11.343.1	cellular organisms	1	100
jgi|PleosPC15_2|1012189|gw1.03.611.1	cellular organisms	1	100
jgi|PleosPC15_2|1012254|gw1.08.410.1	cellular organisms	1	100
jgi|PleosPC15_2|1012333|gw1.05.619.1	Eukaryota	2	100
jgi|PleosPC15_2|1012476|gw1.09.235.1	Agaricomycotina	7	100
jgi|PleosPC15_2|1012610|gw1.04.678.1	cellular organisms	1	100
jgi|PleosPC15_2|1012771|gw1.06.439.1	Eukaryota	2	100
jgi|PleosPC15_2|1013054|gw1.10.231.1	Opisthokonta	3	80
jgi|PleosPC15_2|1013058|gw1.01.1033.1	Eukaryota	2	100
jgi|PleosPC15_2|1013167|gw1.06.473.1	Basidiomycota	6	85
jgi|PleosPC15_2|1013171|gw1.12.20.1	Eukaryota	2	100
jgi|PleosPC15_2|1013259|gw1.10.243.1	Basidiomycota	6	100
jgi|PleosPC15_2|1013308|gw1.01.1076.1	cellular organisms	1	100
jgi|PleosPC15_2|1013367|gw1.11.416.1	cellular organisms	1	100
jgi|PleosPC15_2|1013434|gw1.05.760.1	cellular organisms	1	100
jgi|PleosPC15_2|1013446|gw1.01.1102.1	Opisthokonta	3	90
jgi|PleosPC15_2|1013472|gw1.04.770.1	Eukaryota	2	45
jgi|PleosPC15_2|1013481|gw1.03.755.1	Eukaryota	2	45
jgi|PleosPC15_2|1013482|gw1.02.311.1	Eukaryota	2	45
jgi|PleosPC15_2|1013584|gw1.08.523.1	Agaricomycetes	8	80
jgi|PleosPC15_2|1013614|gw1.03.762.1	Fungi	4	77
jgi|PleosPC15_2|1013631|gw1.08.527.1	cellular organisms	1	100
jgi|PleosPC15_2|1013638|gw1.11.437.1	Fungi	4	88
jgi|PleosPC15_2|1013692|gw1.05.795.1	Fungi	4	77
jgi|PleosPC15_2|1013782|gw1.11.448.1	cellular organisms	1	83
jgi|PleosPC15_2|1013902|gw1.05.816.1	cellular organisms	1	100
jgi|PleosPC15_2|1013941|gw1.07.603.1	cellular organisms	1	75
jgi|PleosPC15_2|1013952|gw1.04.824.1	cellular organisms	1	100
jgi|PleosPC15_2|1013960|gw1.02.337.1	Eukaryota	2	54
jgi|PleosPC15_2|1013978|gw1.11.468.1	Agaricomycotina	7	100
jgi|PleosPC15_2|1014007|gw1.07.612.1	Agaricomycetes	8	80
jgi|PleosPC15_2|1014016|gw1.12.22.1	Eukaryota	2	45
jgi|PleosPC15_2|1014034|gw1.02.340.1	Fungi	4	88
jgi|PleosPC15_2|1014037|gw1.05.834.1	cellular organisms	1	100
jgi|PleosPC15_2|1014086|gw1.05.842.1	Eukaryota	2	63
jgi|PleosPC15_2|1014181|gw1.04.844.1	cellular organisms	1	100
jgi|PleosPC15_2|1014285|gw1.07.638.1	cellular organisms	1	100
jgi|PleosPC15_2|1014296|gw1.05.875.1	Eukaryota	2	63
jgi|PleosPC15_2|1014302|gw1.05.876.1	Eukaryota	2	63
jgi|PleosPC15_2|1014342|gw1.05.882.1	Agaricomycotina	7	100
jgi|PleosPC15_2|1014364|gw1.02.358.1	Eukaryota	2	45
jgi|PleosPC15_2|1014590|gw1.11.520.1	Opisthokonta	3	100
jgi|PleosPC15_2|1014657|gw1.03.874.1	cellular organisms	1	100
jgi|PleosPC15_2|1014673|gw1.01.1309.1	Opisthokonta	3	100
jgi|PleosPC15_2|1014718|gw1.10.304.1	Agaricomycetes	8	100
jgi|PleosPC15_2|1014853|gw1.05.929.1	cellular organisms	1	100
jgi|PleosPC15_2|1014870|gw1.11.550.1	Eukaryota	2	81
