#gene	phylostratum	rank	taxonomic_representativeness
jgi|Phchr2|1000083|CE83_5	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1000084|CE84_16	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1000582|CE582_985	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1001310|CE1310_933	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1001539|CE1539_2186	Phanerodontia chrysosporium	11	100
jgi|Phchr2|10017|Phchr1.fgenesh1_pm.C_scaffold_2000060	cellular organisms	1	100
jgi|Phchr2|1004758|CE4758_201419	Agaricomycetes	8	100
jgi|Phchr2|1005296|CE5296_11886	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1005747|CE5747_179194	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1005|Phchr1.fgenesh1_pg.C_scaffold_1001005	Agaricomycetes	8	100
jgi|Phchr2|1006640|CE6640_451	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1007831|CE7831_3800	Phanerodontia chrysosporium	11	100
jgi|Phchr2|10112|Phchr1.fgenesh1_pm.C_scaffold_3000019	cellular organisms	1	100
jgi|Phchr2|1012872|CE12872_50447	Agaricomycetes	8	100
jgi|Phchr2|1013195|CE13195_5424	Agaricomycetes	8	66
jgi|Phchr2|1013954|CE13954_1998	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1014144|CE14144_236	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1015529|CE15529_1379	Phanerochaetaceae	10	100
jgi|Phchr2|1016164|CE16164_3172	cellular organisms	1	100
jgi|Phchr2|1016180|CE16180_398	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1016316|CE16316_2943	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1016485|CE16485_89109	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1018805|CE18805_5372	cellular organisms	1	100
jgi|Phchr2|1018827|CE18827_2520	cellular organisms	1	90
jgi|Phchr2|1019521|CE19521_4657	Eukaryota	2	66
jgi|Phchr2|1021180|CE21180_2849	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1022975|CE22975_42915	Fungi	4	85
jgi|Phchr2|1026259|CE26259_14325	cellular organisms	1	100
jgi|Phchr2|1026855|CE26855_91	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1026996|CE26996_11601	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1028443|CE28443_76515	cellular organisms	1	100
jgi|Phchr2|1028701|CE28701_848	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1029239|CE29239_10361	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1031859|CE31859_11598	cellular organisms	1	100
jgi|Phchr2|1031927|CE31927_17054	Eukaryota	2	100
jgi|Phchr2|1032998|CE32998_2990	Agaricomycetes	8	66
jgi|Phchr2|1033121|CE33121_7500	Agaricomycetes	8	66
jgi|Phchr2|1033467|CE33467_9509	cellular organisms	1	100
jgi|Phchr2|1034059|CE34059_6149	Basidiomycota	6	100
jgi|Phchr2|1034687|CE34687_941	Phanerochaetaceae	10	100
jgi|Phchr2|1034736|CE34736_71	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1034750|CE34750_1348	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1034795|CE34795_3222	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1034879|CE34879_309	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1034931|CE34931_4333	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1035666|CE35666_130	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1036159|CE36159_15155	cellular organisms	1	100
jgi|Phchr2|1036277|CE36277_9417	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1036613|CE36613_7391	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1036813|CE36813_23871	Dikarya	5	66
jgi|Phchr2|1040684|CE40684_15493	Phanerodontia chrysosporium	11	100
jgi|Phchr2|1041312|CE41312_11576	Phanerodontia chrysosporium	11	100
